"APP ID"	"Date Announced"	"CIA Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Total"	"Broad Research Area"	"Field(s) of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
"2006797"	2021-09-14	"A/Pr Dina LoGiudice"	"Centres of Research Excellence"	"Centre of Research Excellence - Dementia Research"	"On TRACK (Teaching, Research And Community Knowledges) : CRE promoting brain health with older Aboriginal and Torres Strait Islander peoples."	"University of Melbourne"	"VIC"	"University"	3e+06	"Clinical Medicine and Science"	"Geriatrics and Gerontology"	"aboriginal health"	"dementia"	"ageing population"	"risk factors"	"community preferences"	"Aboriginal and Torres Strait Islander peoples experience high rates of dementia at younger ages of onset, having far reaching consequences for the person, their family and their communities. The OnTRACK (Teaching, Research and Community Knowledges) Centre for Research Excellence will generate knowledge about culturally safe approaches to optimise the well being and quality of life of Aboriginal and Torres Strait Islander peoples at risk of or living with dementia."
"2006841"	2021-09-14	"Prof Ingrid Scheffer"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Centre for Research Excellence in Developmental and Epileptic Encephalopathies"	"University of Melbourne"	"VIC"	"University"	2500000	"Clinical Medicine and Science"	"Neurogenetics"	"epilepsy"	"natural history"	"genetics"	"health outcomes"	"paediatric"	"We will study the clinical, genetic and psychological aspects of patients with the most severe group of epilepsies, the Developmental and Epileptic Encephalopathies (DEEs). We will define the clinical spectrum of each genetic DEE, improve health outcomes through understanding the natural history of these diseases, build an integrated model of care, produce family resources and assess health economic impacts. This program will ensure Australia is poised for emerging Precision Medicine trials."
"2006899"	2021-09-14	"Prof John Hopper"	"Centres of Research Excellence"	"Centre of Research Excellence - Public Health"	"Centre of Research Excellence in Precision Public Health Approaches to Breast Cancer Screening, Early Detection and Mortality Reduction"	"University of Melbourne"	"VIC"	"University"	2500000	"Public Health"	"Public Health and Health Services not elsewhere classified"	"breast cancer"	"mammogram screening"	"breast cancer prevention"	"radiological diagnostics"	"general practice"	"The ultimate aim of the CRE is to make it possible to further reduce mortality from breast cancer, and in a more effective way, by identifying women at vastly different levels of risk at younger ages, determining which screening modalities are likely to be more effective, and helping radiologists to better detect cancers. Given that digital mammography is the contemporary standard, and the incidence of breast cancer is increasing across the world, this CRE has global relevance."
"2006999"	2021-09-14	"Prof Louise Baur"	"Centres of Research Excellence"	"Centre of Research Excellence - Public Health"	"Centre of Research Excellence in the Early Prevention of Obesity in Childhood -Translate (EPOCH-Translate)"	"University of Sydney"	"NSW"	"University"	2500000	"Public Health"	"Health Promotion"	"early childhood"	"obesity"	"implementation"	"health economics"	"behavioural intervention"	"Overweight & obesity affect 1:4 Australian children by the time they start school. The Centre of Research Excellence in the Early Prevention of Obesity in Childhood: Translate (EPOCH-translate) brings together researchers from across Australia and New Zealand to work out how best to prevent obesity in children aged 0-5 years. We will look at what works in the long-term, what is the best value for money, and what works for parents as well as health professionals."
"2007007"	2021-09-14	"Prof Jason Roberts"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Centre of Research Excellence - REduce the burden of antimicrobial reSistance through oPtimal, persONalised Dosing (RESPOND)"	"University of Queensland"	"QLD"	"University"	2500000	"Health Services Research"	"Infectious Diseases"	"antibiotic resistance"	"pharmacotherapy"	"sepsis"	"critical illness"	"microbiology"	"Each year more than 17 million people die from infectious diseases. Many of these deaths are due to the poor use of antimicrobial drugs and an increase in infections caused by antimicrobial-resistant 'superbugs'. CRE RESPOND will enable an optimal treatment of infection by empowering clinicians with an evidence-based, patient-centred approach to guide antimicrobial dosing. We will generate new knowledge, educate healthcare workers, and build research capacity through our network of collaborators"
"2007026"	2021-09-14	"Prof Allison Tong"	"Centres of Research Excellence"	"Centre of Research Excellence - Clinical"	"Centre of Research Excellence: Partnering with patients with chronic kidney disease to transform care and outcomes (CRE-PACT)"	"University of Sydney"	"NSW"	"University"	2500000	"Clinical Medicine and Science"	"Epidemiology"	"clinical epidemiology"	"patient participation"	"patient outcomes"	"patient preference"	"kidney failure"	"CRE-PACT will partner with patients to generate and translate new high-priority evidence to improve outcomes that are important to people living with chronic kidney disease (CKD). We will address the topics and questions most important to patients. We will build the next generation of research leaders and a community of research-ready patient-partners. There will be an integrated pathway for evidence translation and implementation at a global scale to improve patient-centred outcomes."
"2007037"	2021-09-14	"Dr Scott Ayton"	"Centres of Research Excellence"	"Centre of Research Excellence - Dementia Research"	"Centre of Research Excellence in Enhanced Dementia Diagnosis (CREEDD)"	"University of Melbourne"	"VIC"	"University"	3e+06	"Health Services Research"	"Neurology and Neuromuscular Diseases"	"dementia"	"diagnosis"	"magnetic resonance imaging (mri)"	"biomarkers"	"cognitive assessment"	"The diagnosis of dementia is often difficult, especially in its early stages. The current delays and uncertainties in diagnosing dementia cause anxiety in patients and limit treatment options. A number of new technologies have demonstrated their value in clinical dementia research, but have not been adopted into clinical practice. The Centre of Research Excellence in Enhanced Dementia Diagnosis will provide a pathway to implement new technologies to transform dementia diagnosis in Australia."
"2007049"	2021-09-14	"Prof Leanne Hides"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Centre of Research Excellence in Alcohol and Other Drug sector capacity building for outcome focused, evidence based and cost effective care (CRE in AOD -CB)"	"University of Queensland"	"QLD"	"University"	2500000	"Health Services Research"	"Mental Health"	"substance dependence"	"addiction treatment"	"health services research"	"clinical outcome"	"measurement"	"AOD use is the number one risk factor for the most death and disability combined in all age groups in Australia. This CRE's mission is to reduce the burden and cost of primary and complex comorbid AOD problems in Australia, by using MBC to increase the capacity of the AOD sector to deliver evidence based, efficient and cost effective care to clients."
"2007062"	2021-09-14	"Prof Michele Sterling"	"Centres of Research Excellence"	"Centre of Research Excellence - Health Services"	"Centre of Research Excellence - Better Health Outcomes for Compensable Injury"	"University of Queensland"	"QLD"	"University"	2500000	"Public Health"	"Public Health and Health Services not elsewhere classified"	"motor vehicle accidents"	"injury"	"workers compensation"	"pain"	"legal issues"	"Many people do not recover after a road traffic injury but develop chronic pain, disability and poor mental health. Health outcomes are worse for people who lodge a claim for injury compensation and/or engage a lawyer. The CRE will extend research and implementation beyond health services to the compensation and legal systems. Results will improve health outcomes advancing knowledge of system processes mediating recovery and implementing interventions that promote not hinder recovery."
"2008140"	2021-09-14	"Prof Richard Page"	"International Collaborations"	"2020 NHMRC-NIHR Collaborative Research Grants Round 2   "	"Reverse or Anatomical (replacement) for Painful Shoulder Osteoarthritis: Differences between Interventions -Aus"	"Deakin University"	"VIC"	"University"	1540874	"Clinical Medicine and Science"	"Orthopaedics"	"orthopaedic"	"arthritis"	"joint replacement"	"surgery"	"randomised controlled trial (rct)"	"Shoulder osteoarthritis is common in older adults, causing severe pain and making daily life difficult. Shoulder replacement is an effective treatment - it replaces the damaged joint with metal and plastic implants. Two types of shoulder replacement exist, but the best option is uncertain as they have not been compared in randomised trials. We will produce evidence about the benefits, harms and cost-effectiveness of each shoulder surgery to enable patients to receive the best type of surgery."
"2006089"	2021-09-14	"Prof Sarah Larkins"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Working it Out Together! Aboriginal and Torres Strait Islander led co-design for a strong and deadly health workforce"	"James Cook University"	"QLD"	"University"	904772.2	"Health Services Research"	"Aboriginal and Torres Strait Islander Health"	"primary care"	"indigenous health"	"rural and remote health services"	"rural workforce"	"community participation"	"High primary health care (PHC) workforce turnover and few Aboriginal and Torres Strait Islander staff in rural/remote areas affects community trust and cultural safety. This impacts health care quality and costs. This Indigenous-led project sees local communities in four rural/remote areas driving new workforce plans with PHC services and partners. Implementation with continuous evaluation and adaption will increase workforce stability, trust, engagement and health improvements."
"2006138"	2021-09-14	"Prof Alexandra McCarthy"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"BALANCE: Promoting wellBeing in AdoLescent and young Adult caNCEr survivors"	"University of Queensland"	"QLD"	"University"	1250178.35	"Health Services Research"	"Health Promotion"	"adolescent health"	"cancer therapy"	"quality of life"	"behavioural intervention"	"wellbeing"	"Almost 5000 adolescents and young adults (AYAs) in Australia were diagnosed with cancer in the last 5 years, and many will survive well into adulthood. Survival does not mean AYAs return to their former state of health. They need support to manage the detrimental effects of their cancer experience - support that is scarce in this country. This project tests a lifestyle program to address this issue. We aim to ensure young people who survive cancer have the same quality of life as their peers."
"2006240"	2021-09-14	"Prof Julian Trollor"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Developing a model of Preventative Healthcare for People with Intellectual Disability"	"University of New South Wales"	"NSW"	"University"	1244755.5	"Health Services Research"	"Primary Health Care"	"intellectual disability"	"preventive health"	"population health"	"health promotion"	"health policy"	"People with intellectual disability face stark health inequalities, die prematurely from potentially avoidable causes and experience poor access to preventative health care. Access to preventative health care is one of the key pillars of Australia's long-term national health plan. This project will find out why there are gaps in preventative health care for people with intellectual disability, determine how these gaps affect people and develop a new model of health care."
"2006282"	2021-09-14	"Prof Jason Grebely"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Enhancing hepatitis C testing and treatment among people who inject drugs in drug treatment settings: the ETHOS III Study"	"University of New South Wales"	"NSW"	"University"	1349603.8	"Health Services Research"	"Infectious Diseases"	"liver disease"	"hepatitis c infection"	"injecting drug use"	"treatment strategies"	"health policy"	"Progress towards hepatitis C elimination has been slowed. Given that most people with hepatitis C have a history of injecting drug use, reducing hepatitis C burden requires scale-up of enhanced testing and treatment for people who inject drugs. This Partnership project will evaluate an intervention to enhance hepatitis C testing and treatment in drug treatment clinics and develop a translational framework to scale-up hepatitis C care in this setting nationally."
"2006306"	2021-09-14	"A/Pr Julia Marley"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Be Healthy: Implementing culturally secure programs for obesity and chronic disease prevention with remote Aboriginal communities and families"	"University of Western Australia"	"WA"	"University"	1499972	"Health Services Research"	"Aboriginal and Torres Strait Islander Health"	"chronic illness prevention"	"overweight/obesity"	"aboriginal health"	"community development"	"program evaluation"	"Environments cultivated in recent decades encouraging physical inactivity and poor diet have disproportionately affected Aboriginal people. Appropriate lifestyle modification programs substantially improves outcomes. We have co-designed, piloted and refined the 'Be Healthy' program with Derby Aboriginal people. This project aims to show how this program can be scaled up and transferred to other Aboriginal communities, leading to reduced rates of obesity, and improved health and quality of life."
"2006448"	2021-09-14	"Prof Andrew Grulich"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Implementation research to guide the elimination of HIV transmission in NSW"	"University of New South Wales"	"NSW"	"University"	1499408.5	"Public Health"	"Preventive Medicine"	"human immunodeficiency virus (hiv)"	"prevention"	"implementation"	"prophylaxis"	"sexually-transmitted infections (sti)"	"The implementation of new biomedical forms of HIV prevention since 2015 has been accompanied by a 40% reduction in HIV diagnoses in gay and bisexual men in New South Wales (NSW). Reductions in HIV have been much smaller in the overseas-born, the young, and in those living outside of inner Sydney. We propose a 5-year program of implementation research, integrated with the NSW HIV Strategy 2021-25, which will see NSW become the first jurisdiction globally to virtually eliminate HIV."
"2006486"	2021-09-14	"Prof Jane Hocking"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"A digital sexual health hub: Co-design, development and evaluation of an online sexual health clinic"	"University of Melbourne"	"VIC"	"University"	1424364	"Health Services Research"	"Primary Health Care"	"sexually-transmitted infections (sti)"	"sexual health"	"primary care"	"health services research"	"information systems/decision support systems"	"Sexually transmitted infection rates have increased dramatically in recent years in Australia, with major health consequences - congenital syphilis is killing babies, chlamydia in females is causing pelvic inflammatory disease, increasing the risk of infertility, and drug-resistant gonorrhoea is an urgent global threat. Our specialist sexual health services are at capacity. We will develop an innovative online sexual health hub providing online testing and treatment for STIs and HIV."
"2006528"	2021-09-14	"Prof Jeffrey Dunn"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Prostate Cancer Survivorship Essentials for Men with Prostate Cancer on Androgen Deprivation Therapy: Transforming Care to Improve Outcomes"	"University of Southern Queensland"	"QLD"	"University"	1133942.05	"Public Health"	"Health Counselling"	"prostate cancer"	"survivorship"	"health psychology"	"quality of life"	"health care delivery"	"Up to half of all men diagnosed with prostate cancer will undergo androgen deprivation therapy (ADT) as part of their treatment at some point. Although ADT is effective in treating prostate cancer, many men will experience considerable side effects that negatively impact their quality of life. This research study will identify if a nurse-led survivorship care intervention, delivered by phone or video-call, improves the quality of life for men with prostate cancer who are receiving ADT."
"2006628"	2021-09-14	"Prof Kim Bennell"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Improving outcomes for hip osteoarthritis: program evaluation of HipHealth, an evidence-based telehealth exercise and weight loss program"	"University of Melbourne"	"VIC"	"University"	1005359.15	"Health Services Research"	"Physiotherapy"	"osteoarthritis"	"exercise"	"rehabilitation"	"allied health"	"telemedicine"	"Hip osteoarthritis is a common problem leading to chronic pain and disability and high rates of joint replacement surgery. This project aims to improve the health and well-being of Australians with hip osteoarthritis (OA) by implementing and evaluating an education, exercise and weight loss program (HipHealth) delivered remotely by physiotherapists and dietitians. The program will be tested in the private health insurance setting with view to future scale-up in this and other settings."
"2006751"	2021-09-14	"Prof Mark Parsons"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Talk stroke: Developing Australia's first National tele stroke framework and communications platform"	"University of New South Wales"	"NSW"	"University"	1164847.4	"Clinical Medicine and Science"	"Cardiology (incl. Cardiovascular Diseases)"	"stroke"	"brain imaging"	"thrombolysis treatment"	"regional health"	"policy development"	"Patients with a stroke in the regional areas are twice as likely to suffer significant disability compared to patients living in inner city regions. We propose to develop technology to close this gap, and guide its implementation with a national tele stroke policy framework. The technology we develop with our partner organisations will facilitate tele medicine to close the gaps in critical patient care."
"2006755"	2021-09-14	"Prof Andrew Georgiou"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Establishing a digital health foundation for outcomes-based diagnostic excellence, safety and value"	"Macquarie University"	"NSW"	"University"	1027500.9	"Health Services Research"	"Health Informatics"	"health informatics"	"health services research"	"quality of care"	"information systems/decision support systems"	"patient safety"	"Our partnership proposal will lead to the development of a digital infrastructure (involving big data resources and sophisticated decision support systems) as a foundation for outcomes-based research, optimised clinical care processes and translation into policy and practice. The partnership will encompass key research areas involving the quality, safety and value of care in musculoskeletal care, infectious diseases, diabetes care and emergency/intensive care."
"2006950"	2021-09-14	"A/Pr Carol Maher"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Improving physical activity and screen time in Outside School Hours Care through evidence-based guidelines: an effectiveness-implementation hybrid trial"	"University of South Australia"	"SA"	"University"	1398569.9	"Health Services Research"	"Community Child Health"	"health services research"	"community child health"	"community intervention study"	"child health"	"school health services"	"This study aims to lift the standards of physical activity and screen time offerings in Out of School Hours Care services throughout Australia, by implementing and evaluating newly developed Australian OSHC physical activity and screen time guidelines. The guidelines will be evaluated in a rigorous trial in OSHC services in SA, NSW and WA, prior to national release and evaluation Australia-wide."
"2006957"	2021-09-14	"Prof Johanna Westbrook"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"A National Aged Care Medication Roundtable - Translating aged care data into action to improve quality of care through collaboration and co-design"	"Macquarie University"	"NSW"	"University"	1444499	"Health Services Research"	"Residential Client Care"	"medications"	"health informatics"	"electronic health information"	"patient safety"	"aged care"	"Older Australians with the most complex health needs live in residential care. Greater than 80% of residents are on five or more medications daily, and 40% are taking 10 or more. Poor medication management is the greatest source of complaint to the Aged Care Quality & Safety Commission. This project will provide timely information to a group of providers and consumers about the medicines residents receive, identify problem areas and trial innovative interventions to address these issues."
"2006969"	2021-09-14	"A/Pr Susana Nery"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Control of neglected tropical diseases in the Pacific: integration of programs to increase their impact"	"University of New South Wales"	"NSW"	"University"	1499801	"Public Health"	"Epidemiology"	"helminth infection"	"scabies"	"infectious diseases"	"tropical disease"	"population health"	"Our goal is to improve programs to control neglected tropical diseases, diseases of poverty common in Australia's neighbours: Papua New Guinea, Solomon Islands and Vanuatu. Our partners are supporting the Ministries of Health in these countries to implement integrated programs to better control these diseases. Our multidisciplinary research will use improved diagnostics, spatial mapping, health systems, social science and health economics to evaluate this integrated approach to disease control."
"2006970"	2021-09-14	"Dr Bronwyn Griffin"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Implementation of Negative Pressure for Acute Paediatric Burns"	"Queensland University of Technology"	"QLD"	"University"	1410475.76	"Health Services Research"	"Clinical Sciences not elsewhere classified"	"burn injury"	"implementation"	"traumatic injury"	"child"	"multicentre"	"Over 4000 children present to our burns services every year. Contemporary burn care aims to speed up a patients time to healing which directly avoids the child's risk of developing a scar. We know that applying negative pressure wound therapy (NPWT) to a child's burn within 72 hours post injury will improve a child's time to healing, decreasing the risk of scarring & cost of care. Co-developing a NPWT Pathway and implementation strategies will improve outcomes for childhood burns nationally."
"2006987"	2021-09-14	"Prof James Ward"	"Partnership Projects"	"Partnership Projects - 2nd call for 2020"	"Integration and expansion of a sentinel surveillance system to improve infectious disease outcomes for Indigenous Australians; the ATLAS network"	"University of Queensland"	"QLD"	"University"	1137218.9	"Health Services Research"	"Aboriginal and Torres Strait Islander Health"	"aboriginal health"	"sexual health"	"vaccine-preventable diseases"	"blood-borne communicable diseases"	"population health"	"Infectious diseases remain a significant health issue for Indigenous Australians. Our proposal is to extend a sentinel surveillance network operating in 32 Aboriginal primary care services, with a focus on sexually transmissible infections and blood borne virsuses. By expanding, we will increase the number of sites, and add vaccine preventable diseases to the network. In doing this, we move from a surveillance system to a research network that can inform health service strategies and practice."
"2006061"	2021-09-14	"A/Pr Glenn Arendts"	"Targeted Call for Research"	"End of Life Care"	"A randomised trial of a Carer End of Life Planning Intervention (CELPI) in people dying with dementia"	"University of Western Australia"	"WA"	"University"	1486231.5	"Health Services Research"	"Geriatrics and Gerontology"	"dementia"	"palliative care"	"caregiver burden"	"emergency medicine"	"health economics"	"Dementia is the second highest cause of death in Australia. Although palliative care helps individuals avoid suffering and futile interventions at the end of life, only 6% of people that die of dementia receive such care. Many older people with dementia attend an ED in their final year of life. In CELPI we will trial using that opportunity of an ED visit as the trigger to implement a triad of carer education, access to palliative care and a formal planning process for participants."
"2006121"	2021-09-14	"Prof Wen Lim"	"Targeted Call for Research"	"End of Life Care"	"IMPART - IMproving PAlliative care in Residential aged care using Telehealth"	"National Ageing Research Institute"	"VIC"	"Research Institutes"	1047057.77	"Health Services Research"	"Aged Health Care"	"randomised controlled trial (rct)"	"intervention study"	"nursing homes"	"aged care"	"palliative care"	"Sixty-thousand Australians die every year in residential aged care facilities but the quality of their end-of-life care varies. The IMPART program aims to improve palliative care in residential aged care using telehealth. We provide training and palliative-geriatric support to aged care staff and general practitioners to enable timely end-of-life discussions, improve documentation of care preferences, reduce avoidable hospitalisation and improve residents' quality of care at the end of life."
"2006170"	2021-09-14	"Prof Peter Hudson"	"Targeted Call for Research"	"End of Life Care"	"Improving the wellbeing of people with advanced cancer and their family carers: An effectiveness-implementation trial of an Australian dyadic digital health intervention (FOCUSau)"	"University of Melbourne"	"VIC"	"University"	1095278.03	"Health Services Research"	"Solid Tumours"	"palliative care"	"end-of-life decision making"	"psycho-oncology"	"family support"	"patient education"	"The end-of-life-wishes for many Australians are not upheld which has a negative impact on their quality of life as well as their family carers. However, patient and carer wellbeing is improved when they are supported together. Our research will adapt and then examine the clinical and health economic benefits of an internet-based strategy (developed in the USA) which aims to improve the quality of life of patients with advanced cancer and their family carers."
"2006283"	2021-09-14	"Dr Craig Sinclair"	"Targeted Call for Research"	"End of Life Care"	"The Enhanced Advance care planning and life Review Longitudinal Intervention (EARLI) study: Increasing proactive care planning in Australian community aged care settings"	"University of New South Wales"	"NSW"	"University"	955827.82	"Health Services Research"	"Aged Care Nursing"	"dementia care"	"end-of-life decision making"	"home care services"	"palliative care"	"decision support"	"The Enhanced Advance care planning and life Review Longitudinal Intervention (EARLI) project will proactively screen older adults at high-risk of health decline and provide assistance to discuss and document preferences for future care. The intervention is implemented in the community aged care setting, through partnerships with home care providers. Expected benefits include increased rates of advance care planning, higher quality documents and improved wellbeing among older adults and carers."
"2007718"	2021-09-14	"Dr Lena Oestreich"	"Investigator Grants"	"Emerging Leadership 1"	"Post-stroke depression: vulnerability, mechanisms and novel treatment targets"	"University of Queensland"	"QLD"	"University"	650740	"Basic Science"	"Health, Clinical and Counselling Psychology"	"neuroimaging"	"neuropsychological impairments"	"magnetic resonance imaging (MRI)"	"stroke outcome"	"secondary prevention"	"People with post-stroke depression have poor rehabilitation outcomes and reduced quality of life. Acute treatment has done very little to shift the burden of disability, which is largely due to the fact that brain-based mechanisms that lead to these problems are poorly understood. This project will combine neuroimaging and computational neuroscience approaches to identify vulnerability states, reveal underlying mechanisms, and propose promising new treatment targets for post-stroke depression."
"2007722"	2021-09-14	"Dr Jessica Heerde"	"Investigator Grants"	"Emerging Leadership 1"	"Improving the health status and reducing the mortality gap for vulnerable young Australians"	"University of Melbourne"	"VIC"	"University"	650740	"Public Health"	"Health Promotion"	"public health"	"health inequalities"	"health promotion"	"young adults"	"mortality"	"Disadvantage and inequality in health status emerge during adolescence and young adulthood, with profound consequences for later life, including premature death. My program of research will for the first-time characterise mortality and access to health care among 700,000 young Australians who have sought homeless services in the past decade. This work will inform policy regarding vulnerable adolescents and young adults as well as guide a range of services including health care and housing."
"2007725"	2021-09-14	"Prof Stephen Stick"	"Investigator Grants"	"Leadership 3"	"Priority driven childhood respiratory research"	"University of Western Australia"	"WA"	"University"	1899839.13	"Clinical Medicine and Science"	"Paediatrics and Reproductive Medicine not elsewhere classified"	"asthma"	"cystic fibrosis"	"airway epithelium"	"SARS-CoV-2"	"innate immunity"	"My research program will focus on children’s lung health. I will measure how tissues in the nose fight viruses. These results will help develop new prevention methods and vaccines. Children with cystic fibrosis (CF), a genetic lung disease, often have difficult-to-treat lung infections. I will use friendly viruses to kill antibiotic-resistant bacteria causing these infections. We will investigate whether wearable devices can detect health changes so children with CF can receive treatment early."
"2007726"	2021-09-14	"Prof Nicholas Buckley"	"Investigator Grants"	"Leadership 3"	"Applied research to tackle the Australian poisoning epidemic"	"University of Sydney"	"NSW"	"University"	1500000	"Public Health"	"Toxicology (incl. Clinical Toxicology)"	"poisoning"	"pharmacoepidemiology"	"suicide prevention"	"toxicology"	"substance misuse"	"Poisoning is a large and increasing cause of deaths and hospitalisation in Australia. The research will use poisons centre calls, medical and coronial records, and prescribing data to identify agents with higher toxicity. Restrictions or tighter regulation could reduce the risks from such poisoning. This research will also evaluate the effect of recent policies, clinical guidelines, and service enhancements that aim to reduce the harms from poisoning."
"2007731"	2021-09-14	"Dr Michelle Torok"	"Investigator Grants"	"Emerging Leadership 2"	"Prevention is better than cure: Development and implementation of an effective multi-strategy approach for youth suicide prevention"	"University of New South Wales"	"NSW"	"University"	1570120	"Public Health"	"Preventive Medicine"	"suicide prevention"	"mental health"	"young adults"	"child health"	"implementation"	"Suicide is a leading cause of death in young Australians, and young people are consistently identified as a group requiring specific attention in suicide prevention policy. By leading an innovative program of research which focuses on solving how to sustainably embed proven effective prevention practices into key settings of young people, at scale, this Fellowship will enable me to address grand challenges in youth suicide prevention both in Australia and internationally."
"2007732"	2021-09-14	"Dr Raissa Fonseca"	"Investigator Grants"	"Emerging Leadership 1"	"Engineering T cells to promote peripheral immunity"	"University of Melbourne"	"VIC"	"University"	650740	"Basic Science"	"Immunology not elsewhere classified"	"immunology"	"molecular immunology"	"CD8 T cells"	"immunologic memory"	"T cell immunity"	"Tissue-resident memory T cells (TRM) are key for immune protection against diseases. This has led to much interest in understanding how TRM develop, although elucidation of molecules that regulate TRM formation are still scarce. This project aims to identify genetic regulators of TRM in peripheral organs. Expected outcomes are to identify molecules shaping TRM development and modulate genetic regulators to enhance immune protection against infections and cancer."
"2007734"	2021-09-14	"A/Prof Linda Wakim"	"Investigator Grants"	"Leadership 1"	"Generating an effective T-cell based influenza vaccine"	"University of Melbourne"	"VIC"	"University"	1398844	"Basic Science"	"Cellular Immunology"	"influenza virus"	"vaccines"	"staphylococcus"	"CD8 T cells"	"mucosal immunity"	"Influenza is a highly contagious, rapidly spreading respiratory pathogen that causes profound morbidity and mortality. Current influenza vaccines are suboptimal, they need to be updated  and administered annually, and provide no protection in the event of a pandemic influenza outbreak. This research program will see the development of a novel universal 'one-shot’ influenza vaccine that provides long term protection against both seasonal and newly emerging pandemic influenza strains."
"2007739"	2021-09-14	"Prof Sharad Kumar"	"Investigator Grants"	"Leadership 3"	"Control of cellular homeostasis in health and disease"	"University of South Australia"	"SA"	"University"	2927015	"Basic Science"	"Cell Development, Proliferation and Death"	"caspases"	"mouse models"	"epithelial transport"	"ubiquitination"	"cell death"	"This research program will explore the roles of an essential cellular process called ubiquitination in influencing human health and disease. Abnormal ubiquitination is associated with many human ailments including cancer, inflammatory diseases, cardiovascular diseases and chronic kidney disease. Our research will uncover new mechanisms involved in these common diseases, thus generating new knowledge to better understand, prevent and help develop new therapeutic tools for their treatment."
"2007741"	2021-09-14	"Prof Manuela Ferreira"	"Investigator Grants"	"Leadership 1"	"Less pain in the back: how new approaches can improve care for low back pain"	"University of Sydney"	"NSW"	"University"	2548555	"Clinical Medicine and Science"	"Rheumatology and Arthritis"	"back pain"	"orthopaedic surgery"	"clinical trial"	"disability"	"access to health care"	"Low back pain causes more disability than any other health condition. Low back pain directly impacts a person’s ability to perform simple daily activities, such as lifting objects, bending and even working. Many treatments currently offered to patients with low back pain may be causing more harm than benefit. The project will improve access to high quality LBP care and will provide knowledge on the safety and efficacy of LBP treatments such as surgery."
"2007747"	2021-09-14	"Prof Lisa Jamieson"	"Investigator Grants"	"Leadership 2"	"Advancing Indigenous Australian oral health through clinical trials, cohort studies and surveillance"	"University of Adelaide"	"SA"	"University"	2598056	"Public Health"	"Aboriginal and Torres Strait Islander Health"	"Aboriginal"	"epidemiology"	"access to dental care"	"clinical trial"	"translation"	"There are gaps between what optimises Indigenous Australian oral health and what is experienced in everyday practice. In partnership with Indigenous stakeholders, this proposal will facilitate best practice oral care models for Indigenous Australians and result in: (1) improved Indigenous oral health outcomes; (2) raised standards of oral clinical care for Indigenous Australians through cultural competency workshops and; (3) capacity building of Indigenous oral health workforce."
"2007765"	2021-09-14	"Dr Kate Churruca"	"Investigator Grants"	"Emerging Leadership 1"	"Building a culture of safety in Australian residential aged care facilities"	"Macquarie University"	"NSW"	"University"	650740	"Health Services Research"	"Aged Health Care"	"culture"	"organisational processes"	"aged care"	"patient safety"	"quality improvement"	"In Australia, the aged care sector has been challenged by issues of quality and safety, including toxic cultures neglect and poor respect for residents. This research program will identify how the culture of residential aged care facilities affects the safety and quality of care provided to residents and put into action strategies to improve culture and thereby residents’ outcomes."
"2007769"	2021-09-14	"Dr Gianina Ravenscroft"	"Investigator Grants"	"Emerging Leadership 2"	"The missing genetics of rare diseases"	"University of Western Australia"	"WA"	"University"	1284836.3	"Clinical Medicine and Science"	"Neurogenetics"	"medical genetics"	"neurogenetics"	"neuromuscular diseases"	"miscarriage"	"genetics"	"to find the genetic causes of rare, often severely debilitating, disease and recurrent miscarriage. These diseases result in a significant burden to the affected individuals and their families and also on Australia’s health care system. A genetic diagnosis provides families with answers, allows family planning, such that couples do not have another affected pregnancy or child, enables appropriate clinical management and gives researchers targets for development of new therapies."
