Project,"Link to project",Category,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Clean Energy Startup Support Programs",https://arena.gov.au/projects/clean-energy-startup-support-programs/,"Renewables for industry",$480k,$1.19m,"EnergyLab Australia ","Advancing Renewables Program",16/12/2019,"New South Wales, Queensland, Victoria","Origin Energy Retail, Powerlink, AusNet Services, University of Technology Sydney, Clean Energy Finance Corporation",Past
"Photothermal Absorption Spectrometer for Cost Reduction in PV Materials",https://arena.gov.au/projects/photothermal-absorption-spectrometer-for-cost-reduction-in-pv-materials/,"Solar energy",$100k,$364k,"University of New South Wales","Commercialisation of R&D Funding Initiative Pilot",13/12/2019,"Kensington, New South Wales","Project Partners  Open Instruments Pty Ltd",Current
"Displacement of Gas by Thermal Energy Storage",https://arena.gov.au/projects/displacement-of-gas-by-thermal-energy-storage/,"Renewables for industry",$103k,$229k,"University of South Australia","Commercialisation of R&D Funding Initiative Pilot",12/12/2019,"Mawson Lakes, South Australia",None,Past
"Photoluminescence Imaging Tool",https://arena.gov.au/projects/photoluminescence-imaging-tool/,"Large-scale solar",$100k,$462k,"University of New South Wales","Commercialisation of R&D Funding Initiative Pilot",12/12/2019,"Kensington, New South Wales","PV Evolution Labs (USA)",Past
"Building Integrated Photovoltaics (BIPV) Enabler",https://arena.gov.au/projects/building-integrated-photovoltaics-bipv-enabler/,"Renewables in buildings",$100k,$320k,"Royal Melbourne Institute of Technology (RMIT)","Commercialisation of R&D Funding Initiative Pilot",05/12/2019,"Melbourne, Victoria","City of Greater Bendigo, International Energy Agency PV Power System (IEA PVPS) Task 15 BIPV, Energus Pty Ltd, International Building Performance Simulation Association, Smart Energy Council, Australian PV Institute, Aurecon, Norman Disney & Young ",Current
"Pilot Project to Trial Solar F2D2",https://arena.gov.au/projects/pilot-project-to-trial-solar-f2d2/,"Large-scale solar",$95k,$293k,"The University of Queensland","Commercialisation of R&D Funding Initiative Pilot",29/11/2019,"Lawes, Queensland","Weidmuller Australia",Past
"Affordable Heating and Cooling Innovation Hub (iHub)",https://arena.gov.au/projects/affordable-heating-and-cooling-innovation-hub-ihub/,"Demand response",$6.48m,$16.72m,"The Australian Institute of Refrigeration, Air Conditioning and Heating","Advancing Renewables Program",19/11/2019,"Melbourne, Victoria","Commonwealth Scientific and Industrial Research Organisation, Queensland University of Technology, University of Melbourne, The University of Wollongong",Current
"Net Zero Energy Homes",https://arena.gov.au/projects/net-zero-energy-homes/,"Renewables in buildings",$784k,$2.05m,"Mirvac Victoria Pty Ltd","Advancing Renewables Program",13/11/2019,"Altona, Victoria",None,Current
"BT Imaging LIS-M1 Solar Module Inspection System",https://arena.gov.au/projects/bt-imaging-lis-m1-solar-module-inspection-system/,"Solar energy",$999k,$2.71m,"BT Imaging","Advancing Renewables Program",08/11/2019,"Alexandria, Melbourne, New South Wales, Victoria, Waterloo","Octopus BT Imaging, Octopus Investments, 5B PV, Evolution Labs",Past
"OMPS New England PHES Benefits Study",https://arena.gov.au/projects/omps-new-england-phes-benefits-study/,"Hydropower / Pumped Hydro Energy Storage",$951k,$2.23m,"OMPS Pty Ltd","Advancing Renewables Program",31/10/2019,"New South Wales","Alinta Energy",Current
"Bright Thinkers Power Station",https://arena.gov.au/projects/bright-thinkers-power-station/,"Solar energy",$496k,$2.62m,"BTPS 1 Pty Ltd","Advancing Renewables Program",22/10/2019,"Keeps Creek, New South Wales","Epho Pty Ltd",Past
"My Energy Marketplace",https://arena.gov.au/projects/wattwatchers-my-energy-marketplace/,"Distributed energy resources",$2.7m,$8.24m,"Energy Saving Networks Group Pty Ltd t/a Wattwatchers Digital Energy","Advancing Renewables Program",22/10/2019,"New South Wales, St Leonards","Australian National University (ANU), Accurassi (Knowledge-Global Pty Ltd), Cogniss (2and2 Pty Ltd), Solar Schools (iWeb Solutions Pty Ltd)",Current
"Alinta Fortescue Solar Gas Hybrid Project",https://arena.gov.au/projects/alinta-fortescue-solar-gas-hybrid-project/,"Battery storage",$24.2m,$208.3m,"Alinta Energy","Advancing Renewables Program",17/10/2019,"Mount Sheila, Western Australia",None,Current
"Capacity Improvement and Flow Balancing of CST Heating/Cooling System",https://arena.gov.au/projects/capacity-improvement-and-flow-balancing-of-rooftop-cst-heating-cooling-system/,"Concentrated solar thermal",$136k,$258k,"Echuca Regional Health","Advancing Renewables Program",02/10/2019,"Echuca, Victoria",None,Past
"TransGrid Wallgrove Battery",https://arena.gov.au/projects/transgrid-wallgrove-battery/,"Battery storage",$10.15m,$65.46m,TransGrid,"Advancing Renewables Program",28/09/2019,"New South Wales, Wallgrove","Tesla Motors Australia, Infigen Energy ",Current
"Feasibility Study for a Green Hydrogen and Ammonia Project",https://arena.gov.au/projects/feasibility-study-for-a-green-hydrogen-and-ammonia-project/,"Hydrogen energy",$1.62m,$2.89m,"Queensland Nitrates Pty Ltd","Advancing Renewables Program",23/09/2019,"Moura, Queensland","Neoen Australia Pty Ltd, Advisian Pty Ltd (part of the Worley Group)",Past
"DER Integration and Automation Project",https://arena.gov.au/projects/der-integration-and-automation-project/,"Distributed energy resources",$2.05m,$4.11m,Evoenergy,"Advancing Renewables Program",19/09/2019,"Australian Capital Territory","GreenSync, Schneider Electric, Withywindle, SA Power Networks, Energy Queensland Limited",Past
"Advancing Renewables with PCM Thermal Energy Storage",https://arena.gov.au/projects/advancing-renewables-with-pcm-thermal-energy-storage/,"Renewables for industry",$1.96m,$4.95m,"Glaciem Cooling Technologies Pty Ltd","Advancing Renewables Program",18/09/2019,"Barossa Valley, Nairne, Queensland, South Australia, Townsville","Montague Orchards, Reef HQ Aquarium, Pernod Ricard Winemakers Pty Ltd, University of South Australia",Current
"Scaling Up Environmental Upgrade Agreements Across Australia",https://arena.gov.au/projects/scaling-up-environmental-upgrade-agreements-across-australia/,"Renewables in buildings",$755k,$1.89m,"Sustainable Melbourne Fund","Advancing Renewables Program",09/09/2019,"Melbourne, Victoria",None,Current
"East Rockingham Waste to Energy",https://arena.gov.au/projects/east-rockingham-waste-to-energy/,"Bioenergy / Energy from waste",$18m,$510.8m,"Tribe Infrastructure, New Energy Corporation, HZI","Advancing Renewables Program",23/08/2019,"Perth, Western Australia","Acciona, Suez",Current
"Powerlink Cost-Effective System Strength Study",https://arena.gov.au/projects/powerlink-cost-effective-system-strength-study/,"System security and reliability",$491k,$922k,Powerlink,"Advancing Renewables Program",06/08/2019,"Queensland, Virginia","Sun Metals Corporation, Pacific Hydro, GHD",Past
"Logan City Biosolids Gasification Project",https://arena.gov.au/projects/logan-city-biosolids-gasification-project/,"Bioenergy / Energy from waste",$6.22m,$17.28m,"Logan City Council","Advancing Renewables Program",19/07/2019,"Loganholme, Queensland","Downer Utilities, WSP Australia, Cardno (QLD), Pyrocal",Current
"Battery of the Nation Future State NEM Analysis (Stage 2)",https://arena.gov.au/projects/battery-of-the-nation-future-state-nem-analysis-stage-2/,"Hydropower / Pumped Hydro Energy Storage",$500k,$2m,"Hydro-Electric Corporation","Advancing Renewables Program",19/07/2019,Tasmania,None,Past
"Feasibility of Renewable Green Hydrogen",https://arena.gov.au/projects/feasibility-of-renewable-green-hydrogen/,"Hydrogen energy",$980k,$2.97m,"Dyno Nobel Moranbah Pty Ltd","Advancing Renewables Program",27/06/2019,"Moranbah, Queensland","Incitec Pivot Limited",Past
"Agnew Renewable Energy Microgrid",https://arena.gov.au/projects/agnew-renewable-energy-microgrid/,"Battery storage",$13.5m,$111.6m,"Agnew Gold Mining Company Pty Ltd","Advancing Renewables Program",11/06/2019,"Leinster, Western Australia","Energy Developments Limited, Goldwind, Juwi, Cummins",Current
"Solar PV Module Design",https://arena.gov.au/projects/solar-pv-module-design/,"Solar energy",$285k,$809k,"The University of New South Wales","Advancing Renewables Program",05/06/2019,"New South Wales, Sydney","3M Company, 5B Solar ",Past
"Module Design for Lower Field Operating Temperature & Improved Yield Study",https://arena.gov.au/projects/module-design-for-lower-field-operating-temperature-improved-yield-study/,"Solar energy",$285k,$809k,"The University of New South Wales","Advancing Renewables Program",05/06/2019,"Kensington, New South Wales","3M Company, 5B Solar",Past
"United Energy Voltage Controlled Frequency Regulation System",https://arena.gov.au/projects/united-energy-voltage-controlled-frequency-regulation-system/,"System security and reliability",$900k,$1.4m,"United Energy Distribution Pty Ltd","Advancing Renewables Program",31/05/2019,Victoria,None,Current
"National Energy Simulator Feasibility Study",https://arena.gov.au/projects/national-energy-simulator-feasibility-study/,"System security and reliability",$500k,$1.71m,"Australian Energy Market Operator (AEMO)","Advancing Renewables Program",24/05/2019,"Melbourne, Victoria","Commonwealth Scientific and Industrial Research Organisation (CSIRO)",Past
"National Ultrafast EV Charging Infrastructure Network",https://arena.gov.au/projects/national-ultrafast-ev-charging-infrastructure-network/,"Electric vehicles",$15m,$50.2m,"Fast Cities Australia Pty Ltd (trading as Evie Networks)","Advancing Renewables Program",01/05/2019,"National, Queensland","St Baker Energy Innovation Fund",Current
"Renewable Hydrogen Production and Refuelling Project",https://arena.gov.au/projects/renewable-hydrogen-production-and-refuelling-project/,"Hydrogen energy",$1.13m,$4.97m,"BOC Limited","Advancing Renewables Program",01/05/2019,"Pinkenba, Queensland","ITM Power Pty Ltd, Queensland University of Technology, Hyundai Motor Company Australia",Current
"Commercialisation of Renewable Crude Oil Production",https://arena.gov.au/projects/commercialisation-of-renewable-crude-oil-production/,"Bioenergy / Energy from waste",$4m,$12.29m,"Southern Oil Refining Pty Ltd","Advancing Renewables Program",23/04/2019,"Gladstone, Queensland","Melbourne Water Corporation, Queensland Urban Utilities",Current
"AEMO Virtual Power Plant Demonstrations",https://arena.gov.au/projects/aemo-virtual-power-plant-demonstrations/,"Distributed energy resources",$3.46m,$7.07m,"Australian Energy Market Operator Limited","Advancing Renewables Program",29/03/2019,Victoria,None,Past
"Decentralised Energy Exchange (deX) Program",https://arena.gov.au/projects/decentralised-energy-exchange/,"Distributed energy resources",$8.31m,$17.27m,"GreenSync Pty Ltd","Advancing Renewables Program",26/03/2019,Victoria,None,Past
"UniWave200 King Island Project - Wave Swell",https://arena.gov.au/projects/uniwave200-king-island-project-wave-swell/,"Ocean energy",$4.03m,$12.3m,"Wave Swell Energy","Advancing Renewables Program",26/03/2019,"King Island, Tasmania",None,Current
"Intermittent Dynamic Electrowinning Using Renewable Energy",https://arena.gov.au/projects/intermittent-dynamic-electrowinning/,"Off grid",$266k,$756k,"Element 25 Limited","Advancing Renewables Program",22/03/2019,"Kumarina, Western Australia",None,Past
"Lake Bonney Stages 2/3",https://arena.gov.au/projects/lake-bonney-stages-2-3/,"Wind energy",$405k,$1.1m,"Vestas - Australian Wind Technology Pty Ltd","Advancing Renewables Program",19/03/2019,"German Flat, South Australia","Infigen Energy Services Pty Limited, Utopus Insights, Inc.\",Past
"Solar Power Ensemble Forecaster",https://arena.gov.au/projects/solar-power-ensemble-forecaster/,"Solar energy",$1.24m,$3.37m,"Industrial Monitoring & Control (IMC)","Advancing Renewables Program",15/03/2019,"New South Wales, Queensland, Victoria","University of South Australia Centre for Industrial and Applied Mathematics, University of New South Wales, CSIRO",Past
"Ararat Wind Farm",https://arena.gov.au/projects/ararat-wind-farm/,"Wind energy",$270k,$541k,"DNV GL Australia Pty Ltd","Advancing Renewables Program",14/03/2019,"Victoria, Warrak","Ararat Wind Farm, RES Australia",Past
"Using Upstream LIDAR Measurements",https://arena.gov.au/projects/using-upstream-lidar-measurements-to-improve-the-accuracy-of-5-minute-ahead-wind-forecasts/,"Wind energy",$393k,$813k,"Windlab Limited","Advancing Renewables Program",12/03/2019,"Hughenden, Queensland",None,Past
"Charge Together Phase 2",https://arena.gov.au/projects/charge-together-phase-2/,"Electric vehicles",$469k,$1.27m,Evenergi,"Advancing Renewables Program",11/03/2019,"New South Wales, Sydney","Ausgrid, NSW Government, NRMA and South Australian Government",Past
"Lastek Measurement Guidelines for Tandem Solar Cells Project",https://arena.gov.au/projects/lastek-measurement-guidelines-for-tandem-solar-cells/,"Solar energy",$732k,$1.61m,"Lastek Pty Ltd","Advancing Renewables Program",26/02/2019,"New South Wales, South Australia",CSIRO,Past
"Toyota Ecopark Hydrogen Demonstration",https://arena.gov.au/projects/toyota-ecopark-hydrogen-demonstration/,"Hydrogen energy",$3.37m,$8.1m,"Toyota Motor Corporation Australia Limited","Advancing Renewables Program",20/02/2019,"Altona, Victoria",None,Current
"REALM: Renewable Energy and Load Management",https://arena.gov.au/projects/realm-renewable-energy-load-management-businesses/,"Renewables for industry",$428k,$868k,"Institute for Sustainable Futures","Advancing Renewables Program",19/02/2019,"New South Wales, Queensland, South Australia, Victoria","Australian Alliance for Energy Productivity, Schneider Electric",Past
"Wind Forecasting for the NEM",https://arena.gov.au/projects/wind-forecasting-nem/,"Wind energy",$493k,$911k,"Fulcrum3D Pty Ltd","Advancing Renewables Program",07/02/2019,"New South Wales, South Australia, Victoria","Pacific Hydro Pty Ltd",Past
"evolve DER Project",https://arena.gov.au/projects/evolve-der-project/,"Distributed energy resources",$4.29m,$12.94m,"Zeppelin Bend Pty Ltd ","Advancing Renewables Program",04/02/2019,"Australian Capital Territory, New South Wales, Queensland","The ANU, Energy Queensland, Ergon Energy, Energex, Essential Energy, Endeavour Energy, Ausgrid, Reposit Power, Evergen, Redback Technologies, SwitchDIn, NSW Government",Current
"Aeolius Wind Forecasting Project",https://arena.gov.au/projects/aeolius-wind-forecasting-project/,"Wind energy",$1.89m,$4.96m,"Aeolius Wind Systems Pty Ltd","Advancing Renewables Program",31/01/2019,"MacArthur, Victoria","AGL Energy Ltd, Curtin University, Adelaide University",Current
"Proa Analytics Solar Forecasts",https://arena.gov.au/projects/proa-analytics-solar-forecasts/,"Solar energy",$728k,$1.39m,"Proa Analytics Pty Ltd","Advancing Renewables Program",21/01/2019,"Queensland, Victoria","Sieltec Canarias, Oakey 1 Asset Company Pty Ltd, Genex Power Limited",Past
"Wind Forecasting Demonstration Project",https://arena.gov.au/projects/wind-forecasting-demonstration-project/,"Wind energy",$2.18m,$5.52m,"Meridian Energy Australia","Advancing Renewables Program",17/01/2019,"South Australia, Victoria","University of Melbourne",Current
"Advanced VPP Grid Integration",https://arena.gov.au/projects/advanced-vpp-grid-integration/,"Distributed energy resources",$1.03m,$2.48m,"SA Power Networks","Advancing Renewables Program",15/01/2019,"South Australia","Tesla Motors Australia, CSIRO",Past
"Enhanced Reliability Through Short Time Resolution Data",https://arena.gov.au/projects/enhanced-reliability-through-short-time-resolution-data-around-voltage-disturbances/,"Distributed energy resources",$491k,$1.28m,"Solar Analytics","Advancing Renewables Program",09/01/2019,"New South Wales",None,Past
"Smart Hot Water System",https://arena.gov.au/projects/smart-hot-water-system/,"Distributed energy resources",$40k,$61k,"Royal Automobile Club of Victoria (RACV)","Advancing Renewables Program",09/01/2019,Victoria,"Reposit Power, WheezyTech, Wilson Industries, Citipower, Powercor Australia, United Energy Distribution",Past
"Community Models for Deploying and Operating DER",https://arena.gov.au/projects/community-models-for-deploying-and-operating-distributed-energy-resources/,"Distributed energy resources",$498k,$1.37m,"The Australian National University","Advancing Renewables Program",09/01/2019,"Australian Capital Territory, Queensland, Tasmania, Victoria","Energy Consumers Australia, Energy Networks Association, Enova Community Energy, RePower, Shoalhaven, TasNetworks, Thinking In Colours, Totally Renewable Yackandandah, Evoenergy",Past
"Solar Farm Solutions & the Australian Energy Sector",https://arena.gov.au/projects/solcast-nowcasting-solutions-for-solar-farms/,"Solar energy",$781k,$2.57m,"Solar and Storage Modelling Pty Ltd","Advancing Renewables Program",09/01/2019,"New South Wales, Queensland, South Australia, Victoria","Wirsol, Oakey 1 Asset Company Pty Ltd, Neoen Australia, Foresight Group, First Solar, EnergyAustralia, Edify Energy, FRV, Dispatch Solutions, CWP Renewables",Past
"Optimal DER Scheduling for Frequency Stability",https://arena.gov.au/projects/optimal-der-scheduling-for-frequency-stability-study/,"Distributed energy resources",$527k,$1.71m,"The University of Tasmania","Advancing Renewables Program",07/01/2019,Tasmania,"The ANU, TasNetworks, Powerlink Queensland, Technische Universitat Berlin",Past
"Advanced Planning of PV-Rich Distribution Networks Study",https://arena.gov.au/projects/advanced-planning-of-pv-rich-distribution-networks-study/,"Distributed energy resources",$203k,$497k,"University of Melbourne","Advancing Renewables Program",07/01/2019,Victoria,Ausnet,Past
"Hydrostor Angas A-CAES Project",https://arena.gov.au/projects/hydrostor-angas-a-caes-project/,"Hydropower / Pumped Hydro Energy Storage",$0k,$33m,"Hydrostor Australia Pty Ltd.","Advancing Renewables Program",07/01/2019,"South Australia",None,Past
"Advanced Energy Resources Wind, Solar and Battery Project",https://arena.gov.au/projects/advanced-energy-resources-wind-solar-and-battery-project/,"Battery storage",$3m,$12.24m,"PGWF Pty Ltd","Advancing Renewables Program",07/01/2019,"Port Gregory, Western Australia","Advanced Energy Resources Pty Ltd",Current
"Demonstration of Three Dynamic Grid-Side Technologies",https://arena.gov.au/projects/demonstration-of-three-dynamic-grid-side-technologies/,"Distributed energy resources",$1.06m,$2.12m,"Jemena Electricity Networks (Vic)","Advancing Renewables Program",04/01/2019,Victoria,"AusNet Services, University of NSW, State Grid International Development Co.",Past
"Distributed Energy Resources Hosting Capacity Study",https://arena.gov.au/projects/distributed-energy-resources-hosting-capacity-study/,"Distributed energy resources",$164k,$353k,"Powercor Australia Ltd","Advancing Renewables Program",20/12/2018,"Melbourne, Victoria","ENEA Australia",Past
"Conversion of Remote Crude Oil Beam Pumps to Solar & Battery",https://arena.gov.au/projects/conversion-of-remote-crude-oil-beam-pumps/,"Solar energy",$4.2m,$16.05m,"Santos Limited","Advancing Renewables Program",14/12/2018,"Queensland, South Australia",None,Current
"National Low-Voltage Feeder Taxonomy Study",https://arena.gov.au/projects/national-low-voltage-feeder-taxonomy-study/,"Distributed energy resources",$485k,$2.7m,CSIRO,"Advancing Renewables Program",14/12/2018,"New South Wales, Newcastle","Energy Networks Australia, Ausgrid, AusNet Electricity Services, Western Power, Endeavour Energy, Energy Queensland, Essential Energy, Horizon Power, SA Power Networks, TasNetworks",Past
"Dynamic Limits DER Feasibility Study",https://arena.gov.au/projects/dynamic-limits-der-feasibility-study/,"Distributed energy resources",$292k,$798k,"Dynamic Limits Pty Ltd","Advancing Renewables Program",12/12/2018,"New South Wales, South Australia","UniSA, SAGE Automation, Opto22",Past
"Gullen Range Wind Farm Field Study",https://arena.gov.au/projects/gullen-range-wind-farm-field-study/,"System security and reliability",$271k,$573k,"Goldwind Australia","Advancing Renewables Program",12/12/2018,"Bannister, New South Wales",None,Past
"Pricing and Integration of Distributed Energy Resources",https://arena.gov.au/projects/pricing-and-integration-of-distributed-energy-resources-study/,"Distributed energy resources",$207k,$569k,"Oakley Greenwood Pty Ltd","Advancing Renewables Program",06/12/2018,Queensland,"Australian Energy Council Limited, Australian Energy Market Operation Limited, Energy Consumers Australia Limited, Total Environment Centre Inc, Enel X (formally EnerNOC), OC Energy, GreenSync",Past
"Indra Monash Smart City",https://arena.gov.au/projects/indra-monash-smart-city/,"Distributed energy resources",$2.97m,$7.17m,"Indra Australia Pty Limited","Advancing Renewables Program",24/11/2018,"Clayton, Victoria",None,Current
"Residential Heat Pump Study",https://arena.gov.au/projects/residential-heat-pump-study/,"Geothermal energy",$500k,$1.64m,"Climate-KIC Australia","Advancing Renewables Program",12/11/2018,"Blacktown, New South Wales","Presync, Frasers, New South Wales Office of Environment and Heritage, University of Technology Sydney, Curtin University, Wattwatchers, Green Building Council of Australia",Past
"Accelerating the Growth Development of Energy Monitoring",https://arena.gov.au/projects/accelerating-the-growth-development-of-energy-monitoring/,"Renewables for industry",$160k,$23.09m,"Solar Analytics","Advancing Renewables Program",05/11/2018,"New South Wales, Redfern",None,Past
"Application of Advanced Short Term Power Generation Forecasting",https://arena.gov.au/projects/advanced-short-term-power-generation/,"Solar energy",$499k,$999k,"Advisian Pty Ltd","Advancing Renewables Program",01/11/2018,Queensland,"Monash University, Palisade Investment Partners Limited",Past
"Mount Piper Energy Recovery Project Final Investment Decision Study",https://arena.gov.au/projects/mount-piper-energy-recovery-project-final-investment-decision-study/,"Bioenergy / Energy from waste",$1.06m,$3.58m,"RE. Group, EnergyAustralia Development","Advancing Renewables Program",19/10/2018,"Blackmans Flat, New South Wales",None,Current
"Chargefox Electric Vehicle Charging Network Project",https://arena.gov.au/projects/chargefox-electric-vehicle-charging-network-project/,"Electric vehicles",$6m,$15m,Chargefox,"Advancing Renewables Program",16/10/2018,"New South Wales, Queensland, South Australia, Victoria, Western Australia",None,Current
"Kwinana Waste to Energy Project",https://arena.gov.au/projects/kwinana-waste-to-energy-project/,"Bioenergy / Energy from waste",$23m,$696m,"Macquarie Capital, Phoenix Energy, Dutch Infrastructure Fund","Advancing Renewables Program",16/10/2018,"Kwinana, Western Australia","Acciona, Veolia, Keppel Seghers",Current
"Ausgrid Power2U Project",https://arena.gov.au/projects/ausgrid-power2u/,"Demand response",$1m,$4.2m,Ausgrid,"Advancing Renewables Program",04/10/2018,"New South Wales","City of Sydney",Past
"Fulcrum3D CloudCAM Solar Forecasting",https://arena.gov.au/projects/fulcrum3d-cloudcam-solar-forecasting-for-the-nem/,"Solar energy",$490k,$991k,"Fulcrum3D Pty Ltd","Advancing Renewables Program",19/09/2018,"Einasleigh, Queensland","Genex Power Ltd",Past
"Business Renewables Centre Australia",https://arena.gov.au/projects/business-renewables-centre-australia/,"Renewables for industry",$500k,$1.73m,"Climate-KIC Australia","Advancing Renewables Program",13/09/2018,"New South Wales",None,Past
"Project Marinus: Further Bass Strait Interconnection",https://arena.gov.au/projects/project-marinus-further-bass-strait-interconnection/,"System security and reliability",$10m,$20m,TasNetworks,"Advancing Renewables Program",04/09/2018,Tasmania,None,Past
"Shoalhaven Pumped Hydro Expansion Feasibility Study",https://arena.gov.au/projects/shoalhaven-pumped-hydro/,"Hydropower / Pumped Hydro Energy Storage",$1.6m,$7.2m,"Origin Energy Eraring Pty Limited","Advancing Renewables Program",28/08/2018,"New South Wales",None,Past
"Cities Power Partnership",https://arena.gov.au/projects/cities-power-partnership/,"Distributed energy resources",$493k,$2.32m,"Climate Council of Australia Ltd","Advancing Renewables Program",27/08/2018,Victoria,None,Past
"BMS-Inverter Hybrid Project",https://arena.gov.au/projects/bms-inverter-hybrid-project/,"Battery storage",$338k,$751k,Relectrify,"Advancing Renewables Program",22/08/2018,Victoria,None,Past
"Jemena Power to Gas Demonstration",https://arena.gov.au/projects/jemena-power-to-gas-demonstration/,"Hydrogen energy",$7.5m,$13.21m,Jemena,"Advancing Renewables Program",09/08/2018,"New South Wales, Sydney",None,Current
"Middleback Ranges PHES Pre-Feasibility Study",https://arena.gov.au/projects/middleback-ranges-pumped-hydro-energy-storage-project-pre-feasibility-study/,"Hydropower / Pumped Hydro Energy Storage",$500k,$1.62m,"OneSteel Manufacturing Pty Ltd","Advancing Renewables Program",03/08/2018,"South Australia",None,Past
"Bio Inspired Hydrogen Generation",https://arena.gov.au/projects/bio-inspired-hydrogen-generation/,"Hydrogen energy",$615k,$1.77m,"The Australian National University","Advancing Renewables Program",01/08/2018,"Australian Capital Territory, New South Wales","University of Wollongong",Current
"Improving Efficiency, Durability & Cost-effectiveness of III-V Semiconductors",https://arena.gov.au/projects/direct-water-electrolysis/,"Hydrogen energy",$1.31m,$3.52m,"The Australian National University","Advancing Renewables Program",01/08/2018,"Australian Capital Territory","MicroLink Devices, Inc., University of Michigan",Current
"Efficient Solar Hydrogen Generation",https://arena.gov.au/projects/efficient-solar-hydrogen-generation/,"Hydrogen energy",$1.71m,$4.37m,"The Australian National University","Advancing Renewables Program",01/08/2018,"Australian Capital Territory","Shenzhen Kohodo Hydrogen Energy, University of New South Wales",Current
"Solar Thermochemical Hydrogen Research and Development",https://arena.gov.au/projects/solar-thermochemical-hydrogen-research-and-development/,"Hydrogen energy",$2m,$4.04m,CSIRO,"Advancing Renewables Program",01/08/2018,"New South Wales","Niigata University, Japan Institute of Applied Energy (IAE)",Current
"Hydrogen to Ammonia Research and Development",https://arena.gov.au/projects/hydrogen-to-ammonia/,"Hydrogen energy",$1.17m,$2.83m,CSIRO,"Advancing Renewables Program",01/08/2018,Victoria,"Orica Australia Pty, Grains Research and Development Corporation",Past
"Methane Fuel Carrier Research and Development",https://arena.gov.au/projects/methane-fuel-carrier/,"Hydrogen energy",$1.08m,$2.17m,CSIRO,"Advancing Renewables Program",01/08/2018,"New South Wales",None,Past
"Liquid Fuel Carrier Research and Development",https://arena.gov.au/projects/liquid-fuel-carrier/,"Hydrogen energy",$1.01m,$2.51m,CSIRO,"Advancing Renewables Program",01/08/2018,Victoria,"Johnson Matthey, BG Negev Technologies and Applications",Past
"Biological Hydrogen Production",https://arena.gov.au/projects/biological-hydrogen-production/,"Hydrogen energy",$1.14m,$2.82m,"Macquarie University","Advancing Renewables Program",01/08/2018,"New South Wales","Bioplatforms Australia Ltd, BOC Australia",Current
"Low-Cost, Robust, High-Activity Water Splitting Electrodes",https://arena.gov.au/projects/low-cost-robust-high-activity-water-splitting-electrodes/,"Hydrogen energy",$1.05m,$3.69m,"Monash Energy Materials and System Institute (MEMSI)","Advancing Renewables Program",01/08/2018,"Clayton, Victoria","University of Wollongong",Current
"Ammonia Production from Renewables",https://arena.gov.au/projects/ammonia-production-from-renewables/,"Hydrogen energy",$913k,$2.73m,"Monash University","Advancing Renewables Program",01/08/2018,"Clayton, Victoria",None,Current
"Hydrogen Process Research & Development",https://arena.gov.au/projects/qut-hydrogen-process-research-and-development/,"Hydrogen energy",$3.65m,$8.04m,"Queensland University of Technology","Advancing Renewables Program",01/08/2018,"Queensland, Victoria","Swinburne University of Technology, Sumitomo Electric Industries, Griffith University, Energy Developments Limited, CS Energy",Past
"Proton Flow Reactor System",https://arena.gov.au/projects/proton-flow-reactor-system/,"Hydrogen energy",$805k,$1.77m,"RMIT University","Advancing Renewables Program",01/08/2018,"Melbourne, Victoria","Eldor Corporation, Institute for Carbon-Neutral Energy Research, Kyushu University",Past
"Enabling Efficient, Affordable & Robust Use of Renewable Hydrogen",https://arena.gov.au/projects/enabling-efficient-affordable-robust-renewable-hydrogen/,"Hydrogen energy",$2.59m,$8.61m,"University of Melbourne","Advancing Renewables Program",01/08/2018,"Melbourne, Victoria","University of New South Wales, MAN Diesel & Turbo SE, Energy Power Systems Australia Pty Ltd, Continental Automotive Systems Inc, Energy Australia",Current
"Highly Efficient & Low Cost Photovoltaic-Electrolysis System",https://arena.gov.au/projects/highly-efficient-and-low-cost-photovoltaic-electrolysis-pve-system-to-generate-hydrogen-by-harvesting-the-full-spectrum-of-sunlight/,"Hydrogen energy",$1.31m,$5.04m,"University of New South Wales","Advancing Renewables Program",01/08/2018,"New South Wales","Beijing Zhongchao Haiqi Technology, RayGen Resources, Shenzhen Kohodo Sunshine Renewable Energy Co.",Current
"Waste Biomass to Renewable Hydrogen",https://arena.gov.au/projects/waste-biomass-to-renewable-hydrogen/,"Hydrogen energy",$1.04m,$2.54m,"University of New South Wales","Advancing Renewables Program",01/08/2018,"New South Wales","Beijing Origin Water Technology Co. Ltd, Apricus Energy",Current
"UWA Methanol from Syngas Research & Development",https://arena.gov.au/projects/uwa-methanol-from-syngas-research-and-development/,"Hydrogen energy",$1.03m,$2.85m,"The University of Western Australia","Advancing Renewables Program",01/08/2018,"Western Australia","Anergy Pty Ltd",Current
"Lake Bonney Battery Energy Storage System",https://arena.gov.au/projects/lake-bonney-battery-energy-storage-system/,"Battery storage",$5m,$41.6m,"Infigen Energy","Advancing Renewables Program",09/07/2018,"Mount Gambier, South Australia",None,Current
"SolPod Solar PV Demonstration Project",https://arena.gov.au/projects/solpod-solar-pv-demonstration-project/,"Solar energy",$975k,$5.06m,"Solpod Pty Ltd","Advancing Renewables Program",09/07/2018,"New South Wales, Victoria",None,Past
