"APP ID"	"Date Announced"	"CIA_Name"	"Grant Type"	"Sub Type"	"Grant Title"	"Admin Institution"	"State"	"Sector"	"Start Yr"	"End Yr"	"Total"	"Broad Research Area"	"FOR Category"	"Field of Research"	"Res KW1"	"Res KW2"	"Res KW3"	"Res KW4"	"Res KW5"	"Plain Description"
1117171	2016-10-27	"Prof Stephen Lord"	"Research Fellowships"	"Research Fellowship"	"Fall Prevention in Older People and those with neurodegenerative disorders"	"University of New South Wales"	"NSW"	"University"	"2017"	"2021"	938910	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Aged Health Care"	"accidental falls"	"balance disorders"	"exercise training"	"aged health"	"multiple sclerosis (MS)"	"Falls are a major heath care problem for older people and clinical groups. This program of research will improve fall risk assessments and design and evaluate promising strategies for improving balance control and preventing falls in these groups."
1117183	2016-10-27	"Prof Michael Parker"	"Research Fellowships"	"Research Fellowship"	"Understanding cell signalling as a basis for new therapeutics"	"St Vincent's Institute of Medical Research"	"VIC"	"Research"	"2017"	"2021"	863910	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Structural Biology (incl. Macromolecular Modelling)"	"cytokine receptor"	"signalling"	"Alzheimer disease"	"crystallography"	"structural biology"	"This fellowship will capitalise on my extensive expertise in determining the three-dimensional atomic structures of proteins to uncover fundamental biological mechanisms in cancer and Alzheimer’s disease as a basis for discovering new drugs to combat these devastating diseases."
1117188	2016-10-27	"Prof Murat Yucel"	"Research Fellowships"	"Research Fellowship"	"Enhancing and integrating addiction neuroscience knowledge with clinical practice, by transforming the approach to assessment and classification protocols, and improving outcomes by using neurocognitive phenotypes for tailored treatments"	"Monash University"	"VIC"	"University"	"2017"	"2021"	838845	"Basic Science"	"PSYCHOLOGY"	"Biological Psychology (Neuropsychology, Psychopharmacology, Physiological Psychology)"	"addictive behaviours"	"neurocognitive assessment"	"psychological treatment"	"impulsivity"	"lifestyle factors"	"Brain research has reshaped the way we understand addiction, but has not yet led to more effective treatments. This Fellowship will facilitate the creation of a neuroscience- and technology-inspired research clinic that will conduct world-leading research into the fundamental underpinnings of how lifestyle and psychological interventions affect brain and mental health, as well as translate this knowledge into effective, safe and accessible treatments tailored to those affected by addiction."
1117192	2016-10-27	"Prof Rob Herbert"	"Research Fellowships"	"Research Fellowship"	"Principal Research Fellowship"	"University of New South Wales"	"NSW"	"University"	"2017"	"2021"	838845	"Clinical Medicine and Science"	"CLINICAL SCIENCES"	"Physiotherapy"	"physiotherapy"	"contracture"	"rehabilitation"	"biomechanics"	"clinical trial"	"I conduct research in physiotherapy, especially physiotherapy treatments for muscle contracture. Over the next 5 years I will investigate mechanisms of normal muscle growth and muscle contracture in adults with stroke and children with cerebral palsy. I will also conduct clinical studies investigating prophylaxis for haemophilia, prevention of complications after spinal cord injury, and multi-level surgery for contracture in children with cerebral palsy."
1117238	2016-10-27	"Prof Geoffrey Head"	"Research Fellowships"	"Research Fellowship"	"Neurogenic mechanisms in hypertension"	"Baker IDI Heart and Diabetes Institute"	"VIC"	"Research"	"2017"	"2021"	763845	"Basic Science"	"CARDIOVASCULAR MEDICINE AND HAEMATOLOGY"	"Cardiology (incl. Cardiovascular Diseases)"	"hypertension"	"obesity"	"sympathetic nervous system"	"stress"	"kidney"	"Hypertension is the major driver of cardiovascular disease affecting over a billion people. The cause is increasingly lifestyle related (obesity and stress) and activation of the nervous system is a major contributor in all cases. My vision for the next 5 years is discover the key underlying mechanisms within the central nervous system and the kidney that are primarily responsible for increasing nervous activity and blood pressure."
1117288	2016-10-27	"Prof Alan Cowman"	"Research Fellowships"	"Research Fellowship"	"Pathogenesis of malaria"	"Walter and Eliza Hall Institute"	"VIC"	"Research"	"2017"	"2021"	863910	"Basic Science"	"MEDICAL MICROBIOLOGY"	"Medical Parasitology"	"malaria"	"malaria vaccine"	"invasion"	"drug development"	"pathogenesis"	"We will investigate malaria, a parasitic disease that kills over 600,000 people a year.  We will explore how the parasite identifies, invades and remodels the host cells in which it lives, scavenging nutrients and hiding from the immune system. We will characterize the proteins involved in these critical events, as they are potential targets for drugs and vaccines.  We will study how parasites cause disease and how the host responds to infection."
1117366	2016-10-27	"A/Pr Livia Hool"	"Research Fellowships"	"Research Fellowship"	"The L-type calcium channel in cardiovascular health and disease"	"University of Western Australia"	"WA"	"University"	"2017"	"2021"	631370	"Basic Science"	"CARDIOVASCULAR MEDICINE AND HAEMATOLOGY"	"Cardiology (incl. Cardiovascular Diseases)"	"ion channels"	"calcium channels"	"cardiac arrhythmia"	"cardiac hypertrophy"	"mitochondria"	"Calcium influx into cardiac muscle cells occurs via the L-type calcium channel. The channel is essential to life but when function is altered it can contribute to the development of sudden death and heart failure. I have made significant discoveries in understanding the role of the channel in disease and I have exploited this knowledge to design therapy including a novel class of calcium channel antagonists to prevent the development of heart failure."
1117483	2016-10-27	"Prof John Wade"	"Research Fellowships"	"Research Fellowship"	"Next generation relaxin molecular probes and therapeutics"	"Florey Institute of Neuroscience and Mental Health"	"VIC"	"Research"	"2017"	"2021"	763845	"Basic Science"	"MEDICINAL AND BIOMOLECULAR CHEMISTRY"	"Proteins and Peptides"	"peptides"	"medicinal chemistry"	"peptide synthesis"	"drug development"	"cardiovascular disease"	"The peptide hormone relaxin is poised to be the first new treatment for acute heart failure in  more than 40 years. However, like other therapeutic peptides, it has a very short duration of action due to its rapid clearance by the body. My work will utilize powerful medicinal chemistry methods to develop new analogues of relaxin that have much longer action by complexing it with sugar or making relaxin polymers. I will also produce  smaller relaxin analogues that will be cheaper to manufacture."
1117501	2016-10-27	"Prof Terrance Johns"	"Research Fellowships"	"Research Fellowship"	"Developing new therapeutic strategies for brain cancer"	"Monash University"	"VIC"	"University"	"2017"	"2021"	763845	"Basic Science"	"ONCOLOGY AND CARCINOGENESIS"	"Cancer Therapy (excl. Chemotherapy and Radiation Therapy)"	"targeted therapy"	"brain tumours"	"receptor tyrosine kinase (RTK)"	"signalling pathways"	"ectopic pregnancy"	"Each year, over 1,500 Australians will develop brain cancer. Unlike many cancers, it cannot be prevented by lifestyle changes. Adults with brain cancer usually die within 2 years. The overall aims of this funding are to extend patients' lives and build brain cancer research in Australia so that we have the best chance of curing this disease. The expected outcome is clinical trial of drug candidates for the most common and most deadly brain cancer, high-grade glioma."
1117504	2016-10-27	"Prof Alexander Loukas"	"Research Fellowships"	"Research Fellowship"	"Helminth secretomes: from vaccines to novel anti-inflammatory biologics"	"James Cook University"	"QLD"	"University"	"2017"	"2021"	938910	"Clinical Medicine and Science"	"MEDICAL MICROBIOLOGY"	"Medical Parasitology"	"helminth infection"	"vaccine development"	"hookworm infection"	"inflammatory bowel disease (IBD)"	"parasitic disease"	"Billions of people in developing countries are infected with parasitic worms, but they have been eradicated from industrialised nations. Humans co-evolved with worms, so their recent removal has deprived us of signals required to keep inflammation in check. My research focuses on worm molecules that can be used to (1) develop vaccines to combat these parasitic infections in developing countries, and (2) as a novel platform of anti-inflammatory therapeutics for use in industrialised nations."
1117510	2016-10-27	"Prof Nigel Laing"	"Research Fellowships"	"Research Fellowship"	"Improving outcomes for individuals and families affected by genetic disease."	"University of Western Australia"	"WA"	"University"	"2017"	"2021"	838845	"Basic Science"	"NEUROSCIENCES"	"Neurology and Neuromuscular Diseases"	"neurogenetics"	"neuromuscular diseases"	"therapy"	"diagnosis"	"preventive screening"	"I aim to reduce illness and death caused by inherited diseases, particularly in unborn children, newborns and infants. I will do this by finding causes of inherited diseases we don’t yet know, investigating treatments for inherited diseases and developing better methods of diagnosing inherited diseases. I will also investigate methods of finding carriers of recessive diseases before they have affected children, so that they can avoid having children affected with severe diseases."
1117527	2016-10-27	"Prof Paul Hertzog"	"Research Fellowships"	"Research Fellowship"	"Manipulating the fine-turning of the innate immune response in disease"	"Monash University"	"VIC"	"University"	"2017"	"2021"	938910	"Basic Science"	"IMMUNOLOGY"	"Innate Immunity"	"interferon (IFN)"	"inflammatory cytokines"	"signalling pathways"	"cytokine network"	"infectious diseases"	"I am an international expert on the body’s first-line defense system, the innate immune response. My Fellowship focuses on studying and manipulating innate immune molecules called interferons. My research will lead to improved management of female reproductive disease, autoimmune disorders, infections and cancer through new diagnostics and therapies targeting the interferon system. The basic knowledge I generate on regulating the immune response will be applicable to a range of medical fields."
1117538	2016-10-27	"A/Pr Robert Gilchrist"	"Research Fellowships"	"Research Fellowship"	"Translating oocyte biology discoveries to new clinical practices"	"University of New South Wales"	"NSW"	"University"	"2017"	"2021"	772605	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Reproduction"	"oocyte maturation"	"reproductive biology"	"reproductive medicine"	"inter-cellular signalling"	"translational research"	"A/Professor Gilchrist is a reproductive biologist studying factors that regulate the intrinsic quality of unfertilised eggs. He has produced and patented the use of unique growth factors produced by the egg that enhance egg quality in women. Bringing together industry and a world-leading clinic, he is developing new forms of hormone-free infertility treatment which he will take to clinical practice over the next 5 years."
1117596	2016-10-27	"Prof Andrew Elefanty"	"Research Fellowships"	"Research Fellowship"	"Haematopoietic stem cells from human pluripotent stem cells: the future of bone marrow transplantation"	"Murdoch Childrens Research Institute"	"VIC"	"Research"	"2017"	"2021"	763845	"Basic Science"	"MEDICAL BIOTECHNOLOGY"	"Regenerative Medicine (incl. Stem Cells and Tissue Engineering)"	"embryonic stem cells"	"haematopoietic stem cells"	"stem cell transplantation"	"development"	"stem cell therapy"	"Blood stem cell transplantation is a vital therapy for patients with leukaemia following chemotherapy or for patients with bone marrow failure. Because many patients lack a donor, there is a need for an alternate source of stem cells. My laboratory will make blood stem cells from human pluripotent stem cells that will treat patients needing a transplant and will be a useful research tool to help us to understand what goes wrong in the blood system in a range of illnesses."
1117602	2016-10-27	"Prof Jonathan Baell"	"Research Fellowships"	"Research Fellowship"	"Small molecule therapeutics: from infectious and parasitic diseases to cancers"	"Monash University"	"VIC"	"University"	"2017"	"2021"	763845	"Basic Science"	"MEDICINAL AND BIOMOLECULAR CHEMISTRY"	"Biologically Active Molecules"	"drug discovery"	"drug development"	"drug design"	"medicinal chemistry"	"protozoan parasitic disease"	"I will lead a team of medicinal chemists to discover better treatments of diseases focused in two major domains. On one hand, I will discover new drugs to treat certain parasitic diseases such as Sleeping Sickness, Chagas disease and malaria, all caused by protozoal parasites. On the other hand, I will discover new drugs to treat certain cancers, in particular acute myeloid leukemia and Burkitt’s lymphoma, caused by dysfunction of certain types of enzymes called histone acetyltransferases."
1117611	2016-10-27	"Prof Mark Jenkins"	"Research Fellowships"	"Research Fellowship"	"Utility of genetic screening for colorectal cancer risk assessment"	"University of Melbourne"	"VIC"	"University"	"2017"	"2021"	631370	"Public Health"	"GENETICS"	"Quantitative Genetics (incl. Disease and Trait Mapping Genetics)"	"screening"	"colorectal cancer prevention"	"genetic predisposition"	"population genetics"	"risk prediction"	"Bowel cancer can be prevented by regular screening, however screening is not targeted to those most at risk and only 30% take up the offer. My research will determine how effective genetic testing of the general population might be as an innovative approach to target screening to those most at risk.  I will use data from existing and funded studies that I lead, and will collaborate with colleagues in my research team that have the necessary expertise in this area, to address this question issue."
1117663	2016-10-27	"Prof Nicholas Hayward"	"Research Fellowships"	"Research Fellowship"	"Improving outcomes from melanoma"	"Queensland Institute of Medical Research"	"QLD"	"Research"	"2017"	"2021"	863910	"Basic Science"	"ONCOLOGY AND CARCINOGENESIS"	"Cancer Genetics"	"melanoma"	"genomics"	"predisposition"	"mutation"	"targeted therapy"	"There is a need to improve early detection, monitoring of relapse, and treatments for melanoma, to increase long-term survival. My research vision is to use innovative and cutting edge approaches to conduct a range of complementary studies under three broad but inter-related themes: Theme 1 – Genetic predisposition to melanoma in the general population; Theme 2 – Genetic predisposition to melanoma in high-density families; Theme 3 – Somatic aberrations underlying melanoma development."
1117687	2016-10-27	"A/Pr Menno van Zelm"	"Research Fellowships"	"Research Fellowship"	"Dissecting human B-cell function: from primary immunodeficiencies to chronic inflammatory disease"	"Monash University"	"VIC"	"University"	"2017"	"2021"	631370	"Basic Science"	"IMMUNOLOGY"	"Humoural Immunology and Immunochemistry"	"antibody"	"immunodeficiency"	"B cells"	"autoimmune disease"	"molecular immunology"	"Despite knowing a lot about immunity in a mice, functional analysis of the human immune system has been a major challenge. I will study defects of immune cells in humans with gene mutations that cause an antibody deficiency. With new insights from these unique clinical samples, I will functionally dissect human immune responses, directly translate these to chronic inflammatory disease, and provide implications for future vaccine development and cancer treatment."
1117718	2016-10-27	"A/Pr Susan Branford"	"Research Fellowships"	"Research Fellowship"	"Defining genomic mechanisms associated with treatment response, drug resistance and early blast crisis in chronic myeloid leukaemia"	"University of South Australia"	"SA"	"University"	"2017"	"2021"	631370	"Clinical Medicine and Science"	"ONCOLOGY AND CARCINOGENESIS"	"Cancer Genetics"	"chronic myeloid leukaemia (CML)"	"gene mutations"	"mutation detection"	"outcome measures"	"DNA sequencing"	"Chronic myeloid leukaemia is a fatal disease if untreated. Most patients now survive with new drugs, but some still rapidly die. I aim to understand these differences by investigating the genetic makeup of patients at diagnosis. Some may have gene mutations that prevent drugs from working effectively. Mutations will be detected using technology that can search more than 30,000 genes at the same time. This work could lead to improved survival for more patients by finding new targets for therapy."
1117724	2016-10-27	"A/Pr Fernando Calamante"	"Research Fellowships"	"Research Fellowship"	"Novel methods to study structural-functional connectivity in epilepsy and schizophrenia"	"Florey Institute of Neuroscience and Mental Health"	"VIC"	"Research"	"2017"	"2021"	697605	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Central Nervous System"	"epilepsy"	"schizophrenia"	"brain function"	"connectivity"	"magnetic resonance imaging (MRI)"	"Magnetic Resonance Imaging (MRI) is a non-invasive method that has revolutionised our understanding of clinical neuroscience. MRI provides not only high-contrast anatomical images, but also information on brain physiology and function. My primary goal is to develop and optimise novel MRI methods for a more accurate measure of brain structure and function. My research program will focus on the application of these methods to the investigation of epilepsy and schizophrenia."
1117748	2016-10-27	"A/Pr Gilda Tachedjian"	"Research Fellowships"	"Research Fellowship"	"Antivirals for HIV Treatment and Prevention"	"Macfarlane Burnet Institute for Medical Research and Public Health"	"VIC"	"Research"	"2017"	"2021"	706370	"Basic Science"	"MEDICAL MICROBIOLOGY"	"Medical Virology"	"human immunodeficiency virus (HIV)"	"antiviral agents"	"drug discovery"	"viral transmission"	"sexually-transmitted infections (STI)"	"HIV/AIDS remains a major global threat with ~37 million individuals living with HIV in 2014. Antiretroviral drugs have transformed HIV from a death sentence into a chronic disease. Public health organisations recommend dramatic scale up of drugs for HIV treatment and prevention. However, a major threat is that drug options will be exhausted in the long-term due to drug resistance and toxicity. The major aim of this study is to advance the development of an entirely new drug class for HIV."
1117766	2016-10-27	"Prof Dale Godfrey"	"Research Fellowships"	"Research Fellowship"	"Unconventional T cells in health and disease"	"University of Melbourne"	"VIC"	"University"	"2017"	"2021"	863910	"Basic Science"	"IMMUNOLOGY"	"Cellular Immunology"	"T cell immunity"	"T cell development"	"cancer immunology"	"immunotherapy"	"lipids"	"The human immune system comprises many different types of cells that can detect foreign molecules. My research will lead the way to understanding some of the most abundant, yet least well understood, cells within this system, collectively known as 'unconventional T cells'. This knowledge is essential to optimally and efficiently manipulate the immune system in health and disease."
1117784	2016-10-27	"A/Pr Adrian Barnett"	"Research Fellowships"	"Research Fellowship"	"Meta-research: Using research to increase the value of health and medical research"	"Queensland University of Technology"	"QLD"	"University"	"2017"	"2021"	631370	"Health Services Research"	"STATISTICS"	"Applied Statistics"	"statistics"	"design"	"economic analysis"	"methodology"	"translational research"	"Improving the return on investment in health and medical research will produce more and faster discoveries that enhance the lives of all Australians. Many problems in the research process are well known and have been pervasive for decades. I will use the research process to improve the research process. I will improve Australia's health and medical research workforce and the quality of the research they produce, creating benefits in multiple fields that last long into the future."
1117812	2016-10-27	"Prof Carola Vinuesa"	"Research Fellowships"	"Research Fellowship"	"Control of pathogenic antibody responses in humans"	"Australian National University"	"ACT"	"University"	"2017"	"2021"	763845	"Basic Science"	"IMMUNOLOGY"	"Cellular Immunology"	"T cell subset"	"B cells"	"autoimmune disease"	"germinal centre"	"antibody"	"Deficient or inappropriate antibody responses are at the core of many autoimmune diseases, allergies, food intolerances, and often explain the failure of vaccination strategies. Specialised follicular T cells control the quality of antibodies produced by B cells. This fellowship will combine basic studies investigating B cell helper or regulatory follicular T cells in humans with genetic studies identifying the causes of autoantibody-driven diseases. The results will uncover targeted therapies."
1117835	2016-10-27	"Dr Paul Gregorevic"	"Research Fellowships"	"Research Fellowship"	"Using gene delivery technologies to define novel mechanisms of skeletal muscle adaptation, and develop muscle-directed interventions for frailty and serious illness"	"Baker IDI Heart and Diabetes Institute"	"VIC"	"Research"	"2017"	"2021"	631370	"Basic Science"	"MEDICAL PHYSIOLOGY"	"Systems Physiology"	"skeletal muscle hypertrophy"	"skeletal muscle wasting"	"neuromuscular diseases"	"gene therapy"	"frailty"	"The focus of my research is to investigate the cellular mechanisms underlying regulation of skeletal muscle size and function in health and disease. By defining these processes we can establish the events contributing to muscle wasting and frailty commonly associated with serious illness and advancing age, and develop interventions to prevent/overcome this important contributor to poor health prospects and reduced survival."
1117873	2016-10-27	"Prof George Patton"	"Research Fellowships"	"Research Fellowship"	"Lifecourse and Global Epidemiology of Adolescent Health and Wellbeing"	"University of Melbourne"	"VIC"	"University"	"2017"	"2021"	863910	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Mental Health"	"adolescent health"	"mental health"	"international comparisons"	"epidemiology"	"developmental"	"In the past 20 years, my group has become the world-leader in adolescent health research.  We have published papers that have transformed thinking on adolescent health. In the next five years, we will undertake research into the effects of puberty on mental health, explore the effects of health prior to pregnancy on a healthy start to life for the next generation and undertake global research that will enable the roll-out of new multi-billion dollar investments in adolescent health."
1117976	2016-10-27	"A/Pr Rebecca Robker"	"Research Fellowships"	"Research Fellowship"	"The legacy of the egg: How maternal factors set offspring health and lifecourse potential"	"University of Adelaide"	"SA"	"University"	"2017"	"2021"	697605	"Basic Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Reproduction"	"oocyte"	"embryo development"	"mitochondria"	"obesity"	"in vitro fertilisation (IVF)"	"Before an oocyte is fertilised, it contains all the material needed to form an embryo, and a legacy of information about its environment. My research aims to discover how oocyte signals, accumulated before conception, determine the health of the future individual; and then harness this knowledge to improve female reproductive health and generate new approaches to treat infertility and to optimise healthy embryo development in all pregnancies."
1118005	2016-10-27	"Prof Matthew Brown"	"Research Fellowships"	"Research Fellowship"	"Solving the causes of and development of new therapies for ankylosing spondylitis and related diseases"	"Queensland University of Technology"	"QLD"	"University"	"2017"	"2021"	863910	"Clinical Medicine and Science"	"GENETICS"	"Genetic Immunology"	"arthritis"	"genetics"	"association studies"	"microbial pathogenesis"	"inflammatory diseases"	"Ankylosing spondylitis (AS) is a highly heritable and common form of arthritis affecting primarily the spine and pelvis, and is the 2nd most common form of arthritis worldwide (~0.55%).  In this fellowship I will extend my world-leading program of AS research by increasing understanding of its basic causes through research into its genetic and environmental triggers, and from this develop new treatments for this and related diseases such as psoriasis and inflammatory bowel disease."
1118153	2016-10-27	"Prof Michael Breakspear"	"Research Fellowships"	"Research Fellowship"	"Brain Connectomics in Psychiatry"	"Queensland Institute of Medical Research"	"QLD"	"Research"	"2017"	"2021"	763845	"Clinical Medicine and Science"	"NEUROSCIENCES"	"Central Nervous System"	"connectivity"	"affective disorders"	"ageing"	"brain imaging"	"modelling"	"Psychiatric disorders are associated with considerable social and economic burden which could be reduced if we understood mental health outcomes in high risk populations. This fellowship will use advanced brain imaging to understand the development of mental health disorders in those at high risk of bipolar disorder and dementia."
1118161	2016-10-27	"A/Pr Dianna Magliano"	"Research Fellowships"	"Research Fellowship"	"Harnessing multiple large datasets to answer critical questions on diabetes epidemiology"	"Baker IDI Heart and Diabetes Institute"	"VIC"	"Research"	"2017"	"2021"	631370	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Epidemiology"	"diabetes"	"databases"	"data linkage"	"dementia"	"environmental epidemiology"	"This proposal will examine novel causes and consequences of diabetes using three approaches. Firstly, it will examine diabetes trends. Secondly, it will use the Australian Diabetes Registry linked to several key government database to explore important research questions, related to diabetes treatment, dementia and endstage kidney disease, which previously were not able to be answered. Thirdly,  it will examine the role of environmental pollutants in the development of chronic disease."
1118170	2016-10-27	"Prof Gregory Goodall"	"Research Fellowships"	"Research Fellowship"	"Discovering how microRNAs and circRNAs control cancer metastasis"	"University of South Australia"	"SA"	"University"	"2017"	"2021"	763845	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Biochemistry and Cell Biology not elsewhere classified"	"microrna"	"RNA processing"	"regulation"	"cancer metastasis"	"cancer biology"	"Most cancers arise from epithelial cells, and most deaths from these cancers are due to the transition of the cancer to an invasive form, that can invade tissues and establish secondary cancers (metastases). Our work will focus on understanding how recently discovered gene regulators, called microRNAs and circular RNAs, control changes in cancer cells to allow them to progress to invasive, metastatic forms and use this knowledge to find ways to block the process."
1118225	2016-10-27	"Prof Neville Owen"	"Research Fellowships"	"Research Fellowship"	"Too Much Sitting and Too Little Exercise: Addressing Chronic Disease in Ageing Populations"	"Baker IDI Heart and Diabetes Institute"	"VIC"	"Research"	"2017"	"2021"	863910	"Public Health"	"PUBLIC HEALTH AND HEALTH SERVICES"	"Health Promotion"	"sedentary behaviour"	"physical activity"	"preventive health"	"diabetes prevention"	"heart disease"	"Better approaches to type 2 diabetes, heart disease, and breast and colon cancer are needed for middle-aged and older Australians. It is well-known that their health can be improved by regular exercising, but this has so far proven to be difficult for the majority. Through researching an ‘activity spectrum’ approach involving less sitting and more-varied real-life activities, Professor Owen and his team will identify practical new ways to prevent and manage the burden of these chronic diseases."
1118452	2016-10-27	"A/Pr Anthony White"	"Research Fellowships"	"Research Fellowship"	"Trace element regulation in neurological disease: From molecular pathogenesis to translational impact."	"Queensland Institute of Medical Research"	"QLD"	"Research"	"2017"	"2021"	631370	"Basic Science"	"NEUROSCIENCES"	"Cellular Nervous System"	"trace element"	"copper"	"microglia"	"dementia"	"stem cells"	"Neurodegenerative diseases such as dementia and motor neuron disease are a major health burden for Australia and new approaches to treatment are urgently required. Essential trace elements such as copper, zinc and iron show major changes in neurodegneration, however, we do not understand how this drives disease processes. This proposal will develop an innovative 3D ‘brain on a chip’ cell model to probe the role of trace elements in brain pathology and identify exciting new treatments options."
1118576	2016-10-27	"Prof Richard Harvey"	"Research Fellowships"	"Research Fellowship"	"Molecular Approaches to Cardiac Development, Disease and Regeneration"	"Victor Chang Cardiac Research Institute"	"NSW"	"Research"	"2017"	"2021"	863910	"Basic Science"	"BIOCHEMISTRY AND CELL BIOLOGY"	"Cell Metabolism"	"molecular biology"	"congenital heart disease"	"embryology"	"stem cell biology"	"tissue engineering"	"Prof Harvey’s work explores the molecular and cellular networks that underpin heart development in the embryo and heart regeneration in the adult, and how these networks unravel in heart disease. Based on this knowledge, his work seeks to develop novel approaches for alleviating suffering in babies with congenital heart defects and adults enduring the devastating consequences of heart attack or heart failure."
1118640	2016-10-27	"Prof Ary Hoffmann"	"Research Fellowships"	"Research Fellowship"	"Enhancing disease vector biosecurity through high density molecular markers"	"University of Melbourne"	"VIC"	"University"	"2017"	"2021"	763845	"Public Health"	"GENETICS"	"Population, Ecological and Evolutionary Genetics"	"mosquito"	"dengue virus"	"molecular markers"	"vector control"	"population genetics"	"The outbreak of several diseases spread by mosquitoes is increasing rapidly around the world, driven by increased people movement spreading both viruses and disease vectors, a lack of effective vaccines and changing climatic conditions. In this proposal I aim to develop cutting edge molecular tools for identifying pathways of exotic mosquito introductions into Australia and a program that uses bacteria living inside mosquitoes in novel ways for disease suppression."
1118775	2016-10-27	"Prof Herbert Herzog"	"Research Fellowships"	"Research Fellowship"	"New approaches for the discovery of obesity causing genes"	"Garvan Institute of Medical Research"	"NSW"	"Research"	"2017"	"2021"	863910	"Basic Science"	"NEUROSCIENCES"	"Neurosciences not elsewhere classified"	"neuropeptide Y (NPY)"	"obesity"	"appetite regulation"	"energy balance"	"energy expenditure"	"Obesity is a major health problem and treatments are ineffective. My team’s focus is to identify new candidate genes that control appetite and body fat mass and how this leads to the development of obesity or the other extreme, anorexia. We will use whole genome sequence analysis in humans and functionally validate the newly identified genes in model organisms like mice and flies. Results from this study will eventually form the basis for personalized and general health care in the future."
1118888	2016-10-27	"Prof V. Nathan Subramaniam"	"Research Fellowships"	"Research Fellowship"	"Liver Injury and Iron Homeostasis in Health and Disease"	"Queensland Institute of Medical Research"	"QLD"	"Research"	"2017"	"2021"	631370	"Basic Science"	"CLINICAL SCIENCES"	"Gastroenterology and Hepatology"	"liver disease"	"iron metabolism"	"liver fibrosis"	"erythropoiesis"	"animal model"	"Iron disorders and liver disease are a significant burden on society, affecting many in the prime of their life. Disordered iron metabolism also plays a significant role in many disorders and diseases including cancers, neurodegenerative and iron overload disorders, and anaemia associated with chronic disease.  My objective is to understand the molecules and mechanisms involved, and to develop strategies and reagents to diagnose, prevent and treat liver and iron-related disease."
1118943	2016-10-27	"A/Pr Mark Baker"	"Research Fellowships"	"Research Fellowship"	"Biomarkers for the Diagnosis and Prognostic Analysis of Male Infertility"	"University of Newcastle"	"NSW"	"University"	"2017"	"2021"	631370	"Clinical Medicine and Science"	"PAEDIATRICS AND REPRODUCTIVE MEDICINE"	"Reproduction"	"infertility"	"sperm function"	"biomarkers"	"proteomics"	"sperm function testing"	"Male infertility is a common condition, affecting 1 in 15 men. Although a standard semen analysis is often performed to test whether a man is infertile, it is far from definitive. We have developed a new approach, by looking at proteins that are commonly missing from infertile sperm cells. From this analysis, we can definitively diagnose male infertility and are beginning to understand why men are becoming infertile."
1119056	2016-10-27	"Prof Richard Lewis"	"Research Fellowships"	"Research Fellowship"	"Discovery and development of novel venom peptide analgesics"	"University of Queensland"	"QLD"	"University"	"2017"	"2021"	763845	"Basic Science"	"PHARMACOLOGY AND PHARMACEUTICAL SCIENCES"	"Basic Pharmacology"	"pharmacology"	"toxins"	"pain mechanisms"	"peptides"	"drug discovery"	"Professor Lewis will discover and develop new research tools and potential therapeutics from toxins acting on pain pathways. The Fellowship will leverage (i) well-funded collaborations with top Australian and international scientists (ii) the recently established IMB Centre for Pain Research that I lead as inaugural Director, and (iii) an outstanding Institute equipped with leading edge technologies for high throughput and high content discovery and proteomic and transcriptomic analysis."
1119098	2016-10-27	"A/Pr Leanne Hides"	"Research Fellowships"	"Research Fellowship"	"Early interventions for Primary and Comorbid Substance Use in Young People: Engagement, Innovation, Technology and Translation"	"Queensland University of Technology"	"QLD"	"University"	"2017"	"2021"	706370	"Public Health"	"PSYCHOLOGY"	"Health, Clinical and Counselling Psychology"	"substance misuse"	"youth"	"mental health"	"wellbeing"	"randomised controlled trial (RCT)"	"Many young people with substance use problems do not seek, receive or respond to treatment. Innovative approaches to treatment are required. Leanne Hides leads a dynamic team of clinical researchers developing cutting-edge treatments to enhance young people’s wellbeing and resilience, and reduce risk factors for substance use. This positive approach will encourage help seeking, reduce substance use and improve the mental health and wellbeing of young substance users."
1119152	2016-10-27	"Prof Maria Kavallaris"	"Research Fellowships"	"Research Fellowship"	"Precision nanomedicine-based cancer therapeutics"	"University of New South Wales"	"NSW"	"University"	"2017"	"2021"	763845	"Basic Science"	"ONCOLOGY AND CARCINOGENESIS"	"Cancer Therapy (excl. Chemotherapy and Radiation Therapy)"	"cancer biology"	"drug delivery systems"	"nanotechnology"	"imaging"	"cancer therapy"	"Cancer remains a significant clinical problem and causes considerable morbidity and mortality in society. Prof Maria Kavallaris is an international leader in cancer biology, therapy and the development of less toxic therapies for cancer using nanotechnology. Her vision is to build a leading program of applied research to develop treatments for aggressive disease that will reduce the impact and improve the outcomes for cancer patients."
