Year,Name,"Award Category",Award,"Higher Education Institution","Partner (where applicable)",Discipline,"Project Title","ORCID ID"
2011,Fergus Poynton,"Early Career",EMBARK,"Trinity College Dublin",,"Cancer Research","Ruthenium-Polypyridyl Functionalised Gold Nanoparticles as Novel Cancer Therapeutics and Luminescent Cellular Imaging Agents",
2011,Gareth Clarke,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"Multimode Markers with Non-linear Optical and Magnetic Properties for Medical Diagnostics",
2011,Gerard Fitzpatrick ,"Early Career",EMBARK,"University College Dublin",,STEM,"Investigations of Transient Gamma-ray Phenomena",
2011,Graham Murphy ,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"High Efficiency White Light Emitting Diodes",
2011,Izabela Marszalowska ,"Early Career",EMBARK,"Dublin City University",,STEM,"The Role of Surface Layer Proteins in the Pathogenesis of Clostridium Difficile",
2011,James Blair ,"Early Career",EMBARK,"Dublin City University",,STEM,"Long Memory in Stochastic Models of Correlated Financial Assets",
2011,James Ryan,"Early Career",EMBARK,"University College Dublin",,STEM,"Adhesion of Endothelial Cells under Cyclic Loading Conditions",
2011,"Jamie Marie O' Sullivan","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Coagulation Glycoproteins Constitute Novel Binding Partners for Human Galectins: Characterising the Molecular Interactions and Defining the Pathophysiological Significance",
2011,Jennifer Cleary ,"Early Career",EMBARK,"University College Dublin",,STEM,"Expression, Characterisation and Inhibition of Protease Drug Targets",
2011,John Donohue,"Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Evolving Network Dynamics",
2011,John Pendlebury,"Early Career",EMBARK,"Dublin City University",,STEM,"Massively Multi-Author Hybrid Artificial Intelligent Systems Online",
2011,Jonathan Stevenson,"Early Career",EMBARK,N/A,,STEM,"Novel Mechanisms of Boundary Layer Control for Energy-Efficient Designs",
2011,Julie Clarke,"Early Career",EMBARK,"University College Dublin",,STEM,"Incremental Dynamic Analysis based Fragility Curves for Structural Modelling from Laser Scanning Point Clouds",
2011,Kathleen Fitzgerald ,"Early Career",EMBARK,"University College Cork",,"Cancer Research","Pharmacokinetics of Oral Paracetamol in Patients undergoing Surgery for Stomach Cancer",
2011,Kieran Lynch ,"Early Career",EMBARK,"Munster Technological University",,STEM,"Defining the Health-Promoting Effects of functional Exopolysaccharides from Lactic Acid Bacteria",
2011,Kilian O'Donoghue,"Early Career",EMBARK,"University College Cork",,STEM,"A Magnetic Guidance Platform for Arthroscopy",
2011,Kim Siekerman,"Early Career",EMBARK,N/A,,STEM,"Creating a New Device to Test the Influence of Haptic And Visual Stimuli on Locomotor Pattern Development of Infants and Young Children with Disabilities",
2011,Kyle McEnery ,"Early Career",EMBARK,"University College Cork",,STEM,"Engineering Non-classical States in Many Body Systems",
2011,Lara Clarke,"Early Career",EMBARK,"University College Dublin",,STEM,"Investigation of Hypoxic Regulation of Cilium Formation and Signalling Function in the Nematode Caenorhabditis Elegans",
2011,Lara McManus ,"Early Career",EMBARK,"University College Dublin",,STEM,"Oscillatory Activity in the Neuromuscular System in Healthy and Pathological Conditions",
2011,Lin Zhang,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"Effective Stress in Peat Soils",
2011,Maeve Daly,"Early Career",EMBARK,"Trinity College Dublin",,"Mathematics and Statistics","Mathematical Modelling of the Inheritance of Risk of Opiate Use from Generation to Generation",
2011,Marc Barker ,"Early Career",EMBARK,"University College Dublin",,STEM,"The Effects of Anthropogenic-Induced Nitrogen Deposition on Irish Forests",
2011,Mathew Lyons,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"Wound Closure Techniques for Laparoscopic Surgery",
2011,"Mattia Dalla Brida","Early Career",EMBARK,"Trinity College Dublin",,STEM,"A Strongly Interacting Electroweak Symmetry Breaking Sector",
2011,Menglin Li ,"Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Analysis of (Co-) Evolutionary Game Theoretic Approaches for Spatial N-Player Games",
2011,Michael Bezuidenhout,"Early Career",EMBARK,N/A,,"Cancer Research","Using Novel Cell Separation Techniques to Investigate how Fat Cells Contribute to the Formation and Maintenance of Breast Cancer",
2011,Michael Brogan ,"Early Career",EMBARK,"Technological University Dublin",,STEM,"Novel Identification and Classification of Potential Accident Black-spots using Recovered Road Geometry",
2011,"Michelle Marie  Lonergan","Early Career",EMBARK,N/A,,STEM,"A population Based Study of the Development Profile of Children Entering Primary School Education in Ireland",
2011,Michelle Breathnach,"Early Career",EMBARK,"Limerick Institute of Technology",,STEM,"A Study of the Presence of Biological Material Deposited by Secondary Transfer followed by Identification of the Body Fluid by mRNA Profiling",
2011,Monika Koziel-Klasa,"Early Career",EMBARK,"Munster Technological University",,STEM,"Identification of the Reservoirs of Campylobacter ureolyticus: A Novel and Emerging Gastrointestinal Pathogen",
2011,Naomi Elster ,"Early Career",EMBARK,"RCSI University of Medicine and Health Sciences",,"Cancer Research","The Role of HER Family Gene Mutations and Other Abnormalities in HER2-amplified Breast Cancer Resistance to HER2-Targeted Therapies",
2011,Niamh Fox,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"Controlled Assembly of Conjugated Polymer Building Blocks into Nanostructured Hybrid Thin Film Devices",
2011,Nichola Walsh,"Early Career",EMBARK,"University College Dublin",,STEM,"One-Dimensional Organic Nanostructures for ICT and Energy Applications",
2011,"Nrusimha Nath Misra ","Early Career",EMBARK,"Technological University Dublin",,STEM,"In-Pack Decontamination of Fresh Produce",
2011,Olga Lastovetsky,"Early Career",EMBARK,"University College Dublin",,STEM,"Understanding Phytoremediation as a Tool for the Clean-up of Polluted Soils",
2011,"Patricia Alveen","Early Career",EMBARK,"University College Dublin",,STEM,"Development of Next Generation Polycrystalline Cubic Boron Nitride",
2011,Philip Donnellan,"Early Career",EMBARK,"University College Cork",,STEM,"Renewable Energy Extraction from Low Grade Thermal Sources",
2011,Philip Kelly,"Early Career",EMBARK,"University College Dublin",,STEM,"The Nanoparticle Protein Corona: Role of Particle Surface Functionalization and its Impact on Nanoparticle Interactions with Biological systems",
2011,Philip Purcell ,"Early Career",EMBARK,"Technological University Dublin",,STEM,"Biomechanical Investigation of Calcium Phosphate Constructs and Fixation Techniques used in Kyphoplasty",
2011,Philip Sharos,"Early Career",EMBARK,N/A,,STEM,"A Highly Efficient User Defined Finite Element for Modelling The Dynamic Behaviour of Composite Bolted Joints under Impact Loads",
2011,Plamen Petkov,"Early Career",EMBARK,"Dublin City University",,STEM,"Specifying and Measuring Information Quality in Complex Service Oriented Architectures",
2011,Rachel Evans-Hurson ,"Early Career",EMBARK,"University College Cork",,STEM,"Investigation and Characterisation of Enantiomeric Ratios of Mixtures of Isomers using BARDS",
2011,Robert Leek,"Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Cleavability over LOTS",
2011,Robert Wallace,"Early Career",EMBARK,"Trinity College Dublin",,"Cancer Research","Exploring the Relevance of Exosomes in Cancer",
2011,Robin Tobin,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"A Geometric Approach to Coding in Populations of Neurons",
2011,Ross Clark,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"Cenozoic Exhumation, Sedimentation, and the Thermal History of the Irish Onshore and Hydrocarbon Basins",
2011,Ross Driver,"Early Career",EMBARK,"Maynooth University",,STEM,"The Synthesis and Application of Exciting Achiral Catalysts with Chiral Co-factors and the Development of New Organocatalysed 1,6-conjugate Additions",
2011,"Serena Di Bello","Early Career",EMBARK,"RCSI University of Medicine and Health Sciences",,STEM,"Development of Enantioselective Preparation of Pregabalin using Phase Transfer Catalysis",
2011,Simon Fuller ,"Early Career",EMBARK,"Maynooth University",,STEM,"Investigating the Application of Evolutionary Algorithms to Financial Modelling",
2011,"Siobhán O Connor ","Early Career",EMBARK,"Dublin City University",,STEM,"The Effect of Training, Neuromuscular Control, Flexibility and Biomechanical Malalignment on Injury Rate in Gaelic Football",
2011,Stephen Mahony,"Early Career",EMBARK,"University College Dublin",,STEM,"Systematic Studies on the Asian Horned Frogs, Megophryinae (Anura: Megophryidae): A Molecular and Morphological Approach to Resolve Relationships within a Taxonomically Complex Amphibian Group",
2011,Stephen O'Shaughnessy,"Early Career",EMBARK,"Technological University Dublin",,STEM,"Information Forensics in Network and Cloud Computing Environments",
2011,Susan James ,"Early Career",EMBARK,"Maynooth University",,STEM,"The Intermolecular Interactions of Therapeutic Proteins in Concentrated Solution",
2011,Thomas Stritch,"Early Career",EMBARK,N/A,,STEM,"Development of an Integrated Experimental and Numerical Technique to Predict the Three-Dimensional Stress Field in Complex Structures",
2011,Thomas Whelan,"Early Career",EMBARK,"Maynooth University",,STEM,"Unsupervised Semantic Mapping and Localisation in Dynamic Environments",
2011,Vera Foley,"Early Career",EMBARK,"University College Cork",,STEM,"The Catalytic Asymmetric Alkylation of Ketones",
2011,"Xiaoming Ju","Early Career",EMBARK,N/A,,STEM,"A Novel Study on Capacitated Graph Coloring Problems",
2011,Yasmeen Ghnewa,"Early Career",EMBARK,"Trinity College Dublin",,STEM,"The Role of Natural Killer T Cells in the Control of Immune Regulation, Antigen Presentation and Antibody Production by Human B Lymphocytes",
2012,"Aimee Stapleton","Early Career",EMBARK,"University of Limerick",,STEM,"Molecular Origin of Super-Piezoelectricity In Membrane Proteins",
2012,"Aine Ni Choisdealbha","Early Career",EMBARK,"Trinity College Dublin",,AHSS,"Social Engagement and Processing of Socio-Emotional Stimuli",
2012,"Aisling Feen","Early Career",EMBARK,"University of Limerick",,STEM,"Development of Novel Bioactive Bone Cement",
2012,"Andrea Waitz","Early Career",EMBARK,"Trinity College Dublin",,STEM,"The Impacts of Sea-Level Rise on the Vegetation of Peat Bogs in Ireland; A Study of Peat Based Salt Marshes in Co. Wexford",
2012,"Anita Murphy","Early Career",EMBARK,"University College Cork",,STEM,"Nano-Meccano - Using the Alpha-Actinin Rod Domain to Build Custom Nanoscale Protein Structures",
2012,"Ann Marie Mc Cartin","Early Career",EMBARK,"University College Dublin",,STEM,"Deconstructing HIV-1 Latency to Uncover Novel Signalling Molecules involved In HIV-1 Latency",
2012,"Ann McCartney","Early Career",EMBARK,"Dublin City University",,"Cancer Research","Cancer Evolution: Identification of Protective Mutations in the Cancer Resistant Naked Mole-Rat",
2012,"Aodhagan O'Reilly","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Development of Novel Water Quality Monitoring Techniques",
2012,"Aoife Blowick","Early Career",EMBARK,"University College Dublin",,STEM,"Isotopic and Chemical Evolution of Hydrothermal Sulphide Chimneys",
2012,"Aoife Hayes","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Transcranial Stimulation to enhance Cognitive Function in The Aging Brain",
2012,"Ariane Watson","Early Career",EMBARK,"University College Dublin",,STEM,"Dynamic Proteomics of Differentiating Neuronal Stem Cells",
2012,"Arjumand Younus","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Utilizing Social Breadcrumbs for a Balanced Approach to Personalized Search",
2012,"Barry O'Donnell","Early Career",EMBARK,"Dublin City University",,STEM,"Development of a Novel Point of Care Diagnostic Device for CVD",
2012,"Ben Quigley","Early Career",EMBARK,"Dublin City University",,STEM,"Are the Braid Groups CAT(0)?",
2012,"Carla Surlis","Early Career",EMBARK,"Maynooth University",,STEM,"Mitocidal Resistance in the Ectoparsite of the Honey Bee Apis Mellifera, the Varroa Destucter Mite",
2012,"Carolina Penteado","Early Career",EMBARK,"Dublin City University",,STEM,"Predictive Modelling of Induction Welding Processes for Thermoplastic Composites",
2012,"Catherine Hickey","Early Career",EMBARK,"Athlone Institute of Technology",,STEM,"Development of a Combined Qpcr and In Vitro Cell Culture Assay to Determine The Effectiveness of Novel Pulsed Power Technologies for the Novel Treatment of Cryptosporidium Oocysts in Water",
2012,"Chloe Johnson","Early Career",EMBARK,"University College Dublin",,STEM,"New Magnetically Active Systems: Preparation and (Hierarchical) Assembly",
2012,"Christopher Nottingham","Early Career",EMBARK,"University College Dublin",,STEM,"The Synthesis of New Ferrocene-Containing Chiral Ligands and their Application in Asymmetric Catalysis",
2012,"Claudio Monasterolo","Early Career",EMBARK,"RCSI University of Medicine and Health Sciences",,STEM,"Development of Enantioselective Organocatalytic Halohydration of Alkenes",
2012,"Colin Bright","Early Career",EMBARK,"Technological University Dublin",,STEM,"A Comparative Study of Posterior Spinal Dynamic Stabilization Techniques",
2012,"Conor Sheil","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Optical Metrology of the Human Eye",
2012,DamyankaTsvyatkova,"Early Career",EMBARK,"University of Limerick",,STEM,"Persuasive Technology in Healthcare: Designing for Children and Adolescents with Diabetes",
2012,"Darragh Noble","Early Career",EMBARK,"Trinity College Dublin",,STEM,"The Design Optimisation of Offshore Wind Turbine Towers based on Site Specific Stochastic Load Modelling (To Include Dynamic Loading - Wind, Wave & Seismic)",
2012,"Darrell Andrews","Early Career",EMBARK,"University College Dublin",,STEM,"TGF-Beta Superfamily Signalling in Diabetic Retinopathy",
2012,"David Hunt","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Development of Micropropagation (Somatic Embryogenesis) Systems for Improved Sitka Spuce Commercial Breeding Programmes",
2012,"David Kaneswaran","Early Career",EMBARK,"Maynooth University",,STEM,"Assessing Driving Behaviour through the Development and Application of a Novel Driving Simulator",
2012,"David O Shea","Early Career",EMBARK,"University College Cork",,STEM,"Injection into Multi Mode Lasers",
2012,DeirdreDuff,"Early Career",EMBARK,"Trinity College Dublin",,"Cancer Research","Oesophageal Cancer Metastasis: Investigation of the Scaffolding Protein RACK1 as a Key Player and Therapeutic Target",
2012,"Dexmont Alejandro Peda Carrillo","Early Career",EMBARK,"Dublin City University",,STEM,"Video Based, Real Time and Robust Tracking of Vehicles and Pedestrians using Low Computer Power",
2012,"Diana Gaspar","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Tendon Regeneration and Repair using Carbohydrate Functionalised Scaffolds as Stem Cell Carriers",
2012,"Diana Morosan","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Spectroscopy and Imaging of Solar Storms at Radio Wavelengths",
2012,"Douglas Temple","Early Career",EMBARK,"Trinity College Dublin",,STEM,"The Effect of Interfaces on the Properties of Transparent Conducting Oxides",
2012,"Edel Mcauley","Early Career",EMBARK,"Dublin City University",,"Cancer Research","Identification of Serum Biomarkers for the Early Detection And Monitoring for Recurrence of Colorectal Cancer",
2012,"Elaine Berkery","Early Career",EMBARK,"University of Limerick",,,,
2012,"Elaine Keogh","Early Career",EMBARK,"University College Dublin",,STEM,"Exploring the Biology of a Novel Remyelinating Drug Class",
2012,"Elaine O'Connor","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Production and Investigation of a Zebrafish Model Of ARVC",
2012,"Elisa Alloa","Early Career",EMBARK,"University College Dublin",,STEM,"Development of a High Content Analysis in Vitro Screening Approach for the Assessment of Human Exposure to Nanomaterials from Industrial And Consumer Products",
2012,"Emma Marie Gabriel","Early Career",EMBARK,"Munster Technological University",,STEM,"Determination of Antimicrobial Efficacy of Novel Biomaterials against Biofilm Infections using Real-Time Bioluminescence and Bio-Engineered Microbes",
2012,"Emmet McNickle","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Transcranial Alternating Current Stimulation: Optimisation of Parameters and Investigation of Mechanisms of Action",
2012,"Eoin White","Early Career",EMBARK,"University of Limerick",,"Medical and Biomedical Engineering","Single Stage Deployment of Multiple Medical Devices using Perception Enhancement",
2012,"Evanna Mills","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Regulation of Hypoxia Inducible Factor-1 Alpha by Lipopolysaccharide",
2012,"Fabio Bacci","Early Career",EMBARK,"University College Cork",,Ageing,"Pharmaceuticals in the Environment: Ramifications of an Ageing Population on the Quality of Groundwater Resources",
2012,"Fadi Maali","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"A Marketplace for Linked Data",
2012,"Fatemeh Kavousi","Early Career",EMBARK,"University College Dublin",,STEM,"Fundamental Studies on Biofilm Detachment from Nanofiltration Membranes",
2012,"Federica Torri","Early Career",EMBARK,"RCSI University of Medicine and Health Sciences",,STEM,"Development of Enantioselective Organocatalytic Inter [4+2] Inter [3+2] Tandem Cycloaddition of Nitroalkenes",
2012,"Finn Krewer","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Reconfigurable Hardware Neural Network Processor Architectures and Applications",
2012,"Fiona Mcgovern","Early Career",EMBARK,"University College Dublin",,STEM,"Maximising Lifetime Productivity through Targeted Nutrition During Pregnancy",
2012,"Florence Hecq","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Effects of Scale and Landscape Structure on Pollinator Diversity and the Provision of Ecosystem Services in Agricultural Landscapes",
2012,"Gavin Kenny","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Post-Impact Magmatism as a Potential Source for Hadean Zircon - An Oxygen Isotope Study of Zircon at the Sudbury Impact Structure, Ontario, Canada",
2012,"Gavin Maloney","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Development of a Structural Health Monitoring System for Offshore Structures",
2012,"Gillian Conway","Early Career",EMBARK,"Technological University Dublin",,STEM,"Gene Therapy to Silence HER Receptor Expression in Glioma",
2012,"Gillian Lynch","Early Career",EMBARK,"National University of Ireland, Galway",,Optics,"Optical Coherence Tomography and Tissue Optics",
2012,"Gillian Y.Moore","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Investigation of 5-Lipoxygenase Inhibitors in Obesity-Driven Oesophageal Adenocarcinoma: A Focus on the Anti-Angiogenic and Vessel Stability Effects of a Novel Class of Small Molecule Inhibitors",
2012,"Glenn Gordon","Early Career",EMBARK,"Institute of Technology, Sligo",,STEM,"Optimising Activated Sludge Wastewater Treatment Plant Efficiency",
2012,"Haiyang Li","Early Career",EMBARK,"University College Cork",,STEM,"Design, Modelling and Optimisation of Large-Range XYZ Compliant Parallel Manipulators",
2012,"Harrison Daly","Early Career",EMBARK,"University College Dublin",,STEM,"Cellular Uptake Responsive Fluorescence Imaging Nanoparticles",
2012,"Helen Burke","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Development of Lanthanide-Based Sensors for Glycosidase Detection",
2012,"Isaac Zebulun Burke","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Using the Method Of ""Homotopy Colimits"" in Combinatorial Commutative Algebra",
2012,"James Mcgetrick","Early Career",EMBARK,"University College Dublin",,STEM,"The Role of Siglecs in Regulation of Sperm Movement",
2012,"James Murray","Early Career",EMBARK,"Institute of Technology, Sligo",,STEM,"An In Vitro Investigation of the Anti-Tumour Efficacy of Porphyrin-Endoperoxide Hybrids and Naphthalimide-Endoperoxide Hybrids: Identifying Modality, Maximising Efficacy and Tumour Cell Selectivity",
2012,"Jennifer Butler","Early Career",EMBARK,"University of Limerick",,STEM,"Implementation of a Sustainable Health Framework into Science in Second Level Schools and its Integration into Science Teacher Training",
2012,"Joan Lenihan","Early Career",EMBARK,"University College Cork",,STEM,"Characterisation of the LNX3 Protein",
2012,"John Power","Early Career",EMBARK,"Waterford Institute of Technology",,STEM,"Population Structure and Bat Predation Analysis of Pine Marten (Martes Martes) and Stone Marten (Martes Foina) in the Nietoperek Bat Hibernation Site",
2012,"Jonathan McLoughlin","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Investigation of Fretting Fatigue and Wear in the Pressure Armour Layers of Flexible Risers",
2012,"Julia Powers","Early Career",EMBARK,"Institute of Technology, Sligo",,"Cancer Research","Developing a Mitochondrial Platform for Skin Cancer Predictive Biomarkers",
2012,"Justine O'Sullivan","Early Career",EMBARK,"Maynooth University",,STEM,"Click Cycloaddition and Functional Calixarene Scaffolds",
2012,"Karen Herdman","Early Career",EMBARK,"Maynooth University",,STEM,"Fabrication and Characterisation of Polypyrrole Nanowires Decorated with Copper",
2012,"Karen Taylor","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Ecological Impacts of Early Farming in the Northwest of Ireland",
2012,"Kevin O'Shea","Early Career",EMBARK,"University College Cork",,STEM,"Synthesis and Evaluation of Novel Functionalised Indoles as Potential Kinase Inhibitors",
2012,"Laura Curtin Whelan","Early Career",EMBARK,"Limerick Institute of Technology",,STEM,"The Isolation and Quantification of a Number of Bioactive Components in Irish Honey Samples using Validated Methods Including LCMS And GCMS",
2012,"Laura Grehan","Early Career",EMBARK,"Athlone Institute of Technology",,STEM,"In Vitro Toxicological Evaluation and Gene Expression Analysis of Novel Photopolymerised Hydrogels for Bone Regeneration",
2012,"Laura Keaskin","Early Career",EMBARK,"University of Limerick",,STEM,"Dietary Modification of Polyunsaturated Fatty Acids: Effect on Membrane Lipid Composition",
2012,"Laura Rice","Early Career",EMBARK,"Dublin City University",,STEM,"Following the Electrons: The Key to understanding Chemical Reactivity",
2012,"Laurence Fitzpatrick","Early Career",EMBARK,"University College Dublin",,STEM,"Beyond the Endo-Lysosomal Pathway: Elucidating Mechanisms of Rare Transport Events of Nanoparticles In Cells",
2012,"Linda Heffernan","Early Career",EMBARK,"University College Dublin",,STEM,"Elucidating the Molecular Machinery of the Rab6-Dependent Retrograde Pathway",
2012,"Louise Cullen","Early Career",EMBARK,"Technological University Dublin",,STEM,"Alterations in the Virulence of Cystic Fibrosis Pathogens from Early Acquisition to Chronic Colonisation",
2012,"Lucas Vieira","Early Career",EMBARK,"Dublin City University",,STEM,"A Fair Model for the Compensation of Machine Translation Post-Editing",
2012,"Luke McGuigan","Early Career",EMBARK,"Technological University Dublin",,STEM,"Investigations of the Virulence Mechanisms of Gram Negative Bacterial Lung Pathogens",
2012,"Lyubov Bragina","Early Career",EMBARK,"Dundalk Institute of Technology",,STEM,"Assessing Water Quality in a Rural Catchment using Automated High Frequency Monitoring",
2012,"Maggie O'Connor","Early Career",EMBARK,"University College Dublin",,STEM,"Characterisation of the Hepatitis B Virus Surface Antigens",
2012,"Margaret Creed","Early Career",EMBARK,"University College Cork",,STEM,"Develop a Fast and Robust Solver of the St. Venant Equations on Adaptive Binary-Tree Grids",
2012,"Maria Enza Montingelli","Early Career",EMBARK,"Dublin City University",,STEM,"Development and Application of Innovative Mechanical Pretreatment to Increase the Bio-Gas Produced from Algea",
2012,"MariaD onovan","Early Career",EMBARK,"University College Cork",,STEM,"Investigation of the Effect of Bumetanide on NKCC1 and Development of Strategies to Enhance Bumetanide Delivery to the Brain in Neonatal Seizures",
2012,"Mark Culleton","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Development of an Adaptable Robotic Arm with Human Interaction Capabilities for Use in the Manufacturing Industry",
2012,"Martha Gosch","Early Career",EMBARK,"University College Cork",,STEM,"The Diet of a Top Marine Predator in Ireland and Interaction with Fisheries",
2012,"Martin Marinov","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Combinatorial Algorithms and Energy Efficiency",
2012,"Mary O' Keeffe","Early Career",EMBARK,"University of Limerick",,STEM,"The Impact of a Novel Low Back Pain Programme on Disability Levels in People with Chronic Low Back Pain: A Randomised Study",
2012,"Mary O'Shea","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Design of Tissue Regeneration Strategy",
2012,"Megan Straley","Early Career",EMBARK,"University College Cork",,STEM,"Maternal Inflammation and Foetal Nigrostriatal Development",
2012,"Melissa Mcdonnell","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"The Role of Extra-Oesophageal Reflux in the Pathogenesis and Progression of Bronchiectasis",
2012,"Mesa Perry","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"The Biodiversity Value of Dry Stonewalls for Invertebrate Assemblages in Turloughs (Seasonally Flooded Landscapes)",
2012,"Micah Ahmad","Early Career",EMBARK,"Maynooth University",,STEM,"Contextual Modification of Frontal Alpha Asymmetry in Depression",
2012,"Michael Coleman","Early Career",EMBARK,"University College Cork",,"Cancer Research","IGF-1-Regulated Mitochondrial Protein PNC1 as a Marker of Breast Cancer Invasiveness",
2012,"Michael Gibbons","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Development of a Novel Solid State Electrospray Delivery System",
2012,"Michael Kitching","Early Career",EMBARK,"Dublin City University",,STEM,"Biogenic Nano Structures",
2012,"Michael O'Sullivan","Early Career",EMBARK,"University College Cork",,STEM,"Investigation into a Best Practice Model for Providing an Integrated User Experience with Mobile Cloud Applications",
2012,"Monica Jain","Early Career",EMBARK,"University of Limerick",,STEM,"Inhibitors of Medically Important Bacterial Proteases",
2012,"Musfira Jilani","Early Career",EMBARK,"University College Dublin",,STEM,"Automated Quality Assessment and Improvement of Volunteered Geographical Data for Route Planning",
2012,"Natalie Steinemann","Early Career",EMBARK,"Trinity College Dublin",,STEM,"Comparative Human and Rodent Study of Memory Consolidation during Sleep",
2012,"Niall Fallon","Early Career",EMBARK,"Galway-Mayo Institute of Technology",,STEM,"Sprat Ecology and Fisheries: Understanding Stock Structure for the Implementation of a Sustainable Harvest Control Rule",
2012,"Niamh Nash","Early Career",EMBARK,"University of Limerick",,STEM,"Fabrication and Characterisation of Carbon Fibre/Epoxy Composites with High Fracture Toughness using Liquid Resin Infusion (LRI)",
2012,"Niamh O'Connell","Early Career",EMBARK,"University College Dublin",,STEM,"Flexible Demand: An Option for the Provision of System Services in a Future Electricity Grid",
2012,"Nicola Rossini","Early Career",EMBARK,"Dublin City University",,STEM,"Development and Analysis of Innovative PEM Fuel Cell",
2012,"Olena Madden","Early Career",EMBARK,"Limerick Institute of Technology",,STEM,"Green Biosynthesis of Metallic Nanoparticles using Extracellular Systems of Thermophilic Fungi",
2012,"Padraig Daly","Early Career",EMBARK,"University College Dublin",,STEM,"Stochastic, Security Constrained Power System Operation",
2012,"Padraig Kelly","Early Career",EMBARK,"University College Dublin",,AHSS,"(UCD)Predicting Long and Short Term Milk Supply Change in the Irish Dairy Industry",
2012,"Paul Judge","Early Career",EMBARK,"University College Dublin",,STEM,"Operational Security Considerations in Meshed HVDC Networks",
2012,"Przemyslaw Zarski","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Using Total Internal Reflection Fluorescence Microscopy (TIRFM) for Studying Protein-Surface Interactions",
2012,"Radu Constantin Groza","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"The Development of Novel Chemometric Methods for the Analysis of Chromatographic and Multi-Dimensional Fluorescence Data Obtained from Complex Biogenic Materials used in Biopharmaceutical Manufacturing",
2012,"Rafa Tuodziecki","Early Career",EMBARK,"University of Limerick",,STEM,"Nanoporous Electrodes for Biofuel Cells and Biosensors",
2012,"Rebekah Clarke","Early Career",EMBARK,"Trinity College Dublin",,AHSS,"A Framework for Supporting Intelligent Content Services",
2012,"Rebekah Newstead","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Global Warming in Irish Waters: Its Impacts and Causal Mechanisms",
2012,"Ren Pretorius","Early Career",EMBARK,"University College Dublin",,STEM,"Harnessing Metal-Ligand Co-operativity: New Catalysts for Mild Substrate Oxidation",
2012,"Richard Lane","Early Career",EMBARK,"University of Limerick",,STEM,"The Impact of Afforestation on Soil Carbon Dynamics in Peaty Mineral Soil",
2012,"Richard O'Connor","Early Career",EMBARK,"Dublin City University",,STEM,"Multi-Scale Mechanics of Fibrous Tissue Engineered Blood Vessel Scaffolds",
2012,"Robert Dillon","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Ecosystems Biology and Innovative Eco-Engineering to Optimise Assembly and Activity of Anaerobic, Waste Conversion Biofilms",
2012,"Robert Richardson","Early Career",EMBARK,"National University of Ireland, Galway",,STEM,"Characterisation of the Effect of a Roll-Up Vortex on Combustion in a Rapid Compression Machine",
2012,"Roisin Jones","Early Career",EMBARK,"University College Cork",,STEM,"Synthesis, Analysis and Impurity Profiling of the Hallucinogenic Amphetamine Bromodragonfly",
2012,"Rola Jaafar","Early Career",EMBARK,"National University of Ireland, Galway",,"Cancer Research","Investigation into Role Of RIP2 in NGF-Dependent Anti-Apoptotic Signalling in Breast Cancer Cells",
