"Projet.Code_Decision_ANR";"Projet.Date_debut";"Action.Edition";"Action.Titre.Francais";"Projet.Acronyme";"Projet.Titre.Francais";"Projet.Resume.Francais";"Projet.Aide_allouee"
"ANR-11-LABX-0029";"2012-03-01";2011;"LABX";"SYNORG";"Synthèse Organique : des molécules au vivant";"From 2013, to follow the conclusions drawn by the international scientific board, the projects for all the call of proposals could be based on a collaboration between partners of SynOrg, and also with other structures of excellence (Labex, industries, competitive clusters, …). Strong collaborations emerged with other LABEX (Charmmmat, MiChem) through join summer school and call for proposals in 2016 and 2017. The chairs for high potential scientists allow Labex SynOrg to collaborate with four world leading chemists: Pr. A. Charrette (Canada), Pr. P. Williard (Fulbright fellow-USA), Pr. Y. Kondo (Japan) and more recently with Pr. M. Lautens (Canada). SynOrg is also a major player of the regional site policies, both in research and formation, in the two regions, Normandy and Centre. SynOrg through the organic synthesis and access to New Chemical Entities is one of the domains of the smart specialization in Normandy and Centre regions in the ERDF program (European regional development fund). Specific funding have been obtained, thanks to the labeling of LABEX, with the regions Centre, Normandy (PhD post-doc…), our institutions (PhD and permanent positions) and the state (equipments i.e. NMR magnet,…). From 2015, with the new CPER program, depending on the region, we have an access to European regional development funds-ERDF (i.e. 1M€ applications in 2015 and 2016 in Haute-Normandy). In addition, numerous industrial partnerships have been established in the domain of chemistry and lead to the development of 4 common industry-academic laboratories. Since the creation of LABEX, 4 startups from our laboratories have emerged and are welcomed in our premises (2 in the pharmaceutical domain and 2 in biological chemistry).";11148514.0
"ANR-11-LABX-0028";"2012-03-01";2011;"LABX";"SIGNALIFE";"Réseau d'Innovation sur les Voies de Signalisation en Sciences de la Vie";"L’année 2016 a vu l’obtention d’un IDEX (UCAJedi) par l'Université Nice Sophia Antipolis (membre de la COMUE UCA) et donc l‘intégration de notre Labex in Idex, le recrutement de la 4ème et dernière vague de 23 PhD Internationaux et 74 publications Labex. ADMINISTRATIF: Evaluation ANR : rapports scientifique et financier (31 Mars), visite du chargé de mission ANR (29 Avril). Versements de la tranche annuelle ANR: 1 238 756 €. Intégration des doctorants dans l’Université Côté d’Azur (UCA). RECHERCHE: 135 conférences dans les instituts Labex, 3 invités extérieurs pour des séminaires plus le prix Nobel de Chimie 2015, 2 workshops. Publications: 74 publications, dont 15% avec facteur d’impact IF sup à 10 et 53% avec IF sup à 5. 1ERC (Advanced grant), 1 médaille de Bronze CNRS, 6 distinctions scientifiques. Démarrage de 15 projets de thèses communs interéquipes. FORMATION: Recrutement de 23 étudiants Labex PhD International, 3,5% de sélection (591 dossiers), 12 nationalités différentes.Pour les doctorants, organisation de 11 cours scientifiques, 4 journées de TP, 47h de cours non scientifiques (présentation orale et écrite en anglais, Career Councelling, Ethics in Science, Research in a Biotech company, Cours de français pour étrangers), 2 jours de retraite scientifique organisés par les étudiants. Participation des chercheurs à la formation de l’Ecole Doctorale Vie et Santé. GOUVERNANCE: 1 réunion du Conseil Labex, 2 réunions du Conseil Scientifique et 5 réunions du Comité Pédagogique. Renouvellement de tous les comités pour environ 25%. VALORISATION:8 dépôts de brevets, sponsor retraite des étudiants par l’entreprise Thermo Fisher, 23 CDD créées (étudiants PhD). COMMUNICATION : Site web SIGNALIFE 138 pages (rajout de 33 pages en 2016), participation à des événements grand public (Semaine du Cerveau, fête de la science), publications dans la presse locale nationale et internationale, participation à la culture scientifique dans les médias Françaix et internationaux.";8036635.0
"ANR-11-LABX-0027";"2012-03-01";2011;"LABX";"RFIEA+";"Réseau français des instituts d'études avancées Plus";"Le Labex RFIEA+ a permis la montée en puissance des politiques d’invitation de quatre instituts d’études avancées (Aix-Marseille, Lyon, Nantes et Paris) qui s’appuient sur des projets scientifiques innovants, des procédures d’invitation répondant aux meilleurs standards internationaux et des partenariats de premier plan. Grâce au soutien financier du Labex, les quatre IEA totalisent 650 mois-chercheurs en 2016, soit une augmentation de plus de 75% par rapport à 2011. Ce total est proche de la pleine capacité du dispositif et indique que l’objectif de développement a été atteint. Les quatre IEA reçoivent un flux soutenu de plus de 750 candidatures de haut niveau par an et présentent un taux de succès de l’ordre de 10%. Les IEA jouissent d’une forte reconnaisance sur le plan international. En matière d’accompagnement scientifique, les IEA se sont imposés comme des lieux de dialogue interdisciplinaire dans lesquels un travail innovant peut être mené au meilleur niveau. Les IEA membres du Labex sont devenus des instruments importants d’attractivité dans les stratégies de leurs partenaires (COMUE, universités, organismes de recherche, collectivités). Le soutien financier du Labex renforce l’impact des IEA par le biais d’actions dont le succès constitue pour les années à venir un enjeu majeur: (i) développement de collaborations sur des fronts d’innovation à l’interface des disciplines SHS (fonction d’incubation), (ii) développement de collaborations structurantes en accompagnant le montage de projets européens et internationaux (pépinière de projets), (iii) collaboration avec les écoles doctorales des établissements partenaires (internationalisation de la première recherche), et (iv) mise en valeur des connaissances et expertises en direction des décideurs publics et privés (transfert de connaissance). En 2016, les IEA ont amplifié la mise en oeuvre de ces différentes initiatives afin de consolider leur développement et de construire un horizon stable et pérenne.";12242574.0
"ANR-11-LABX-0026";"2012-03-01";2011;"LABX";"PP";"Les passés dans le présent";"Le labex Les passés dans le présent est un projet de recherche collectif traitant de la présence du passé dans les sociétés contemporaines. Quels usages pour quels passés ? Quels passés pour quels usages ? Ces questions en miroir se posent de manière nouvelle à l'ère du numérique et des mutations qu’elle entraîne. Elles sont épistémologiques, scientifiques et techniques, mais aussi culturelles, sociales et politiques. Porté par l'université Paris Nanterre, le labex allie le monde académique et le monde culturel. Ayant progressivement élargi son socle partenarial, il rassemble en 2016 la plupart des disciplines relevant des sciences humaines et sociales et mobilise 150 enseignants-chercheurs, chercheurs, ingénieurs, conservateurs, documentalistes. Début 2016, il comptait une cinquantaine de projets de recherche et de recherche-action, dont une quinzaine achevés fin 2016, et 8 projets de préfiguration. Un nombre croissant des recherches en cours irrigue les formations de niveau master et doctorat. Le partage des savoirs et de leurs sources avec des publics larges et variés est une priorité commune. Début 2017, le labex est devenu un réseau dense, cohérent et articulé de recherches interdisciplinaires, intersectorielles et transnationales. Pleinement intégrée à ses objectifs, la dimension internationale s'ancre fermement dans le partenariat développé avec le programme franco-britannique Care for the Future, qui compte 8 projets cofinancés par le Arts and Humanities Research Council, des ateliers et conférences conjoints. Elle se déploie également en Amérique du Sud et en Europe, avec l’objectif de structurer des réseaux et coopérations de long terme s’appuyant notamment sur les programmes ANR et européens. Enfin, le ministère de la Culture et de la Communication et le labex convergent sur différents chantiers : le numérique, le patrimoine immatériel et la description et de sauvegarde des patrimoines du Proche-Orient ancien.";9054455.0
"ANR-11-LABX-0025";"2012-03-01";2011;"LABX";"PERSYVAL-lab";"Systemes et Algorithmes Pervasifs au confluent des mondes physique et numérique";"PERSYVAL-Lab fédère les sciences du Numérique à Grenoble autour de projets d’envergure multidisciplinaires qui visent à maitriser la convergence des mondes physiques et numériques. Il regroupe une communauté de près de 800 chercheurs et enseignants-chercheurs de 10 laboratoires partenaires couvrant tout le spectre des sciences du Numérique : Mathématiques, Informatique, Automatique, Traitement du Signal, Architectures des machines. 35 projets exploratoires ont été lancés et 11 équipes-action ont été choisies comme fer de lance de la réalisation du programme ambitieux de PERSYVAL-Lab sur des sujets transversaux comme la sécurité et la cryptographie, les systèmes embarqués haute performance, l’analyse de flux de données, la résolution de problèmes combinatoires, la réalité augmentée, la robotique, l’internet des objets en interaction avec l’homme, les systèmes cyber-physiques, le deep learning et les machines probabilistes. Les défis posés par tous ces sujets requièrent des approches et des compétences allant des mathématiques pures au matériel, et sont emblématiques de l’approche globale prônée par PERSYVAL-Lab. Le volet formation s’articule avec le volet recherche par le recrutement sélectif de doctorants (26 entre 2012 et 2016) sur des sujets novateurs au cœur de la thématique du LabEx, ainsi que par le programme de bourses d’excellence de master qui a permis d’attirer de très bons étudiants (43 entre 2012 et 2016) dans un des masters recherche grenoblois relevant des sciences du numérique. En termes de communication et valorisation, nous menons des actions variées dont les plus marquantes sont: l’aide à la création d’une start-up (Anatoscope sur le transfert anatomique), la création du prix Jean Kuntzmann décerné tous les 2 ans, l’organisation d’un challenge annuel de robotique (appelé PERSYCUP), le lancement d’une plateforme innovante de partage de données de recherche (appelée PerSciDO_Grenoble_Alpes).";8752475.0
"ANR-11-LABX-0024";"2012-03-01";2011;"LABX";"ParaFrap";"Alliance française contre les maladies parasitaires";"ParaFrap is the first initiative bringing together most of the leading internationally recognized molecular Parasitology research groups in France (19 laboratories). To implement its ambitious program, an efficient governance was established under the coordination of the three founding coordinators BRINGAUD-SCHERF-TOMAVO with an administrative office in Lille. In Sept. 2015, Patrick BASTIEN (Director of the ParaFrap PhD Program) joined the directory board. A large portion of the budget is devoted to create an international ‘sandwich’ PhD and postdoc program, aiming to train future leaders in Parasitology and to create deep and durable collaborative links between the laboratories of the consortium. 22 PhD students and 17 postdocs have been recruited so far. The PhD programme includes ambitious scientific workshops, of which (i) an introductive one about state-of-the-art molecular Parasitology, which created strong links between students and PIs, (ii) a bioinformatics workshop organised by the EuPathDB team (Univ. of Pennsylvania) and (iii) a ""scientific writing and oral presentation"" workshop. ParaFrap has already fostered a strong collaborative impulse at the national level in Parasitology.Numerous novel collaborations between members have been initiated including successful grant co-applications and co-publications in top journals (Nature and Nat. Medicine). The ParaFrap biannual conference held in September 2014 and October 2016 has brought together both ParaFrap and international scientists in a highly stimulating 3-days event. In 2016, 57 manuscripts have been produced. More importantly, the number of publications co-signed by at least 2 ParaFrap Partners has increased in 2016 (11 in 2016, compared to 13 from 2012 to 2015) and should increase further as the ParaFrap PhD students and postdocs complete their work. All planned objectives for the reporting period have been fully achieved so far.";16751793.0
"ANR-11-LABX-0023";"2012-03-01";2011;"LABX";"MME-DII";"Modèles Mathématiques et Economiques de la Dynamique, de l'Incertitude et des Interactions";"Working on a joint interdisciplinary project centered on mathematical, economic and financial modelling, the LABEX MME-DII consortium is composed of over 150 researchers specialized in such areas as economics, mathematics and physics. MME-DII's ambition is to constitute an internationally recognized research center in the modelling of stochastic processes, of decision-making in situations of uncertainty, and of the dynamics of strategic interactions. By combining cross-disciplinary areas of knowledge, the research developed at MME-DII sheds light on major societal challenges, ranging from the prevention of financial crises to the management of environmental risks. LABEX MME-DII consists of: (i) an open international center of excellence, reaching beyond the institutional boundaries of the founding research center; (ii) a multidisciplinary integrated training program in mathematics and economics;(iii) researchers recruited for their scientific excellence and strong potential. The MME-DII research consortium presents major assets, such as a strong community of very highly-qualified researchers, involved in a common cross-disciplinary project which hinges upon the combination of Social Sciences, as well as Exact Sciences, a complementary consortium both in terms of research and training, a coherent and integrated partnership and an autonomous and adapted governance. The development of the MME-DII project is supported by a coherent program of scientific actions combining: (i) a program designed to enhance international attractiveness through the funding of international chairs, chairs of excellence, post-doctoral positions, the organization of workshops, seminars and colloquia; (ii) a teaching program offering funding and specialized courses for master and PhD students in mathematics, economics and physics; (iii) a funding program for research projects and teaching reductions; (iv) a program for the dissemination and valorization of research.";3282180.0
"ANR-11-LABX-0022";"2012-03-01";2011;"LABX";"MMCD";"Modélisation et Expérimentation Multi-Echelles des Matériaux pour la Cons-truction Durable";"Le Labex MMCD vise à structurer la communauté ""matériaux"" d'Université Paris-Est (UPE) autour d'un projet commun centré sur les matériaux de la construction, et à y faire émerger une activité de recherche amont originale, par la confrontation au sein des projets qu'il motive et finance, de compétences très diverses et complémentaires. Sa gouvernance a été notablement revue en 2016 : les spectres scientifiques des 4 axes thématiques ont été élargis afin d'y favoriser les actions pluridisciplinaires; de plus, une nouvelle modalité de financement a été introduite pour provoquer l'émergence de projets transverses d'envergure, ouverts sur l'ensemble de la communauté matériaux de UPE, et trois projets de ce type ont démarré. Le mode d'action principal du Labex consiste à soutenir des projets de thèse ou de post-doctorat, selon un principe de fonctionnement qui consiste à ne financer que des projets impliquant des partenaires issus de cultures scientifiques différentes et qui s'avère fructueux, en dépit du risque associé à de tels projets et à leur démarrage nécessairement difficile. Le Labex a ainsi financé 33 thèses et 16 post-doctorants d'un an, dont 5 sont en cours fin 2016. Quatre thèses ont été soutenues en 2015 et 6 en 2016; elles ont pour la plupart produit un nombre élevé de publications scientifiques et ont été remarquées par la communauté (e.g. prix de thèse national). D'autres modes d'action du Labex concernent le renforcement des moyens expérimentaux ou de calcul des laboratoires, l'accueil de chercheurs étrangers (4 visiteurs en 2016) et le soutien à l'organisation de manifestations scientifiques (16 au total). En 2016, le Labex a soutenu 5 manifestations, dont deux conférences internationales d'envergure et un workshop international spécialisé. L'atelier du Labex MMCD a regroupé en septembre 2016 l'ensemble de ses acteurs, dont son comité scientifique international nouvellement constitué.";4376240.0
"ANR-11-LABX-0021";"2012-03-01";2011;"LABX";"Lipstic";"Lipoprotéines et santé : prévention et traitement des maladies inflammatoires non vasculaires et du cancer";"The LipSTIC LabEx consortium involves 17 supervising institutions and private partners. Governance is operative with a board, a steering committee and an international scientific advisory board. The LipSTIC LabEx aims at fighting against cancer and inflammatory diseases with uncovered medical requirements. Here, lipoproteins (natural nano-carriers) are considered beyond their known involvement in cholesterol transport and cardiovascular diseases. Main goals are: 1) to identify lipoprotein parameters as new risk markers of cancer and inflammatory diseases, 2) to develop more effective and better-tolerated treatments of cancer and inflammation through stabilization and vectorization of lipoprotein-associated drugs, 3) to set up an innovative strategy in preventing uncontrolled inflammatory response through the lipoprotein-mediated neutralization and elimination of bacterial endotoxins, 4) to explore new anti-cancer and anti-inflammatory treatments, and 5) to increase relationships between researchers, social and political institutions, and private companies. A business plan, set up with the Society for Acceleration of Technology Transfer “SATT Grand Est”, Inserm Transfert and the Vitagora competitiveness cluster has led to patent registrations and new services through business units and startups. The LipSTIC LabEx has also provided information for medical decision and health authorities. Finally, the LipSTIC project has linked researchers, medical doctors, patients and their relatives, and the general public. In conclusion, the Investment for the Future Program (PIA) has constituted a unique opportunity to set up the innovative LipSTIC network taking advantage of scientific originality and efficient management to increase excellence and leadership, to interact with other PIA projects, to establish new teaching programs, to transfer results and knowledge to companies, services and society. Next challenge is to allow LipSTIC LabEx development beyond 2019.";4376240.0
"ANR-11-LABX-0020";"2012-03-01";2011;"LABX";"LEBESGUE";"Centre de Mathématiques Henri Lebesgue : fondements, interactions, applications et Formation";"Le Centre Henri Lebesgue (CHL) est un centre international dédié aux fondements, aux interactions et aux applications des mathématiques. Il est fortement en lien avec la formation, soutient les masters et comprend un programme doctoral assorti d’une palette complète de bourses. Les membres fondateurs sont l’IRMAR à Rennes, le LMJL à Nantes et le Département de Mathématiques de l'ENS Rennes. Les laboratoires de Brest, Vannes et Angers s'y sont joints en 2015. Le CHL a acquis une visibilité internationale grâce à l'organisation de semestres thématiques à la pointe de la recherche et à une offre de formation exceptionnelle. L'attractivité et la visibilité nationale et internationale sont renforcées par une série de bourses (pré-doctorat, doctorat, co-tutelle, post-doc). Le nombre de candidats aux bourses de master est en augmentation constante (plus de 500 en 2017) et les campagnes de bourses sont une réussite incontestable. Les semestres, avec des conférences, des ateliers et des écoles d'été, attirent environ 600 participants chaque année, dont plus de 50% de l'étranger. Nos actions démontrent un effet très stimulant pour la recherche et la visibilité internationale dans nos départements. Nos masters ont été coordonnés et ont gagné beaucoup en attractivité. Le CHL a une identité graphique forte et diffuse largement des affiches originales liées aux différents événements organisés. Un site web, au graphisme similaire, est notre principal outil de communication. Plusieurs projets spécifiques en collaboration avec les autres Labex (Cominlabs, MER, LaScArBx) ont été initiés en 2014, y compris le recrutement d'un ingénieur de recherche en statistique. L'Agence Lebesgue de Mathématiques pour l'Innovation a été inaugurée en novembre 2016 et a déjà à son actif l’organisation de plusieurs événements, des collaborations et de la formation continue. La gouvernance du CHL est efficace et resserrée. Le bureau a été renouvelé récemment.";9792079.0
"ANR-11-LABX-0019";"2012-03-01";2011;"LABX";"LABEX FCD";"LABEX Finance & Croissance Durable";"Le Labex Finance et Croissance Durable (FCD) est directement géré par l’Institut Louis Bachelier. Il s’appuie sur les chaires et initiatives de recherche de la Fondation du Risque et de la Fondation Institut Europlace de Finance, qui constituent le périmètre d’excellence du Labex. Les chaires impliquent une équipe de recherche, émanant de plusieurs institutions, pendant trois à cinq ans. Elles sont régies par une convention liant les fondations de recherche, les institutions académiques et les mécènes. Les IDR fonctionnent sur une période plus courte. Elles impliquent une petite équipe sur un sujet plus spécifique, ce qui peut accroître la réactivité et accélérer les transferts. Les IDR sont complémentaires aux chaires. Le Labex apporte des moyens substantiels aux chaires présentant un projet innovant. Ces moyens sont attribués après examen comparatif des propositions par le bureau exécutif scientifique. Le Labex privilégie les projets traitant de l’une des quatre grandes transitions économiques : la transition bancaire et financière ; la transition environnementale ; la transition démographique ; la transition numérique. Le Labex cofinance des post-docs, des semestres thématiques, des conférences et écoles d’été, une série de documents Opinions et Débats. Un programme « fonds d’amorçage » permet aux chercheurs de faire la démonstration aux mécènes potentiels de la capacité d’une équipe en vue de constitution d’une chaire nouvelle ou d’une IDR. Cette forme de start-up est appropriée aux domaines des sciences sociales et mathématiques. Le Labex permet une meilleure communication et une meilleure coordination entre les Fondations et entre les chaires. Les actions conjointes de recherche et notamment pluridisciplinaire en sont facilitées. Le Labex contribue significativement au rayonnement de la recherche française en soutenant les recherches du plus haut niveau et les mieux connectées à la recherche mondiale.";8500000.0
"ANR-11-LABX-0018";"2012-03-01";2011;"LABX";"IRON";"Radiopharmaceutiques Innovants en Oncologie et Neurologie";"Le programme pluridisciplinaire IRON a pour objectif le transfert en clinique de radiopharmaceutiques innovants pour l’imagerie TEP en oncologie et neurologie et la radiothérapie moléculaire, avec également des objectifs de formation et valorisation. 2016 a été marqué par les réunions des comités de pilotage, scientifiques et stratégique. La dynamique scientifique du Labex a été jugée comme très bonne avec 28 projets incluant 32 essais cliniques et 38 articles internationaux d’impact factor (IF) supérieur à 2015 (somme des IF = 136 vs 92 en 2015). Le projet fédérateur Inflammation a connu une avancée importante avec l’obtention de financements pour 6 essais cliniques, dont 4 multicentriques, de même que le projet prioritaire Fluda-TEP avec le financement par le PHRC national d’une étude multicentrique dans le lymphome et le projet fondamental Chimie de marquage à l’astate et au fluor avec 2 publications majeures sur la chimie de l’astate. Des financements ont été levés (par ex PHRC, Fondation Alzheimer, INCa, Conseils Régionaux, Europe, SATT...) et de nouvelles collaborations industrielles établies (par ex IPSEN). Le partenariat avec les groupes coopérateurs HOVON et IFM, JANSSEN et KEOSYS pour le projet CassioPET dans le myélome multiple, impliquant 92 centres en France, Belgique et Pays-Bas doit être souligné. Des workshops ont été organisés pour partager la réflexion avec les cliniciens autour de pathologies «phares» (Menton : PET et myélome, Angers : Glioblastome) et avec les biologistes sur le choix des biomarqueurs (Nantes : Inflammation). Des actions pédagogiques nationales (par ex création d’un enseignement Evaluation thérapeutique en Oncologie pour le DES de médecine nucléaire en lien avec l’INSTN) et internationales (deux webinaires en lien avec l’EANM) ont été réalisées. Deux brevets ont été déposés et 2 start up (Easy Chelators, Naogen Pharma) créées. Les SATT accompagnent le Labex pour 4 projets de maturation. http://www.labex-iron.com/";3638616.0
"ANR-11-LABX-0017";"2012-03-01";2011;"LABX";"INTERACTIFS";"Interactions and transfers at fluids and solids interfaces";"Le programme de recherche Labex Interactifs avance suivant le planning défini initialement en 2013. Sa spécificité repose sur son périmètre scientifique interne à un unique laboratoire, l’Institut Pprime, et sur la pluri-interdisciplinarité des recherches sur les phénomènes couplés aux interfaces. Le socle scientifique est dorénavant consolidé au sein de l’Institut. Afin d’initier de nouveaux partenariats avec des structures de recherche extérieures pour accroitre son rayonnement scientifique, des appels-à-projet ont été lancés depuis 2015 et sont dorénavant clôturés. A l’échelle territoriale, on peut noter l’ouverture de nos champs disciplinaires vers la chimie des matériaux et les aspects catalytiques en surface (Institut IC2MP, Université de Poitiers). Sur le plan international, des collaborations ont été engagées avec différentes structures de recherche aux USA, Suède, Japon, Pays-Bas. Pour certaines, des cotutelles de thèse ont été mises en place en étroite collaboration avec l’Ecole Doctorale ED SIMMEA. Une partie du programme reposait sur l’acquisition d’un équipement FIB (Focus Ion Beam) permettant de micro(nano)structurer les surfaces afin de comprendre l’influence de cette structuration sur les propriétés fonctionnelles qui en découlent (mécaniques, tribologiques, écoulement, corrosion…). L’équipement est dorénavant opérationnel et un ingénieur a été recruté pour en assurer le fonctionnement. Il est à noter que cet équipement dont le cout d’achat dépasse 1 M€ a été entièrement financé par la levée de fonds CPER/FEDER en accord avec la politique scientifique de l’Institut Pprime. Le dispositif de soutien à la formation par l’intermédiaire de financements de stages Master de longue durée a été pérennisé. Sur la base scientifique de ce Labex, des discussions entre les partenaires sont en cours pour répondre à l’appel-à-projet EUR du PIA3-2017 pour lequel le lien formation/recherche sera renforcé.";5185149.0
"ANR-11-LABX-0016";"2012-03-01";2011;"LABX";"IGO";"Immunothérapies Grand Ouest";"LabEx IGO objective is to develop innovative immunotherapies in transplantation, oncology and autoimmunity. LabEx IGO is a transdisciplinary network involving 16 teams with strong expertise in human immunobiology and in immunotherapy trials; it gathers immunologists in transplantation and oncology as well as specialists in radioimmunotherapy and tumor cell survival pathways. LabEx IGO research program is organized in 3 workpackages starting from target and biomarkers identification and leading to innovative therapeutic strategies. In spring 2012, 8 research projects were selected for funding by the Directory Board of LabEx IGO. These projects were very productive with numerous manuscripts published (60) and patents deposited (10). In 2012 and 2013, 2 research facilities “humanized rodents” and “immunomonitoring” started their activities and have increased steadily. In December 2013, LabEx IGO launched its 1st call for internal proposals: 6 projects were selected; these projects were started in autumn 2014 and the first results have now been published. In December 2015, LabEx IGO launched its 2nd call for internal proposals. 5 projects were selected by the Scientific Advisory Board and started in autumn 2016. So far, LabEx IGO has recruited 33 people to work on research projects (20 contracts are still ongoing). LabEx IGO educational program focuses on Master 1, Master 2 and PhD students. It proposes grants for a 3-month lab training for M1 students (25), annual workshops for M2 students (162), monthly scientific seminars, and biennial conferences gathering internationally renowned speakers (2 IGO meetings already done, the next one in 2018). LabEx IGO also carries on dissemination with short or long-term outgoing fellowships (5), conference travel fellowships (19), sponsorship of conferences (11). Labex IGO creates industrial and clinical applications. 13 patents were deposited, 2 were out-licensed to an industrial partner. 2 phase I clinical trials were launched.";3998020.0
"ANR-11-LABX-0015";"2012-03-01";2011;"LABX";"ICST";"Canaux ioniques d'intérêt thérapeutique";"Les canaux ioniques contrôlent le flux des ions au travers des membranes biologiques. En raison de leur implication dans le fonctionnement des systèmes nerveux, cardiaques, musculaires, immunitaires et endocriniens, ils constitutent une cible majeure des médicaments actuels. Ces médicaments ne ciblent toutefois qu'une toute petite partie des canaux ioniques. Le labex ICST propose une approche systématique et intégrative pour identifier et valider de nouvelles cibles pharmacologiques et biomarqueurs parmi les canaux ioniques et leurs voies de modulation. ICST est un consortium national qui fédére des spécialistes reconnus du domaine. Son objectif est de soutenir l'effort de recherche des équipes tout en favorisant l'émergence de projets transversaux finalisés. Deux colloques internationaux ont été organisés en nov 2013 à Grenoble et en novembre 2015 à Montpellier, en présence des membres étrangers du Scientific Advisory Board qui ont évalué les résultats et les développements en cours, et ont rendu des rapports assortis de recommandations. Suite à ces recommandations, nous avons mis en place un colloque des jeunes chercheurs du labex qui a lieu tous les deux ans (Lille en 2014 et à Nice an 2016). Nous avons également renforcés les axes transversaux et les collaborations interéquipes. 30 étudiants en thèse ont été financés par le LabEx. Depuis 2012, le Labex a produit plus de 370 articles dans les meilleures revues scientifiques (Nature, Nature Medecine, Nature Communications, Cell, Cell reports, EMBO J, Neuron, PNAS...). 10 brevets ont été déposés. Ces travaux permettent de proposer de nouvelles cibles d'intérêt pour le traitement des arythmies cardiaques, les maladies rénales, l'épilepsie, la migraine, la dépression, la douleur et le cancer. Deux molécules, l'une contre la douleur et l'autre contre la dépression, vont rentrer en phase clinique d'évaluation.";5848516.0
"ANR-11-LABX-0014";"2012-03-01";2011;"LABX";"GANEX";"Réseau national sur GaN";"GaNeX, créé en 2012, est dans sa sixième année. Nous venons de lancer la sixième vague de projets, qui est la dernière vague importante, notamment concernant les thèses. En effet, cette année, les thèses GaNeX validées et qui démarreront en cours d’année, à l’automne pour la plupart, se termineront en 2020, au-delà du terme de GaNeX et doivent par conséquent comprendre un cofinancement mobilisable au-delà du 1 janvier 2020 pour terminer les thèses. Nous avons pu trouver de tels cofinancements pour une dizaine de thèses, mais ceci sera beaucoup plus compliqué en 2018. Par conséquent, nous sommes en mesure de faire un premier bilan assez complet sur notre Labex, notamment en termes d’actions entreprises. Pour les résultats, les bilans en 2018 et 2019 seront plus beaucoup complets. Sur 2012-2017, 89 projets de thèses ont été soumis, 51 ont été acceptés. La majorité des thèses impliquent deux partenaires, ce qui a eu un large effet structurant sur la communauté française. 9 thèses ont déjà été soutenues, et la plupart (8/9) des docteurs ont trouvé un emploi. 48 projets de post doc ont été soumis, 22 acceptés. La différence de taux d’acceptation entre thèses été post doc traduit notre volonté, affirmée dès le départ, de privilégier la formation. Les stages de master (18 au total) et les travaux pratiques (7 projets) complètent notre effort en formation. Pour les projets exploratoires, 27 projets sur 46 soumis, ont été acceptés. 11 projets d’investissement ont été validés pour un montant total de 1.6M€. L’ensemble de ces réalisations est parfaitement conforme au plan initial, la seule différence majeure étant un nombre de thèse plus grand que prévu grâce aux nombreux cofinancements trouvés. Au niveau des résultats, GaNeX a atteint son régime de croisière et une production scientifique importante: 51 publications en 2016";6938030.0
"ANR-11-LABX-0013";"2012-03-01";2011;"LABX";"FOCUS";"Des détecteurs pour Observer l'Univers";"Fort d’une expertise sur l’ensemble de la chaine de détection, FOCUS apporte une contribution majeure de la conception a? la caractérisation de détecteurs aux meilleures performances pour l’astrophysique. FOCUS bénéficie d’un accès privilégié? aux technologies grenobloises de premier plan, et entretient de liens forts avec des industriels producteurs de composants (SOFRADIR leader de l’IR) ou de caméras a? très haute performance (FLI créée par des ingénieurs du consortium) ; d’autres industriels d’envergure entretiennent des liens étroits avec les membres de FOCUS (E2V, Ulis, ST Micro, AirLiquide). FOCUS permet de fédérer les équipes et d’accompagner des développements stratégiques et innovants : Caméra NIKA2/IRAM, détecteurs submm pour de prochaines missions spatiales, Photodiodes a? avalanche HgCdTe, matrices grand format IR très faible bruit, architectures innovantes intégrant détecteurs et optiques via des détecteurs courbes ou au contact. 9 appels d’offres ont permis le support de lots technologiques, post-docs, thèses, équipements, enseignement. Le conseil scientifique par ce processus élabore le programme de recherche. Les 5 assemblées générales annuelles ont été? l’occasion d’ateliers stratégiques. Les travaux supportés FOCUS ont permis d’obtenir des résultats de premier plan, objet de communique? de presse, incluant des résultats astrophysiques. D’autres résultats nécessitent des analyses de plus longue haleine avant publication ou valorisation. Le fait le plus marquant de 2016 a été le lancement de la réalisation de détecteurs Infrarouge grand format (2kx2k) et faible bruit sur financement FOCUS, ESA et programme H2020 de la commission Européenne. Ce dernier relève d’enjeux majeurs, en termes de marchés et d’indépendance Européenne. Un module d’enseignement de la détection est désormais propose? au niveau national 2 fois par an (niveaux master ou Ph). Un support au Centre Spatial Universitaire de Grenoble est maintenant considéré?.";6942575.0
