NOMBRE DEL SUJETO DE APOYO ,NOMBRE DEL PROYECTO,SECTOR,MONTO 
NATURA XALLI SA DE CV,SISTEMA EXPERTO PARA LA TOMA DE DECISIONES USANDO UN MOTOR COGNOSCITIVO GENERAL BAYESIANO,TECNOLOGÍAS DE LA INFORMACIÓN," 1,125,000 "
ADVANCED TECHNICAL CONCEPTS SA DE CV,DESARROLLO DE AGROTECNOLOGIA PARA PRODUCCION HORTICOLA INTENSIVA,AGROINDUSTRIAL," 16,532,696 "
PUNTO PEN SA DE CV ,"PLATAFORMA INFORMATICA PARA LA PREVENCION, DIAGNOSTICO, ATENCION, SEGUIMIENTO Y EDUCACION EN SALUD DE LA PLATAFORMA DE TECNOLOGIA DE INFORMACION DEL MODELO DE SALUD",TECNOLOGÍAS DE LA INFORMACIÓN," 3,998,750 "
TECNOLOGIA EN COMUNICACIONES E IDENTIFICACIONES DE MEXICO SA DE CV,BUZON MEDICO: SOFTWARE COMO SERVICIO PARA EXPEDIENTES CLINICOS ELECTRONICOS EN LA NUBE,TECNOLOGÍAS DE LA INFORMACIÓN," 4,640,000 "
FORMEC SA DE CV ,DESARROLLO DE UN PROCESO DE MOLDEO ROTACIONAL CON SISTEMA SELECTIVO DE ENFRIAMIENTO PARA PIEZAS COMPLEJAS,PLÁSTICOS," 3,346,947 "
FLW SOLUCIONES SA DE CV,ENTRENADOR PROTOTIPO PARA LA ENSENANZA PRACTICA DE ESPECIALIDADES MEDICAS EN SITUACIONES REALES,INSTRUMENTACIÓN ELECTROMÉDICA," 3,960,000 "
TECNOLOGIAS DE INFORMACION Y COMUNICACIONES SA DE CV,SISTEMA DE MONITOREO CONSTANTE PARA LA PROTECCION DE RECIEN NACIDOS,TECNOLOGÍAS DE LA INFORMACIÓN," 2,844,150 "
CONDUCTORES MONTERREY SA DE CV,CABLE DE ALTO VOLTAJE DE BAJO EFECTO PIEL MEDIANTE TECNOLOGIA DE CONFORMACION DE ALAMBRES ESMALTADOS,ELÉCTRICA," 1,938,870 "
PANEL REYSA ,PLAFON ACUSTICO Y LIGERO CON PROPIEDADES MECANICAS MEJORADAS A PARTIR DE FORMULACIONES ALTERNATIVAS,CONSTRUCCIÓN," 2,107,046 "
FRISA FORJADOS SA DE CV ,DESARROLLO DE CELDA DE MANUFACTURA ADITIVA UTILIZANDO DEPOSITO DE METAL CON LASER,METALURGIA," 17,959,722 "
PANEL REYSA ,PANEL DE YESO IGNIFUGO DE ULTRABAJA DENSIDAD Y ALTA RESISTENCIA INCORPORANDO MATERIALES ALTERNATIVOS,CONSTRUCCIÓN," 3,141,116 "
MICROFORMAS SA DE CV,SEGURIDAD INTEGRAL PARA CAJEROS AUTOMATICOS CON UN SISTEMA INTELIGENTE,TECNOLOGÍAS DE LA INFORMACIÓN," 2,622,532 "
LABORATORIOS PISA SA DE CV ,ING GENETICA Y UTILIZACION DE CEPAS DE MAMIFEROS(CHO) PARA EXPRESAR BIOFARMACOS HUERFANOS(ENF RARAS),BIOTECNOLOGÍA," 12,214,096 "
CICAINTE S DE RL DE CV,DESARROLLO DE UNA PLATAFORMA TECNOLOGICA TOUCH PARA LA EDUCACION BASICA (ETAPA 2),TECNOLOGÍAS DE LA INFORMACIÓN," 1,868,110 "
GRUPO QUIMICO INDUSTRIAL DE TOLUCA SA DE CV,PLASTIFICANTE DOTP (DIOCTYLTEREPHTHALATE) LIBRE DE FTALATOS A PARTIR DE PET DE DESECHO.,PLÁSTICOS," 3,853,125 "
METAPOL SA DE CV ,INVESTIGACION PARA EL DESARROLLO DE LOS PIGMENTOS METALICOS EN PLANTA PILOTO APLICABLES AL SECTOR AUTOMOTRIZ,QUÍMICA," 5,614,476 "
MACADAMIA INDUSTRIAS DE OCOSINGO SPR DE RL , DESARROLLO DE TABLETAS DE EXTRACTO ESTANDARIZADO DE HOJA DE MACADAMIA,SALUD," 3,767,975 "
CONTROL OPERATIVO COMERCIAL SA DE CV,BIODOMO PARA LA PRODUCCION Y RECOLECTA DE MIEL ORGANICA,AGROINDUSTRIAL," 3,342,850 "
PRODUCTIVIDAD MOVIL SA DE CV ,"TECNOLOGIA, SEGUIMIENTO Y RESPUESTA A METFORMINA DE DIABETICOS CON DATOS GENOMICOS Y METAGENOMICOS.",SALUD," 13,266,389 "
FISACERO SA DE CV ,DESARROLLO DE UN NUEVO PROCESO DE RECUBRIMIENTO PARA ACERO A BASE DE NANOESTRUCTURAS.,METALMECÁNICA," 26,932,520 "
WORKING ON LINE LIFES SA DE CV,"INNOVACION, DISENO Y DESARROLLO DE UN SISTEMA MECANICO DE SUPRESION DE ENERGIA DE FACIL REEMPLAZO Y CON ACOPLAMIENTO RAPIDO A UNA LINEA DE VIDA VIDA DE PROTECCION CONTRA CAIDAS",AEROESPACIAL," 4,243,426 "
AUTOMATIZACION Y SOFTWARE SA DE CV,TECNOLOGIA PARA MAPEO DINAMICO DE RIESGO Y PRONOSTICO EPIDEMIOLOGICO EN ETVS.,SALUD," 2,998,652 "
QUIMICA PUMEX SA DE CV ,POLIURETANO NANOTECNOLOGICO RESISTENTE AL FUEGO LIBRE DE HALOGENOS PARA APLICACIONES ESTRATEGICAS.,QUÍMICA," 8,784,522 "
CORPORACION INDUSTRIAL DE MOLDEO SA DE CV,VALVULAS PARA INODORO AHORRADORAS Y BIO-ECOLOGICAS FABRICADAS CON PLASTICO 100% RECICLADO. ETAPA 1.,PLÁSTICOS," 4,970,768 "
HUNABSYS R&D S DE RL DE CV ," DESARROLLO DE TECNOLOGIA VESTIBLE ENFOCADA AL MONITOREO DE ACTIVIDAD FISICA, ALIMENTACION Y SEGUIMIENTO DE METAS PARA MEJORAR EL BIENESTAR Y LA CALIDAD DE VIDA DE LOS USUARIOS.",SALUD," 2,451,770 "
GUTIERREZ INGENIEROS SA DE CV,INNOVACION TECNOLOGICA PARA APROVECHAR LA ENERGIA CINETICA GENERADA POR VAGONES DE FERROCARRIL.,ENERGÍA," 5,618,570 "
INDUSTRIALIZADORA SHARYL S DE RL DE CV ,DESARROLLO DE NUEVOS FILAMENTOS Y TEXTILES PARA UNIFORMES A BASE DE NANOMATERIALES FOTOSENSIBLES,TEXTIL," 2,053,100 "
FABRICACION DE ALIMENTOS TENERIFE SA DE CV ,DISENO DE NUEVOS PRODUCTOS AGROALIMENTARIOS A PARTIR DE RESIDUOS DE PROCESOS PRIMARIOS DE PRODUCCION,AGROINDUSTRIAL," 3,530,797 "
MEZCLAS Y FERTILIZANTES SA DE CV ,EVALUACION DE LA ACTIVIDAD INSECTICIDA DE EXTRACTOS DE PORTULACA OLERACEA VS LEPIDOPTEROS DEL CAMPO,AGROINDUSTRIAL," 843,075 "
DISTRIBUIDORA DE SINALOA DE EXPLOSIVOS SA DE CV ,DESARROLLO E INNOVACION TECNOLOGICA DE PLANTA PILOTO DE EXPLOSIVOS EN EL NOROESTE DE MEXICO,MINERÍA," 5,646,708 "
BGCM TECHNOLOGY SA DE CV ,DISENO DE APLICACION DE TECNOLOGICA PARA LA RECUPERACION DE ARENA DE MOLDEO,SERVICIOS," 3,625,250 "
ESSENCEFLEUR DE MEXICO SA DE CV,MICROENCAPSULADOS SOLIDOS PARA LA LIBERACION PROLONGADA DE FRAGANCIAS,QUÍMICA," 2,825,000 "
WISE TECNOLOGIA APLICADA SA DE CV ,SISTEMA DE REPRODUCCION Y SECADO DE MICROALGA SPIRULINA A NIVEL PLANTA PILOTO CON FINES ALIMENTICIOS,ALIMENTOS," 4,611,257 "
PUNTO PEN SA DE CV ,"DISENO, DESARROLLO E INTEGRACION DE UN MODULO DE COMPUTO ESPECIALIZADO DE LA PLATAFORMA DE TECNOLOGIA DE INFORMACION DEL MODELO DE SALUD PARA LA PREVENCION Y ATENCION DEL SOBREPESO Y OBESIDAD INFANTIL",TECNOLOGÍAS DE LA INFORMACIÓN," 3,751,250 "
SPERANTUS SA DE CV ,FUSION DE DATOS DE REDES DE SENSORES PARA EL MODELADO Y EL ASEGURAMIENTO DE LA CALIDAD VITIVINICOLA,AGROINDUSTRIAL," 7,449,171 "
ENERGIAS RENOVABLES DEL SURESTE SA DE CV,PLANTA PROTOTIPO DE ENERGIA ELECTRICA GENERADA POR CONCENTRADORES SOLARES PARABOLICOS MEDIANTE EL CICLO RANKINE ORGANICO,ENERGÍA," 4,149,997 "
IOSA DE LOS MOCHIS SA DE CV,"INNOVACION EN OXIGENACION ACUICOLA CON AIREACION 4X4, PARA REDUCIR EL ESTRES POR FALTA DE OXIGENO",MAQUINARIA INDUSTRIAL," 6,491,721 "
TECNOTIFERET SA DE CV ,DESARROLLO DE PLANTA MOVIL GENERACION II PARA RECICLAJE DE COMPONENTES ELECTRONICOS (MORE II),PLÁSTICOS," 8,979,811 "
SERVICIOS ESTRATEGICOS EN TECNOLOGIAS DE INFORMACION S DE RL DE CV,SUITE DE APLICACIONES EN CANALES DIGITALES PARA PAGOS ELECTRONICOS,TECNOLOGÍAS DE LA INFORMACIÓN," 4,402,500 "
ENERGIA SUMINISTROS E INSTALACIONES SA DE CV,DESARROLLO DE UNA PLANTA PILOTO PARA LA FABRICACION DE UNA MICROFIBRA TERMOSOLAR PARA GENERAR CALOR,TEXTIL," 5,999,999 "
ENERGIA SUMINISTROS E INSTALACIONES SA DE CV,DESARROLLO DE RECUBRIMIENTOS SELECTIVOS DE ALTA EFICIENCIA POR RF-SPUTTERING PARA COLECTORES SOLARES,ENERGÍA," 7,000,006 "
AQUANIMALS S DE RL DE CV,INNOVACION AL PROCESO DE PRODUCCION DE SPALANGIA PARA INTEGRAR EN PAQUETE BIOTECNOLOGICO COMERCIAL,AGROINDUSTRIAL," 1,637,250 "
MILLINGMEX SA DE CV ,VIBRACIONES CONTROLADAS PARA LIBERACION DE ESFUERZOS EN PIEZAS FABRICADAS POR METALURGIA DE POLVOS,METALMECÁNICA," 4,708,720 "
LOGYKOPT SA DE CV ,PORTAFOLIO DE ALGORITMOS DE OPTIMIZACION MATEMATICA PARA PLANTAS DE MOLDEO POR INYECCION DE PLASTICO,TECNOLOGÍAS DE LA INFORMACIÓN," 2,636,952 "
MAX PC DE MEXICO SA DE CV ,DESARROLLO DE UN SOFTWARE DE GESTION PARA OPTIMIZAR LOS PROCESOS DE PRODUCCION DEL VINO (SEGUNDA FASE),TECNOLOGÍAS DE LA INFORMACIÓN," 1,929,413 "
CONSORCIO CONTRU-COSS SA DE CV ,DESARROLLO DE UN PROTOTIPO DE AIRE ACONDICIONADO ACCIONADO POR ENERGIA GEOTERMICA Y SOLAR,ENERGÍA," 2,983,338 "
CONSORCIO CONTRU-COSS SA DE CV ,CONTRUCCION Y VALIDACION DE UN SISTEMA SUSTENTABLE DE ILUMINACION SOLAR ILU-GREEN,ENERGÍA," 222,438 "
MANTENIMIENTO PREDICTIVO INDUSTRIAL SA DE CV,DISENO Y EVALUACION DE REFUERZO PLASTICO EN CONCRETO PERMEABLE PARA PAVIMENTO CON TRANSITO PESADO,CONSTRUCCIÓN," 2,931,497 "
INGENIERIA Y MECATRONICA SA DE CV ,DISENO DE EQUIPO PARA INSPECCION DE ENGRANES EMPLEANDO COMPONENTES ESTANDAR Y CONTROL ACTUALIZADO.,MAQUINARIA INDUSTRIAL," 2,696,000 "
FRESCOPACK SA DE CV ,DISENO DE EMBALAJE DE PLASTICO 100% RECICLABLE PARA LOGISTICA DE TRANSPORTE DE CHAMPINONES,PLÁSTICOS," 2,512,815 "
ADEK SA DE CV ,AUMENTO DE CAPACIDAD DEL SENSOR DE TEMPERATURA INTERNA DE LA TURBINA APLICANDO RECUBRIMIENTOS PVD,AEROESPACIAL," 6,762,619 "
LABORATORIOS SILANES SA DE CV ,DESARROLLO DE MEDICAMENTOS NANO-BIOTECNOLOGICOS PARA EL TRATAMIENTO DEL ALACRANISMO,FARMACÉUTICA," 3,607,533 "
CABSE TECHNOLOGY INDUSTRIES SA DE CV,PROTOTIPO DE SISTEMA AUTOMATIZADO PARA APLICACION DE EMULSIONES ANTIDESLIZANTES ESTABILIZADORAS,MAQUINARIA INDUSTRIAL," 4,104,625 "
CABSE TECHNOLOGY INDUSTRIES SA DE CV,DESARROLLO DE EMULSION ANTIDESLIZANTE BIODEGRADABLE PARA ESTABILIZACION DE CARGAS EN PALLETS,PLÁSTICOS," 2,825,550 "
LOPEZ COLOR S DE RL DE CV,TRANSFORMACION DE CARTON RECICLADO EN TARIMAS DE CARGA -PALLETS- ECONOMICAS DE ALTO VALOR-AGREGADO,ALIMENTOS," 914,193 "
TEXTILES LEON SA DE CV,TEJIDO PLANO DE FIBRA DE VIDRIO,TEXTIL," 240,950 "
THYSSENKRUPP PRESTA DE MEXICO SA DE CV ,DESARROLLO DE UN NUEVO PRODUCTO Y PROCESO DE FORJA EN FRIO PARA ENGRANES HELICOIDALES.,AUTOMOTRIZ," 16,978,904 "
LABORATORIOS SILANES SA DE CV ,DESARROLLO DE MEDICAMENTOS ESPECIALIZADOS PARA EL CONTROL Y TRATAMIENTO DEL SINDROME METABOLICO,FARMACÉUTICA," 3,618,077 "
CORETOOL SA DE CV ,SINTESIS DE POLIIMIDAS PARA APLICACIONES EN TREN DE ATERRIZAJE EN LA INDUSTRIA AERONAUTICA.,AEROESPACIAL," 5,176,374 "
EXSYS TOOL MEXICO S DE RL DE CV ,RECUBRIMIENTOS CON NANO-ARCILLAS. ETAPA 1: PROTECCION DE SWITCH DE PRESION DE INDUSTRIA AERONAUTICA,AEROESPACIAL," 3,539,374 "
ULTRAKUT SA DE CV ,DESARROLLO DE SOFTWARE DE SEGUIMIENTO ESPACIAL PARA ANALISIS DE DATOS ESQUELETICOS,TECNOLOGÍAS DE LA INFORMACIÓN," 5,605,371 "
OLNATURA SA DE CV ,ESCALAMIENTO DEL PROCESO DE OBTENCION DE MICROORGANISMOS CON FUNCIONALIDAD NUTRACEUTICA,ALIMENTOS," 1,162,307 "
INCATROM SA DE CV ,DESARROLLO DE TERMOPARES DEL ESCAPE DE GAS EN LA UNIDAD DE POTENCIA AUXILIAR UTILIZANDO PVD,AEROESPACIAL," 6,539,270 "
PROTO MEX SA DE CV ,MEJORAS EN MANUFACTURA DE PIEZAS AEROESPACIALES CON MEDICIONES ABSOLUTAS DE CALIDAD DE SUPERFICIES,EQUIPO DE MEDICIÓN Y CONTROL," 5,656,165 "
SITELDI SOLUTIONS SA DE CV ,DESARROLLO DE UN SISTEMA MULTIMEDIA Y DE COMUNICACION PARA VEHICULOS CONECTADOS,TELECOMUNICACIONES," 4,500,000 "
INNOVACION Y DESARROLLO DE ENERGIA ALFA SUSTENTABLE SA DE CV,ESCALAMIENTO DE UN PROCESO BIOQUIMICO CONTINUO PARA PRODUCIR BUTANOL RENOVABLE,BIOTECNOLOGÍA," 6,076,750 "
VITRO VIDRIO Y CRISTAL SA DE CV,DESARROLLO DE RECUBRIMIENTOS AUTOMOTRICES DE BAJA EMISIVIDAD VIA TECNOLOGIAS SPUTTERING Y NANO,QUÍMICA," 5,542,513 "
INELAP SA DE CV,SISTEMA DE MONITOREO GESTION Y PREVENCION DE FALLAS EN TIEMPO REAL DE TRANSFORMADORES DE INSTRUMENTO,EQUIPO DE MEDICIÓN Y CONTROL," 9,985,689 "
TREMET SA DE CV ,DESARROLLO DE RECUBRIMIENTO ALQUIDALICO BASE AGUA LIBRE DE VOC´S PARA TRAFICO Y CORROSION,QUÍMICA," 3,100,000 "
HEMOST SA DE CV,"DISENO, DESARROLLO Y CONSTRUCCION DEL REACTOR PARA CRECER OXIOPATITA EN PROTESIS",SALUD," 7,033,500 "
OFISISTEMAS PARADIGMA SA DE CV ,SISTEMA TECNOLOGICO HIBRIDO INTEGRAL PARA EL DESARROLLO SOSTENIDO DE RED DE NEGOCIO INCLUYENTE,TECNOLOGÍAS DE LA INFORMACIÓN," 2,679,900 "
EDUSPARK SA DE CV,INTEGRACION DE PLATAFORMA EDUCATIVA EDUSPARK PROFESSIONAL SUITE PARA LA COMPETITIVIDAD DE LA EDUCACION BASICA,TECNOLOGÍAS DE LA INFORMACIÓN," 1,287,300 "
TECNORIEGOS DEL TROPICOS SA DE CV ,DESARROLLO DE LA CONVERSION A ENERGIA SOLAR DE UN SISTEMA DE RIEGO POR PIVOTE CENTRAL CONVENCIONAL,MAQUINARIA INDUSTRIAL," 2,947,788 "
I + D BIO SA DE CV ,METODO DE DETECCION DE PATOGENOS TRANSMITIDOS POR VECTOR MEDIANTE EL USO DE MICROARREGLOS.,BIOTECNOLOGÍA," 4,629,211 "
NAIKA GROUP SA DE CV,SISTEMA INTELIGENTE DE MONITOREO Y DETECCION TEMPRANA DE PLAGAS Y ENFERMEDADES EN APIARIOS,AGROINDUSTRIAL," 3,219,155 "
COLIMA COMMERCE GROUP SA DE CV ,PROCESO MECANIZADO PARA SANITIZACION DE VEGETALES CON CAMARA DE INHIBICION Y RADIACION ULTRAVIOLETA,AGROINDUSTRIAL," 2,730,000 "
I + D BIO SA DE CV ,DESARROLLO DE UNA HERRAMIENTA PARA DETECTAR INFECCIONES OPORTUNISTAS EN PACIENTES CON SIDA,BIOTECNOLOGÍA," 4,538,442 "
PROMOTORA Y CONSULTORIA DE PROYECTOS TECNOLOGICOS Y CIENTIFICOS SA DE CV,"SISTEMA DE INFORMACION PARA EL SEGUIMIENTO DE: CRIANZA, PRODUCCION Y TRAZABILIDAD DEL GANADO.",AGROINDUSTRIAL," 2,394,065 "
CENTRO PARA LA INNOVACION Y EL CONOCIMIENTO TECNOLOGICO SA DE CV,PLATAFORMA PARA LA GENERACION DE JUEGOS-SERIOS DE APRENDIZAJE ACORDE A CONTEXTOS ACADEMICOS DIVERSOS,TECNOLOGÍAS DE LA INFORMACIÓN," 6,680,533 "
VIGILANCIA ONLINE SA DE CV ,SISTEMA DE REFRIGERACION POR INMERSION PARA COMPUTO DE ALTO RENDIMIENTO,ENERGÍA," 5,999,986 "
DIRAAL S DE RL MI,DESARROLLO DE UN PROCESO INCORPORANDO UN MODULADOR AUTOMATICO DE FLAMA EN UN CALENTADOR DE AGUA,METALMECÁNICA," 2,907,000 "
TECNOLOGIA Y SOLUCIONES APLICADAS SA DE CV,DESARROLLO DE PROTOTIPOS A NIVEL MICRO ELECTRONICO DE MODULO DE VIDEO PARA INTEGRACION EN TELEMETRIA,ELECTRÓNICA," 1,675,900 "
ENTERPRISE MANAGEMENT SERVICE SA DE CV ,ESPACIO DIGITAL PARA EL APRENDIZAJE AUTONOMO: METASPACE ETAPA 2,TECNOLOGÍAS DE LA INFORMACIÓN," 1,794,621 "
VIGILANCIA ONLINE SA DE CV ,SISTEMA GENERADOR DE ENERGIA MEDIANTE EL APROVECHAMIENTO DE LAS FUERZAS MAREOMOTRICES/UNDIMOTRICES,ENERGÍA," 9,000,000 "
TECNOLOGIA RENOVABLE DE MEXICO SA DE CV,"WHATSCAR, SISTEMA DE ALARMA Y LOCALIZACION DE VEHICULOS CONTROLABLE CON LA APLICACION WHATSAPP",TECNOLOGÍAS DE LA INFORMACIÓN," 4,497,254 "
GRUPO EMPRESARIAL INNOVATEC S DE RL DE CV,TERMOCISTERNA SOLAR,ENERGÍA," 5,881,500 "
INTEGRA AUTOMATION SA DE CV ,"PLATAFORMA ROBOTICA DE ARQUITECTURA ABIERTA PARA PROPOSITOS DE INVESTIGACION, ACADEMICOS E INDUSTRIALES",MECATRÓNICA," 1,810,400 "
DITEMSA SA DE CV,DESARROLLO DE MOLDES PARA FUNDICION EN ALTA PRESION PARA MONOBLOCKS AUTOMOTRICES LIGEROS DE ALTO DESEMPENO,METALURGIA," 7,492,206 "
COMPANIA GENERAL DE VIVERES SA DE CV ,DESARROLLO DE UN PRODUCTO ALIMENTICIO NURTICIONAL A BASE DE GARBANZO TERMOESTABILIZADO,ALIMENTOS," 4,056,651 "
AMUNET SA DE CV ,TELEMEDICINE CONCEPT 3.0: PREDIAGNOSTICO DE CARDIOPATIAS CON PRUEBAS DE LABORATORIO PORTABLES,SALUD," 9,997,500 "
INTERNATIONAL BASKETS SA DE CV,DESARROLLO E INNOVACION DE MATERIALES COMPUESTOS DE PET RECICLADO REFORZADO CON NANOARCILLAS PARA EMPAQUES ALIMENTICIOS,PLÁSTICOS," 8,419,922 "
BYPASA SA DE CV,"DESARROLLO DE UN CENTRO DE DISENO, FABRICACION Y VALIDACION DE MOLDES DE INYECCION DE HULE Y TROQUELES",AUTOMOTRIZ," 4,712,000 "
ESTERIPHARMA SA DE CV ,TRATAMIENTO INNOVADOR BASADO EN EL USO DE LAS SOLUCIONES ELECTROLIZADAS DE SUPEROXIDACION (SES) CON,BIOTECNOLOGÍA," 5,843,470 "
PROLEC SA DE CV,DESARROLLO DE AISLADORES CERAMICOS NANOESTRUCTURADOS DE ALTO DESEMPENO. ETAPA III – CORRIDA PILOTO,ELÉCTRICA," 1,654,927 "
LCI INTERNATIONAL BUSINESS SOLUTIONS S DE RL DE CV,SISTEMA WEB COLABORATIVO ESPECIALIZADO EN COMERCIO INTERNACIONAL CON ARQUITECTURA DE REDES SOCIALES,TECNOLOGÍAS DE LA INFORMACIÓN," 148,035 "
TECNOMEC AGRICOLA SA DE CV,"DESARROLLO DE SISTEMA MECANIZADO DE POSTCOSECHA , COMO ALTERNATIVA SUSTENTABLE PARA REDUCIR COSTOS Y ELEVAR LA COMPETITIVIDAD DE LA CANA DE AZUCAR EN MEXICO.",MAQUINARIA INDUSTRIAL," 11,540,700 "
FERTILIDAD DE SUELOS S DE RL ,DIAGNOSTICO DE LA FERTILIDAD DEL SUELO MEDIANTE RESINAS DE INTERCAMBIO ANIONICO Y CATIONICO,SERVICIOS," 3,441,880 "
EMOT INGENIERIA SA DE CV ,SISTEMA INTEGRAL DE FIJACION PARA TRATAMIENTOS DE RADIOTERAPIA,SALUD," 1,542,433 "
TECNOLOGIA EN SERVICIOS BIOMEDICOS SAPI DE CV,SISTEMA DE CONTROL DE MEDICAMENTOS,SALUD," 1,470,474 "
PETRAMIN SA DE CV ,"DESARROLLO Y EVALUACION EN CAMPO DE UN NEMATICIDA SUSTENTABLE DE FORMULACION NOVEDOSA QUE LE PERMITE TAMBIEN UNA ACCION BACTERICIDA, ANTIFUNGICA Y PROMOTORA DEL CRECIMIENTO Y DESARROLLO DEL CULTIVO.",AGROINDUSTRIAL," 2,509,559 "
EMBSOFT SA DE CV,"SISTEMA DE GESTION DE INFORMACION DEL TRANSPORTE PUBLICO, PARA MEJORAR LA LOGISTICA EN LAS URBES",TECNOLOGÍAS DE LA INFORMACIÓN," 2,467,496 "
TENEDORA NEMAK SA DE CV ,"GENERACION ECOLOGICA DE RECUBRIMIENTOS TERMOFRAGUABLES PARA ARENA, EN LA INDUSTRIA DE LA FUNDICION",AUTOMOTRIZ," 6,519,871 "
DNA-MADE S DE RL DE CV,ACUMULADOR DE ENERGIA POTENCIAL,ENERGÍA," 2,802,498 "
MEXIFRUTAS SA DE CV ,DESARROLLO DE PRODUCTO INNOVADOR A PARTIR DEL APROVECHAMIENTO DEL HUESO DE MANGO,AGROINDUSTRIAL," 6,850,891 "
SOFTWARE Y ELECTRONICA APLICADA SA DE CV,APLICATIVO ELECTRONICO PARA LA PORTABILIDAD Y ENCRIPTACION DE EXPEDIENTES MEDICOS,ELECTRÓNICA," 2,445,500 "
SOLUCIONES TI MX S DE RL DE CV,TRANSPORT MANAGEMENT SYSTEM (TMS),TECNOLOGÍAS DE LA INFORMACIÓN," 5,122,600 "
SOCIEDAD DE CULTIVO Y PRODUCCION MARINA DE MEXICO SA DE CV,ESTRATEGIAS PARA LA INNOVACION EN EL PROCESO PRODUCTIVO A ESCALA COMERCIAL DEL PARGO LUNAREJO,AGROINDUSTRIAL," 7,199,161 "
INTERLATIN S DE RL DE CV ,DISENO Y DESARROLLO DE UNA BIOIMPRESORA TRIDIMENSIONAL CON CHOQUE TERMICO PARA LA FABRICACION DE BIOMATERIALES,BIOTECNOLOGÍA," 3,722,350 "
ADMINISTRACION A DISTANCIA SUSTENTABLE SA DE CV ,SISTEMA DE DEPOSICION EN FASE VAPOR PARA OBTENER SUPERFICIES SELECTIVAS PARA GENERACION DE CALOR.,ENERGÍA," 7,200,001 "
SOLUCIONES DIGITALES Y DE PROCESOS SA DE CV ,PLATAFORMA INTEGRAL EDUCATIVA DE ENTORNO INTELIGENTE (EDU MANAGER),SERVICIOS," 11,691,750 "
PRODUT CASTING SA DE CV ,PROCESO DE MANUFACTURA AVANZADA DE MOLDES COMPLEJOS PARA VACIADO DE ALUMINIO,METALURGIA," 1,147,626 "
INTERLATIN S DE RL DE CV ,DESARROLLO DE DISPOSITIVO Y SISTEMA PARA IMPRESION 3D A COLOR EN FABRICACION POR FILAMENTO FUNDIDO,IMPRESIÓN," 2,242,153 "
SOFTWARE PARA LA ADMINISTRACION EN LINEA SA DE CV,PLATAFORMA DE MONITOREO PARA CIRCUITO METROPOLITANO,MECATRÓNICA," 4,150,004 "
KSH INNOVACION AUTOMOTRIZ SA DE CV,ESCALAMIENTO DEL PROCESO DE PRODUCCION DE FLUIDO DIELECTRICO VEGETAL,QUÍMICA," 394,500 "
TECNOLOGIA RENOVABLE DE MEXICO SA DE CV,SISTEMA DE LUMINARIAS AUTONOMAS INTELIGENTES,ELÉCTRICA," 7,999,987 "
ALTO DISENO SA DE CV ,"DISENO, DESARROLLO Y VALIDACION DE DISPOSITIVO PARA APERTURA Y CIERRE DE ASIENTO Y CUBIERTA DE BANO",METALMECÁNICA," 5,579,529 "
MONDELEZ MEXICO S DE RL DE CV ,DESARROLLO TECNOLOGICO DE CARBONATACION NO CONVENCIONAL PARA BEBIDAS Y REINGENIERIA EN EL DESARROLLO DE EMPAQUES,ALIMENTOS," 4,611,138 "
UNIMA SOLUCIONES NATURALES SAPI DE CV ,DESARROLLO DE UNA PRUEBA DE DIAGNOSTICO DIFERENCIAL PARA INFLUENZA AVIAR POR MICROFLUIDICA Y BIGDATA,FARMACÉUTICA," 1,793,898 "
INTELIGENCIA INDUSTRIAL INTI SA DE CV,CALENTADOR DE AGUA DOMESTICO DE ALTA EFICIENCIA Y AHORRO DE AGUA,MAQUINARIA INDUSTRIAL," 4,706,103 "
GONET MEXICO SA DE CV ,PLATAFORMA TECNOLOGICA PARA LA GESTION DEL RIESGO CORPORATIVO Y LOCAL (PGRCL),TECNOLOGÍAS DE LA INFORMACIÓN," 5,452,200 "
LABORATORIOS SILANES SA DE CV ,DESARROLLO DE MEDICAMENTOS INNOVADORES PARA MEJORAR LA ADMINISTRACION DE FARMACOS,FARMACÉUTICA," 3,471,416 "
LABORATORIOS SILANES SA DE CV ,NUEVA PLATAFORMA BIOTECNOLOGICA PARA EL DESARROLLO DE PEPTIDOS TERAPEUTICOS,BIOTECNOLOGÍA," 2,049,110 "
GRUPO PINTONE SA DE CV ,VALIDACION Y OPTIMIZACION DE RECUBRIMIENTO NANOINTELIGENTE Y SU EFECTO EN CULTIVOS EN INVERNADEROS,AGROINDUSTRIAL," 2,584,906 "
BAJIO TECNOLOGIA INDUSTRIAL SA DE CV ,PROTOTIPO DE LABORATORIO DE CALIBRACION CON TRAZABILIDAD Y MANTENIMIENTO DE EQUIPO MEDICO ESPECIALIZ,SERVICIOS," 3,288,405 "
COMPANIA MINERA AUTLANSA B DE CV,DISENO Y DESARROLLO DE UN HORNO ROTATORIO PILOTO PARA LA PRODUCCION DE OXIDO DE MANGANESO SIDERURGICO DE ALTA PUREZA,MINERÍA," 5,674,022 "
LAN EDUCATION SA DE CV,PLATAFORMA DE RASTREO Y MONITOREO DE EFECTIVOS EN UNIDADES MOVILES PARA INSTITUCIONES DE SEGURIDAD,TECNOLOGÍAS DE LA INFORMACIÓN," 1,608,275 "
