PROYECTO,NOMBRE DEL SUJETO DE APOYO,TITULO DEL PROYECTO,SECTOR,MONTO DE APOYO MXN
240676,"LABORATORIOS SENOSIAIN, S.A. DE C.V.",DESARROLLO DE NUEVOS MEDICAMENTOS DE ACCIÓN EN EL SISTEMA NERVIOSO CENTRAL A TRAVÉS DE INGENIERÍA DE CRISTALES,PRIVADO,"5,183,810.00"
242261,"KATCON, S.A. DE C.V.","SISTEMA DE CONTROL DE EMISIÓN DE GASES SCR DE NUEVA GENERACIÓN: ETAPA2 - OPTIMIZACIÓN DE INYECCIÓN Y DISTRIBUCIÓN DE UREA, Y PLAN DE COMERCIALIZACIÓN DE LA TECNOLOGÍA.",PRIVADO,"3,699,369.00"
241557,ROBUSPACK S. DE R.L. DE C.V.,PROTOTIPO DE MAQUINA IMPRESORA DIGITAL EN LINEA PARA CARTON CORRUGADO,PRIVADO,"1,355,888.00"
243201,PRODUCTORES DE AGAVACEAE OAXAQUEÑA SA DE CV,DESARROLLO DE UN INGREDIENTE ACTIVO CON BASE AGAVE/ACHICORIA Y SU VALIDACIÓN DEL EFECTO PREBIÓTICO EN BEBIDAS,PRIVADO,"1,254,416.00"
243373,CARROCERIAS CORPUS CHRISTI S.A. DE C.V.,DESARROLLO DE PROTOTIPO PARA EL ARMADO DE VIGAS TIPO H PARA SEMIRREMOLQUES,PRIVADO,"3,059,000.00"
241631,"FABRICA DE PINTURAS UNIVERSALES, SA DE CV.",DESARROLLO DE RECUBRIMIENTOS NANOESTRUCTURADOS PARA PROTECCIÓN CONTRA LA CORROSIÓN. TERCERA ETAPA,PRIVADO,"2,953,219.00"
241699,"MANUFACTURERA DE CIGUEÑALES DE MEXICO, S.A. DE C.V.",DISEÑO DE UN SISTEMA HÍBRIDO DE RECUBRIMIENTOS CAPVD/CVD APLICADO A MATERIALES AVANZADOS 32CRMOV13. ETAPA 2 DE 2,PRIVADO,"6,539,419.00"
243021,COMERCIALIZADORA DE CALZADO EL MARATON SA DE CV,"DESARROLLO DE CALZADO TIPO HIKING CON UN SISTEMA DE MONITOREO POR SENSORES, PARA PREVENIR EL PADECIMIENTO DE PIE DE TRINCHERA.",PRIVADO,"2,839,140.00"
242088,"BAYER DE MEXICO, S. A. DE C. V.",DESARROLLO DE HERBICIDAS PARA CONTROL DE MALEZAS RESISTENTES EN CULTIVOS ANUALES Y FRUTALES EN MEXICO,PRIVADO,"2,440,041.00"
242514,"QUIMINET PRODUCTOS Y EQUIPO DE LABORATORIO, S.A. DE C.V.",PLASTERVER PELÍCULA DE REGENERACIÓN EPITELIAL: INTEGRACIÓN DE EXTRACTOS FLUIDOS DE ESPECIES VEGETALES Y NANOPARTÍCULAS DE PLATA EN UNA PELÍCULA DE QUITOSÁN ADHERENTE PARA LA REGENERACIÓN EPITELIAL ,PRIVADO,"4,469,850.00"
242393,LICORERA OAXAQUEÑA SA DE CV,APLICACIÓN DE TECNOLOGÍAS DE HOMOGENIZACION Y PASTEURIZACION PARA INCREMENTAR VIDA ÚTIL EN CREMAS DE MEZCAL.,PRIVADO,"952,618.00"
240789,"SOCCER ESPECIALISTA EN ARQUEROS, S.A. DE C.V",DESARROLLO DE SISTEMA DE LAMINADO DE LATEX,PRIVADO,"2,932,670.00"
243464,INGENIERIA DISEÑO Y PRODUCTOS AMBIENTALES S.A DE C.V.,"DISEÑO Y DESARROLLO DE UN SISTEMA Y MÉTODO DE CONTROL, MEDICIÓN Y MONITOREO DE ABASTO DE COMBUSTIBLE EN ESTACIONES DE SERVICIO",PRIVADO,"2,639,050.00"
240217,PRODUCTOS PLUS SA DE CV,LÍNEA PILOTO PARA DESARROLLO DE NUEVOS UTENSILIOS DE ALIMENTACIÓN EMPLEANDO PLÁSTICOS BIODEGRADABLES,PRIVADO,"2,444,190.00"
242114,TICDES TECNOLOGIA DE INFORMACIÓN Y CONSULTORIA EN DESARROLLO DE SOFTWARE S.A. DE C.V.,SOLUCIÓN DE VIDEO PARA DISTRIBUCIÓN DE SEÑAL SATELITAL E IP EN LA INDUSTRIA DE LA HOSPITALIDAD(PRIMERA FASE),PRIVADO,"816,800.00"
241598,SCHWEITZER ENGINEERING LABORATORIES S.A. DE C.V.,"INVESTIGACIÓN Y DESAROLLO DE CARGADORES, ALMACENAMIENTO Y MONITOREO PARA CASETAS DE CONTROL DE SUBESTACIONES ELÉCTRICAS SEGUNDA FASE",PRIVADO,"3,717,391.00"
241494,"CITROFRUT, S.A. DE C.V.",PROYECTO DE INVESTIGACIÓN EN PROCESOS DE EXTRACCIÓN DE ACEITES ESENCIALES E IDENTIFICACIÓN DE COMPUESTOS DE VALOR AGREGADO DERIVADOS DE FRUTOS CÍTRICOS,PRIVADO,"3,770,397.00"
242131,JANESVILLE DE MEXICO SA DE CV,"SISTEMA DE CAJUELA OPTIMIZADO CON RECUBRIMIENTO ECOLÓGICO DE ALTO PERFORMANCE ACÚSTICO -PORTAEQUIPAJE ECOLÓGICO ""ECO TRUNK""",PRIVADO,"4,371,481.00"
240862,RICAP S.A. DE C.V.,"DESARROLLO DE UN POTENCIADOR NATURAL DE SABORES PARA CÁRNICOS, SAZONADORES Y/O ADEREZOS, MEDIANTE TRATAMIENTOS ENZIMÁTICOS DE ALTA TECNOLOGÍA.",PRIVADO,"865,142.00"
240997,WAS GROUP S. DE R.L. DE C.V.,PROTOTIPO DE UNIDAD MOVIL DE PROCESAMIENTO PARA EL APROVECHAMIENTO DE FRUTAS Y VERDURAS EN EL SITIO DE CULTIVO Y COSECHA - PILOTEO EN EL ESTADO DE PUEBLA-,PRIVADO,"3,930,163.00"
243407,ANVI MEXICANA S.A. DE C.V.,EVALUACIÓN Y OPTIMIZACIÓN DE LAS CONDICIONES DEL PROCESO DE CALANDREADO PARA LA OBTENCION DE LAMINAS ELASTOMÉRICAS PROTOTIPO CON SUPERFICIE TEXTURIZADA ,PRIVADO,"1,869,094.00"
243687,"ALEACIONES Y METALES INDUSTRIALES DE SALTILLO, S.A. DE C.V.",DISEÑO Y DESARROLLO DE UN SISTEMA DE ALTA EFICIENCIA ENERGÉTICA PARA LA OBTENCIÓN DE SÚPER ALEACIONES DE AL-CU PARA LA OPTIMIZACIÓN DE PROPIEDADES EN EL USO DE COMPONENTES EN EL SECTOR AEROESPACIAL,PRIVADO,"3,803,340.00"
242703,"CIDAT, S.A DE C.V",NUEVA COMBINACIÓN FARMACÉUTICA CON POTENCIAL USO EN EL TRATAMIENTO DE LA NEUROPATÍA DIABÉTICA,PRIVADO,"2,534,300.00"
243165,"DAL-TILE MEXICO, S. DE R.L. DE C.V.",DESARROLLO DE MOLDES DE YESO DE ALTA RESISTENCIA Y POROSIDAD EN FUNCIÓN GRADIENTE PARA EL VACIADO DE SUSPENSIONES CERÁMICAS.,PRIVADO,"1,500,500.00"
243163,CESANTONI SA DE CV,INNOVACIÓN Y DESARROLLO DE TECNOLOGÍA NACIONAL PARA LA FABRICACIÓN INDUSTRIAL DE CERÁMICOS DE NUEVA GENERACIÓN ,PRIVADO,"3,474,612.00"
241182,"PROLEC-GE INTERNACIONAL, S. DE R.L. DE C.V.","TRANSFORMADORES ECOLÓGICOS. ETAPA V - TECNOLOGÍA MEXICANA SUSTENTABLE, DE ALTA RESISTENCIA Y SEGURIDAD PARA EL SECTOR ELÉCTRICO DE ENERGÍAS RENOVABLES",PRIVADO,"3,339,373.00"
243598,Productores y Distribuidores de Insumos Orgánicos de Michoacán S. de R.L. de C.V.,INNOVACIÓN FRUGAL PARA DISEÑO Y DESARROLLO DE UN PROCESO BASADO EN BIORREACTOR PARA LA PRODUCCIÓN INDUSTRIAL DE UN INOCULANTE DE PLANTAS A BASE DE UN CONSORCIO DE MICROORGANISMOS.,PRIVADO,"1,320,000.00"
241111,SERVICIOS LEGALES INNOVADORES S.A. DE C.V.,"DESARROLLO DE UNA PLATAFORMA DE GESTIÓN NOTARIAL QUE PERMITA OFRECER SERVICIOS NOTARIALES EN LÍNEA, REPORTAR OPERACIONES VULNERABLES Y LOGRAR INTEROPERABILIDAD CON DEPENDENCIAS DE GOBIERNO.",PRIVADO,"2,344,616.00"
241455,ROTOINNOVACION S. A. DE C. V.,DESARROLLO DE MAQUINARIA SOLAR EQUIPO PARA INYECTAR UNICEL EN PRODUCTOS DE MAYOR VALOR AGREGADO,PRIVADO,"5,850,000.00"
243562,"KAUTEC TECHNOLOGIES, S.A.P.I. DE C.V.","INNOVACIÓN Y DESARROLLO DE SUPERFICIES ECOLÓGICAS DECORATIVAS Y AUTO ADHERIBLES, MULTIFUNCIONALES A BASE DE CAUCHO-VINÍLICO LIBRE DE FTALATOS PARA UN SISTEMA INTEGRAL MULTICAPA TERCERA ETAPA",PRIVADO,"8,357,007.00"
243551,INSTITUTO PARA LA EXCELENCIA DE LOS CLUSTERES SA DE CV,"PLATAFORMA COLABORATIVA PARA AGROPRODUCTORES ""SISTEMA OPERATIVO AGRÍCOLA""",PRIVADO,"5,062,500.00"
242370,FEDSA HT TECHNOLOGIES SAPI DE CV,DISEÑO DE UN TRATAMIENTO TÉRMICO OPTIMIZADO PARA HERRAMENTALES PARA TRABAJADO EN CALIENTE,PRIVADO,"4,612,500.00"
241653,"SITELDI SOLUTIONS, S.A. DE C.V.",DESARROLLO DE UN SISTEMA EXPERTO PARA LA EVALUACIÓN AUTOMATIZADA DE LA IMAGEN PÚBLICA DE CANDIDATOS POLÍTICOS Y ANÁLISIS DE TENDENCIAS ELECTORALES,PRIVADO,"4,500,000.00"
240108,KAMER ECO GRANJA LA CAMPECHANA S. P. R. DE R. L. DE C. V.,PLANTA PILOTO PARA RECUPERACIÓN Y PROCESAMIENTO DE MATERIA ORGÁNICA DE ESTANQUE DE PISICULTURA PARA LA PRODUCCIÓN DE ALIMENTO BALANCEADO,PRIVADO,"1,928,455.00"
241410,CANTAB TECNOLOGÍA S. DE R. L. DE C. V.,DESARROLLO DE SISTEMA DE ENTRENAMIENTO EN REALIDAD VIRTUAL PARA DISMINUCIÓN DEL ÍNDICE DE ACOSO ESCOLAR: FASE II,PRIVADO,"4,500,000.00"
242499,TRANSFORMACIÓN E INNOVACIÓN DE ALIMENTOS SA DE CV,DISEÑO Y VALIDACIÓN A NIVEL PILOTO DEL PROCESO DE CRISTALIZACIÓN DE AZÚCARES DE PLANTAS DE LA FAMILIA DE LAS ASPARAGACEAE,PRIVADO,"1,856,250.00"
242251,SOLUCIONES EN ENERGÍAS RENOVABLES DE MÉXICO S.A DE C.V,DISEÑO Y CONSTRUCCIÓN DE UN GENERADOR DE HIDRÓGENO DE 10 LTS./MIN. A 220 VOLTS Y 10 AMPERIOS PARA LA DECARBONIZACIÓN DEL SISTEMA DE COMBUSTIÓN DE MOTORES AUTOMOTRICES.,PRIVADO,"3,870,000.00"
242402,AGSKILL S A P I,FERTILIZACIÓN PARA CULTIVOS DE TEMPORAL MEDIANTE LA INCORPORACIÓN DE RESTAURADORES DEL SUELO. ,PRIVADO,"4,500,000.00"
241811,MAGEOTEC SA DE CV,CONTINUACION DEL DESARROLLO TECNOLÓGICO DE UN NOVEDOSO SISTEMA DE IMPLANTES DENTALES CON DENTADURA REMOVIBLE,PRIVADO,"1,012,500.00"
241776,GEODENT S.A DE C.V,CONTINUACIÓN DEL DESARROLLO DE UNA NOVEDOSA ALEACIÓN COCRMO PARA USO DENTAL CON RESISTENCIA A LA CORROSIÓN SUPERIOR,PRIVADO,"1,462,500.00"
240758,KIOSCOS AVANZADOS KAPPA S DE RL MI,MODULO PARA LA RECARGA DE VEHÍCULOS ELÉCTRICOS,PRIVADO,"4,950,000.00"
241435,KNOWLEDGE AND CAPITAL S.A. DE C.V.,"DR. INDUSTRIA 4.0: SISTEMA DE TOMA DE DECISIONES (DSS) PARA LA EVALUACIÓN DEL GRADO DE RESPUESTA TECNOLÓGICA EN EMPRESAS DE MANUFACTURA AVANZADA, MERCADO Y AGILIZACIÓN DE CONTRATACIONES",PRIVADO,"5,062,500.00"
242438,LYM ASOCIADOS CONSULTORIA S.A. DE C.V.,DESARROLLO DE UNA PLATAFORMA TECNOLÓGICA DIGITAL PARA AGRICULTURA DE PRECISIÓN A TRAVÉS DE BIG DATA,PRIVADO,"3,799,125.00"
242608,COMERCIALIZADORA DE BIENES Y SERVICIOS TECNOLOGIA DORADA DEL SUR DE TAMAULIPAS S.A. DE C.V.,DISEÑO Y CONSTRUCCIÓN DE UN SISTEMA ELECTRÓNICO PARA SU USO COMO INSTRUMENTO PATRÓN EN LA MEDICIÓN DE LA ENERGÍA ELÉCTRICA.,PRIVADO,"2,475,000.00"
242835,SMARTSOFT AMERICA BUSINESS APPLICATIONS S. A. DE C.V.,"ADMINISTRACIÓN INTELIGENTE DE PATIOS UTILIZANDO MÉTODOS DE OPTIMIZACIÓN, ROBÓTICA Y RECONOCIMIENTO DE IMÁGENES PARA LA INDUSTRIA AUTOMOTRIZ",PRIVADO,"5,616,000.00"
240260,AGROSISTEMAS YAXCHILAM S.P.R. DE R.L. DE C.V.,"DESARROLLO DE PROTOTIPOS SABORIZADOS DE TILAPIA PORCIONADA EMPACADOS AL ALTO VACIO A NIVEL PILOTO, PARA INCREMENTAR VIDA DE ANAQUEL Y CONSUMO DE OMEGA 3",PRIVADO,"1,996,875.00"
243226,PROAN ALIMENTOS S DE RL DE CV,GENERACIÓN DE UNA VACUNA RECOMBINANTE BASADA EN EL VIRUS DE LA ENFERMEDAD DE NEWCASTLE QUE EXPRESA LA PROTEÍNA S1 DE IBV,PRIVADO,"4,995,268.00"
242037,"TRANS GRAN, S. A. DE C. V.","AUTOGENERACIÓN DE ENERGÍA PARA TRANSPORTE AGROPECUARIO MEDIANTE LA ACUMULACIÓN DE ENERGÍA CINÉTICA GENERADA EN LA TRACCIÓN DE LOS NEUMÁTICOS, USÁNDOLA PARA COMBUSTIÓN INTERNA PARA SU FUNCIONAMIENTO.",PRIVADO,"4,935,391.00"
241591,KILGOUR ALTASER METAL TREATMENTS  S.A. DE C.V.,DESARROLLO DE TÉCNICA DE LUZ PULSANTE PARA EFICIENTAR EL PROCESO DE PASIVACIÓN CON ACIDO CÍTRICO SOBRE SUPERFICIES DE ACERO INOXIDABLE AUSTENÍTICO Y FERRÍTICO - ETAPA I,PRIVADO,"5,935,464.00"
243038,INDUSTRIAS TONALY SA DE CV,"DISEÑO, DESARROLLO, CONSTRUCCIÓN E INSTALACIÓN DE UN INNOVADOR SISTEMA SOLAR DE SERVICIOS MÚLTIPLES AUTÓNOMO ¿IS-WIFI¿",PRIVADO,"3,868,295.00"
240796,SELFTEC SA DE CV,DESARROLLO DE UN SISTEMA INTEGRAL PARA LA DEGRADACIÓN DE CONTAMINANTES EMERGENTES DEL TIPO DISRUPTOR ENDOCRINO Y DE FÁRMACOS EN AGUA PARA SU UTILIZACIÓN EN LA INDUSTRIA DE ALIMENTOS 2A ETAPA.,PRIVADO,"2,809,689.00"
240734,BLUE BEATS S.A. DE C.V.,DESARROLLO DE SISTEMA PROTOTIPO BASADO EN LA GEOLOCALIZACIÓN Y TECNOLOGÍAS MÓVILES QUE PERMITA A TRAVÉS DE LA REALIDAD AUMENTADA OBTENER INFORMACIÓN DE LOS SITIOS TURÍSTICOS DE LA CIUDAD DE MÉRIDA YUC,PRIVADO,"1,977,090.00"
242445,AROD S.A. DE C.V.,EQUIPO INTEGRAL DE CAPTURA PARA DISMINUCIÓN DE ENFERMEDADES TRANSMITIDAS POR MOSQUITOS VECTORES,PRIVADO,"1,902,379.00"
242250,"SOLEXVINTEL, S.A. DE C.V.",3RA ETAPA PARA DISEÑO DE UNA PLATAFORMA NANO-OPTICA PARA EL SEGUIMIENTO DEL DENGUE,PRIVADO,"5,467,671.00"
241612,CENTRO DE DESARROLLO TECNOLOGICO IDESA SA DE CV,DESARROLLO DE LA TECNOLOGÍA DEL PROCESO DE PURIFICACIÓN DE DIMETILPROPILAMINA,PRIVADO,"2,203,528.00"
240208,EINNOVACION S.A DE C.V,SISTEMA GENERADOR DE HIDROPLASMA PARA USO INDUSTRIAL,PRIVADO,"6,141,062.00"
240713,"TECNOCIENCIAS APLICADAS, S.A. DE C.V.",SISTEMA DE IDENTIFICACIÓN GENÉTICA AUTOMATIZADO PARA EL DIAGNÓSTICO DE ENFERMEDADES GASTROINTESTINALES EN HOTELERÍA Y CRUCEROS: INOK N SURE ETAPA II,PRIVADO,"9,999,997.00"
241513,ENREMEX S DE RL DE CV,"PROCESO DE REHUSO DE AGUA EN SISTEMA DE ACUAPONIA, PROVENIENTE DE PROCESOS DE BIODIGESTION Y BIOCOMPOSTAJE; UTILIZANDO ELECTROFOLUCACION COMO MÉTODO DE TRATAMIENTO PARA EL CUMPLIMIENTO DE LA NOM 002.",PRIVADO,"3,514,821.00"
241657,"J. R BUSES, S.A. DE C.V.",DESARROLLO DE UN COMPONENTE AUTOMOTRIZ POR MEDIO DE UN COMPÓSITO DE MATRIZ POLIMÉRICA A BASE DE FIBRA DE CARBONO PIGMENTADA.,PRIVADO,"8,995,000.00"
240721,"TRAMES, S.A. DE C.V.",FORTECARBONO: PROYECTO INTEGRAL DE DESARROLLO Y ESCALAMIENTO TECNOLÓGICO DE RECUBRIMIENTOS CON CARBONO TIPO DIAMANTE (DLC) CON APLICACIÓN COMERCIAL PARA LA INDUSTRIA,PRIVADO,"11,985,232.00"
243417,"SIGOB, S.A. DE C.V.","SIGOB-CLOUD 2: PLATAFORMA APLICATIVA INTEGRAL EN LA NUBE, PARA LA INNOVACIÓN DE LOS SERVICIOS OFRECIDOS AL CIUDADANO, EN LA ADMINISTRACIÓN PÚBLICA MUNICIPAL",PRIVADO,"4,074,562.00"
242169,FRUTAS TROPICALES MEXICANAS SPR DE RL,DESARROLLO DE UN PROTOTIPO INNOVADOR PARA PRODUCIR CARBÓN ACTIVADO DE HUESO DE COCO Y UTILIZACIÓN DEL CALOR GENERADO COMO FUENTE DE ENERGÍA,PRIVADO,"4,002,500.00"
243472,SERVICIOS CORPORATIVOS PABAN S.A. DE C.V.,"GENERACIÓN Y EVALUACIÓN DE UN BIOPANEL PARA FARMACOGÉNOMICA Y EL DIAGNÓSTICO TEMPRANO DE ENFERMEDADES CRÓNICO DEGENERATIVAS, A PARTIR DE NUEVOS DATOS GENÉTICOS DE LA POBLACIÓN MEXICANA.",PRIVADO,"14,838,000.00"
240971,"HAKKEN ENTERPRISE, S.A. DE C.V.",SISTEMA DE IDENTIFICACIÓN SIMULTÁNEA DE VPH Y SNPS PARA LA PREVENCIÓN DE CÁNCER CERVICOUTERINO Y PRÓSTATA: KIMERA ETAPA II,PRIVADO,"7,886,000.00"
243421,PROCESOS AVANZADOS DE INGENIERIA DE SOFTWARE SA DE CV,PROTOTIPO FUNCIONAL DE PARED INTELIGENTE IMPRESA EN 3D DE MATERIAL CERÁMICO LIGERO INCORPORANDO TECNOLOGÍAS SENSORIALES,PRIVADO,"4,103,582.00"
242432,RENYSON DE MÉXICO S.A. DE C.V.,"ESTUDIO DEL PROCESO DE SINTERIZACIÓN DE POLVOS METÁLICOS DE ACEROS CON ALTO CONTENIDO DE CROMO, EN ATMÓSFERA DE CO + CO2, ASÍ COMO SU EFECTO EN EL ACERO AL BORO QUE SIRVE DE BASE PARTE II",PRIVADO,"5,062,500.00"
242268,GRUPO RED INTERNET DEVELOPMENT SA DE CV,CREACIÓN DE UNA PLATAFORMA DE SOFTWARE Y APLICATIVO MÓVIL DE TECNOLOGÍA FINANCIERA PARA FACILITAR LA EVALUACIÓN Y GESTIÓN DE SERVICIOS FINANCIEROS Y CAPITAL DE RIESGO PARA PEQUEÑAS Y MEDIANAS EMPRESAS,PRIVADO,"3,478,132.00"
240244,PRODUCTOS ALIMENTICIOS TORRES SA DE CV,ESCALAMIENTO DE FÓRMULA PROTOTIPO DE ROMPOPE SIN ALCOHOL A PLANTA PILOTO Y DEFINICIÓN DE NUEVO PROCESO DE PRODUCCIÓN Y EMPAQUE,PRIVADO,"2,822,800.00"
241064,DISPOSITIVOS MEDICOS TACHICMA S. DE R.L.M.I.,TRACTO CÉRVIX PARA CÁNCER UTERINO,PRIVADO,"5,040,560.00"
240417,DUAL TALLERES METAL MECANICA SA DE CV,"DISEÑO, DESARROLLO, FABRICACIÓN Y PRUEBA DE UN NUEVO MODELO DE TURBINA DE VAPOR HECHA EN MÉXICO CON UN DISEÑO CAPAZ DE SOPORTAR DESDE 100 HP HASTA 1500 HP - SEGUNDA ETAPA",PRIVADO,"3,931,480.00"
243612,BIOGRAFT DE MEXICO SA DE CV,DESARROLLO DE DISPOSITIVOS CON BASE EN MATRIZ ÓSEA DESMINERALIZADA INCORPORANDO NANOPARTÍCULAS BIOACTIVAS (NANO-MOD),PRIVADO,"7,012,039.00"
243387,manufactura especializada en transporte sa de cv,FABRICACIÓN DE TANQUES SEMIREMOLQUES PARA TRANSPORTE DE HIDROCARBUROS PARA SATISFACER DEMANDA DE OPORTUNIDADES DE LA REFORMA ENERGETICA,PRIVADO,"3,706,584.00"
243982,"IMPULSORA DE PROYECTOS INNOVADORES, S. DE R. L. DE C. V.",DESARROLLO DE UN SISTEMA DE MONITOREO Y TARIFICADOR INTELIGENTE EN MEDIDORES DE AGUA PARA EL USUARIO FINAL Y ORGANISMOS OPERADORES DE AGUA POTABLE,PRIVADO,"2,668,013.00"
241682,"MARICULTURA DEL PACIFICO, S.A. DE C.V.",DESARROLLO DE UNA LÍNEA GENÉTICA DE CAMARÓN BLANCO DEL PACIFICO (PENAEUS (LITOPENAEUS) VANNAMEI) RESISTENTE A LA ENFERMEDAD DE LA NECROSIS AGUDA DE HEPATOPÁNCREAS Y AL SÍNDROME DE LA MANCHA BLANCA ,PRIVADO,"5,875,545.00"
241582,ACERTA CONSULTORES SA DE CV,"DESARROLLO DE PLATAFORMA TECNOLÓGICA Y MODELO OPERATIVO PARA FACILITAR PROCESOS DE CALIDAD EN INSTITUCIONES DE EDUCACIÓN SUPERIOR Y POSTGRADO,PARA MEJORAR LA CALIDAD DE LA EDUCACION SUPERIOR EN MEXICO",PRIVADO,"2,717,500.00"
240388,COMERCIALIZADORA E INDUSTRIALIZADORA AG S DE RL MI,DESARROLLO DE MICROCÁPSULAS DE NANOPARTÍCULAS DE DIÓXIDO DE TITANIO CON ACEITES ESENCIALES CON UNA SINERGIA EN LA DESINFECCIÓN DE SUPERFICIES Y AMBIENTES.,PRIVADO,"4,830,000.00"
241661,"JR CAMIONES, S.A.P.I. DE C.V.",PROCESO DE MANUFACTURA INNOVADOR PARA COMPONENTES AUTOMOTRICES A BASE DE MATERIALES COMPUESTOS DE MATRIZ POLIMÉRICA REFORZADOS CON FIBRA DE CARBONO,PRIVADO,"9,206,900.00"
240631,RESIDUOS A HIDROCARBUROS SUSTENTABLES DE MEXICO S DE RL DE CV,PROCESO AMIGABLE CON EL MEDIO AMBIENTE PARA OBTENER TURBOSINA A PARTIR DE RESIDUOS SÓLIDOS PLÁSTICOS,PRIVADO,"18,972,500.00"
240335,PROGARO S.A DE C.V,DESARROLLO TECNOLÓGICO DE PURE DE FRESA CONGELADO ADICIONADO CON PECTINAS COMO CRIOPROTECTORES,PRIVADO,"2,034,881.00"
242712,"INGENIERIA QUANTICA SUPERIOR, S.A. DE C.V.", PLANTA PILOTO PARA EL ESCALAMIENTO DE AZULEJOS FOTOVOLTAICOS MODULARES (MODUCEL III) CONTINUIDAD PEI 232497,PRIVADO,"5,978,641.00"
242306,HEALTHCARE BUSINESS AND COMPUTER TECHNOLOGY SA DE CV,DESARROLLO Y VALIDACIÓN DE UN NUEVO NUTRACÉUTICO PARA EL TRATAMIENTO DEL SÍNDROME METABÓLICO. PARTE III,PRIVADO,"6,509,752.00"
242405,"BRIKAP, S.A. DE C.V.","NUEVO MÉTODO POR TELEMETRÍA PARA MEDIR LA VELOCIDAD PROMEDIO DE UN FLUIDO USANDO TECNOLOGÍA INFRARROJA, CONTINUACIÓN PEI 2016-230351",PRIVADO,"4,871,070.00"
242870,PROYECTO MEDRA SA DE CV,DESARROLLO DE TARJETA DE CONTROL Y OPTIMIZACIÓN DE MÓDULOS CLAVE PARA SISTEMA DE GENERACIÓN DE AGUA POTABLE EN COMUNIDADES DE DIFÍCIL ACCESO.,PRIVADO,"5,834,060.00"
242829,MENDELAB SA DE CV,DESARROLLO Y VALIDACIÓN DE PRUEBAS MOLECULARES PARA EL DIAGNÓSTICO DE LEUCEMIAS AGUDAS PEDIÁTRICAS,PRIVADO,"895,764.00"
241851,ARGOS INGENIERIA DE AUTOMATIZACION Y CONTROL S DE RL DE CV,"DESARROLLO DE UN PROTOTIPO DE EMPACADOR SEMI PERMANENTE DE 10,000PSI Y 350F PARA LA EXPLOTACIÓN DE YACIMIENTOS PETROLEROS EN CAMPOS TERRESTRES Y AGUAS SOMERAS ",PRIVADO,"11,755,252.00"
242150,NEBUSENS S. DE R.L. DE C.V,PROTECTOR: SISTEMA AVANZADO DE SEGURIDAD DE ALTA DISPONIBILIDAD MEDIANTE REDES DE TELECOMUNICACIONES HETEROGÉNEAS.,PRIVADO,"1,759,250.00"
241927,NETWARE TECHNOLOGY S.A. DE C.V.,"MARINE WEATHER LAB, BOYA PARA MONITOREO DE VARIABLES AMBIENTALES Y OCEONOGRAFICAS A TRAVES DE INTERNET",PRIVADO,"4,722,692.00"
241030,D-SU BIOTEK SA DE CV,ESCALAMIENTO Y BÚSQUEDA DE VENTAJA COMPETITIVA DEFINITIVA PARA PRUEBA DE MUTACIONES EN GENES BRCA AL ALCANCE DE LA POBLACIÓN MEXICANA: MEDICINA PERSONALIZADA PARA LA PREVENCIÓN DEL CÁNCER DE MAMA,PRIVADO,"9,683,000.00"
241071,RECAUDACION EN ACCION S.A. DE C.V.,CREACIÓN DE UN INNOVADOR MODELO DE SERVICIO (SOFTWARE AS A SERVICE) PARA EL CONTROL DEL PADRÓN VEHICULAR EN LOS ESTADOS,PRIVADO,"2,711,500.00"
240498,DESHIDRATADORA MARATA SPR DE RL DE CV,SEGUNDA ETAPA DESARROLLO TECNOLÓGICO PARA ELABORACIÓN DE CHILES CHIPOTLES AHUMADOS CON NIVELES BAJOS DE CANCERÍGENOS (ANTRAQUINONA) PARA EL MERCADO DE EXPORTACIÓN.,PRIVADO,"4,499,935.00"
243001,TILE COUNCIL OF NORTH AMERICA-MEXICO S DE RL DE CV,DESARROLLO DE LOSETA CERÁMICA ULTRA-DELGADA A PARTIR DE MATERIALES AVANZADOS DE ORIGEN NACIONAL QUE PERMITA LA DEFINICIÓN DE UNA NUEVA ESPECIFICACIÓN Y PROGRAMA DE CERTIFICACIÓN PARA ESTOS PRODUCTOS,PRIVADO,"5,600,004.00"
242994,NOTRIP SAPI DE CV,MONITOREO Y COMPARACIÓN DE LECTURAS DE UN SISTEMA DE ACUAPONIA MEDIANTE VEHÍCULOS NO TRIPULADOS CON SENSORES ÓPTICOS Y SISTEMA DE TELEMETRÍA PARA LA DETERMINACIÓN DE PARÁMETROS PRODUCTIVOS. ,PRIVADO,"3,447,494.00"
240488,EL ARBOL DE CHOCOLATE S.A.P.I. DE C.V.,SISTEMA ECONÓMICAMENTE EFICIENTE PARA LA PRODUCCIÓN ESCALABLE DE SPIRULINA PARA LA FORMULACIÓN DE ALIMENTOS FUNCIONALES.,PRIVADO,"3,089,951.00"
240336,FRESAS Y HORTALIZAS GARO S.P.R. DE R.L. DE C.V.,DESARROLLO TECNOLÓGICO E INNOVACIÓN DE PURÉ DE FRESA CONGELADO ADICIONADO CON GOMA XANTANA COMO CRIOPROTECTOR,PRIVADO,"2,338,500.00"
